speaker	nickyear	profileyear
Jessie 89	89	1990
Decibel84	84	1985
Lillis80	80	1981
Trippelmamma76	76	1970
Skorpion76	76	1977
emau88	88	1989
Annica74	74	1984
Sissa83	83	1984
Sebastian72	72	1972
MiaIa90	90	1991
Ella82	82	1983
mama86	86	1970
Jenny87	87	1988
Mari80	80	1981
Nilam84	84	1970
KevinsMamma83	83	1984
emilou77	77	1982
Tweety78	78	1979
solen82	82	1970
Anna75	75	1970
Sally86	86	1987
Jess87	87	1988
Vitsippa75	75	1976
Christina86	86	1987
längtar89	89	1989
Karolina75	75	1975
Ema86	86	1987
PS84	84	1985
Himlan77	77	1978
Angel73	73	1970
Jaja88	88	1989
magelita80	80	1981
Zazz82	82	1983
Humlan75	75	1976
alexia78	78	1979
Stella79	79	1980
Swensken89	89	1990
sobrio88	88	1989
jensan 80	80	1981
Aurora84	84	1985
Japan87	87	1988
Sandy76	76	1977
Ausi79	79	1980
annika81	81	1981
Lila75	75	1970
Tequeida86	86	1987
Anna83	83	1984
Vill Ha Liten 83	83	1984
AKT83	83	1984
Mulan91	91	1970
LindaB85	85	1986
nilepile89	89	1990
Foxy79	79	1980
Ml83	83	1984
Karolin86	86	1970
Hella78	78	1979
Tjohooo82	82	1983
Sannis83	83	1984
marlene83	83	1984
MoM76	76	1977
Linnean89	89	1990
stumpan81	81	1982
millan79	79	1970
Maraki73	73	1974
ahm66	66	1967
Mamma86	86	1970
Caroline76	76	1977
Johannapanna87	87	1988
Tjej78	78	1979
diddisen80	80	1981
jelp77	77	1978
dianmant76	76	1977
Catasita81	81	1982
Martina86	86	1970
Cecilia90	90	1991
Angel 87	87	1988
sam77	77	1978
LokesMamma84	84	1985
Jessie74	74	1975
pisces74	74	1975
Josefine 85	85	1986
englasmamma86	86	1987
HJ81	81	1982
Libra77	77	1978
Johanna 85	85	1986
Molly77	77	1970
Carina86	86	1987
tjejmamma79	79	1980
Sussi82	82	1983
Cattizzz83	83	1984
Anka75	75	1976
Annelie77	77	1978
Denise87	87	1988
Ulrika 80	80	1981
Fru Plommon81	81	1982
Emmi83	83	1984
lisen88	88	1989
Sophie81	81	1970
bebis86	86	1987
Smurfen70	70	1981
Maaalin86	86	1987
pimpim78	78	1979
Man 78	78	1978
J83	83	1985
Fia 82	82	1983
Loppan75	75	1976
AnnCharlotte86	86	1987
skrotis78	78	1979
shosho83	83	1985
Littlestar83	83	1984
ebk88	88	1988
Annsofie83	83	1984
Seb81	81	1982
cattis83	83	1984
many87	87	1988
susanne72	72	1970
Lione81	81	1982
Snara79	79	1970
Gris78	78	1979
Monica83	83	1984
Malinsson84	84	1985
Stina85	85	1986
Love74	74	1975
fia78	78	1979
Lajs85	85	1986
Sanna83	83	1984
hellish89	89	1990
Natasha76	76	1977
längtan67	67	1968
camilla88	88	1989
fiori84	84	1985
mami79	79	1980
Felicia68	68	1969
nerja99	99	1985
marie79	79	1980
svea87	87	1970
SaraK83	83	1984
AnnaA80	80	1981
Annie82	82	1983
carpediem86	86	1987
Annapanna80	80	1981
L86	86	1987
Anki79	79	1980
