period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Lill Bästis	1987		17.0	0.0	17.0	0.0	1.0
	Dompans mamma	1983		21.0	7.0	14.0	0.3333333333333333	0.6666666666666666
	lokisse	1961		282.0	216.0	66.0	0.7659574468085106	0.23404255319148937
	Rae	1975		18.0	2.0	16.0	0.1111111111111111	0.8888888888888888
	anniebananie	1983		18.0	16.0	2.0	0.8888888888888888	0.1111111111111111
	bmbengtsson	1981		5.0	5.0	0.0	1.0	0.0
	83an	1984		78.0	8.0	70.0	0.10256410256410256	0.8974358974358975
	CeeJay	1973		203.0	59.0	144.0	0.29064039408866993	0.7093596059113301
	Sara K	1986		60.0	1.0	59.0	0.016666666666666666	0.9833333333333333
	Rocktroll	1985		117.0	5.0	112.0	0.042735042735042736	0.9572649572649573
	StaffenAssar	1983		141.0	114.0	27.0	0.8085106382978723	0.19148936170212766
	Carmen1	1979		1.0	0.0	1.0	0.0	1.0
	rosenkind	1983		47.0	15.0	32.0	0.3191489361702128	0.6808510638297872
	God cares	1986		24.0	15.0	9.0	0.625	0.375
	Trolli	1985		17.0	3.0	14.0	0.17647058823529413	0.8235294117647058
	aijo	1985		3.0	0.0	3.0	0.0	1.0
	Tattyn	1978		72.0	72.0	0.0	1.0	0.0
	Hemlighet	1985		135.0	130.0	5.0	0.9629629629629629	0.037037037037037035
	SamsonS	1990		8.0	1.0	7.0	0.125	0.875
	Mitti	1982		33.0	33.0	0.0	1.0	0.0
	silent	1987		7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
	jazzy	1987		90.0	8.0	82.0	0.08888888888888889	0.9111111111111111
	crazy cat lady	1986		17.0	3.0	14.0	0.17647058823529413	0.8235294117647058
	Lina N	1979		8.0	0.0	8.0	0.0	1.0
	RiNan	1984		134.0	37.0	97.0	0.27611940298507465	0.7238805970149254
	Eleni	1986		33.0	4.0	29.0	0.12121212121212122	0.8787878787878788
	deez	1984		9.0	7.0	2.0	0.7777777777777778	0.2222222222222222
	Kary	1982		19.0	14.0	5.0	0.7368421052631579	0.2631578947368421
	MalinI	1979		60.0	1.0	59.0	0.016666666666666666	0.9833333333333333
	mal	1983		8.0	2.0	6.0	0.25	0.75
	Izzo	1976		9.0	2.0	7.0	0.2222222222222222	0.7777777777777778
	Fyrklovern	1982		13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
	Anglia	1965		23.0	10.0	13.0	0.43478260869565216	0.5652173913043478
	fabler	1964		144.0	3.0	141.0	0.020833333333333332	0.9791666666666666
	Jojile	1986		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	MajaMaria79	1980		69.0	66.0	3.0	0.9565217391304348	0.043478260869565216
	Ida1990	1991		33.0	9.0	24.0	0.2727272727272727	0.7272727272727273
	Malva85	1986		2.0	0.0	2.0	0.0	1.0
	VirrAnna	1985		60.0	5.0	55.0	0.08333333333333333	0.9166666666666666
	Anastasia	1983		18.0	12.0	6.0	0.6666666666666666	0.3333333333333333
	Papi Jo	1977		49.0	26.0	23.0	0.5306122448979592	0.46938775510204084
	hally	1986		81.0	5.0	76.0	0.06172839506172839	0.9382716049382716
	MammanZ	1976		46.0	44.0	2.0	0.9565217391304348	0.043478260869565216
	ludde1	1979		8.0	7.0	1.0	0.875	0.125
	så mycket bättre	1987		56.0	46.0	10.0	0.8214285714285714	0.17857142857142858
	Floff	1983		96.0	18.0	78.0	0.1875	0.8125
	Bellizzzzz	1986		5.0	3.0	2.0	0.6	0.4
	TheStar	1977		24.0	16.0	8.0	0.6666666666666666	0.3333333333333333
	Zephir	1986		38.0	6.0	32.0	0.15789473684210525	0.8421052631578947
	Carolina84	1985		3.0	3.0	0.0	1.0	0.0
	arasall	1979		1.0	1.0	0.0	1.0	0.0
	norskan78	1979		24.0	18.0	6.0	0.75	0.25
	ellenagnes	1974		5.0	4.0	1.0	0.8	0.2
	Theia	1985		12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
	JBC	1986		56.0	53.0	3.0	0.9464285714285714	0.05357142857142857
	sazzia	1987		51.0	18.0	33.0	0.35294117647058826	0.6470588235294118
	annie dark	1977		40.0	6.0	34.0	0.15	0.85
	Gladabarnensmamma	1983		144.0	8.0	136.0	0.05555555555555555	0.9444444444444444
	Hugge47	1968		4.0	4.0	0.0	1.0	0.0
	prospicientia	1979		4.0	4.0	0.0	1.0	0.0
	livet leker	1990		81.0	47.0	34.0	0.5802469135802469	0.41975308641975306
	Lönnsirap	1981		22.0	3.0	19.0	0.13636363636363635	0.8636363636363636
	Farth Vader	1974		21.0	21.0	0.0	1.0	0.0
	Pochahontas	1974		23.0	23.0	0.0	1.0	0.0
	ShuppShupp	1985		17.0	10.0	7.0	0.5882352941176471	0.4117647058823529
	AsfaltsBlomma	1980		4.0	0.0	4.0	0.0	1.0
	Perlan08	1977		14.0	12.0	2.0	0.8571428571428571	0.14285714285714285
	tessum	1985		36.0	32.0	4.0	0.8888888888888888	0.1111111111111111
	Chipotle	1980		49.0	0.0	49.0	0.0	1.0
	Tessie2022	1980		12.0	4.0	8.0	0.3333333333333333	0.6666666666666666
	sara1981	1982		64.0	36.0	28.0	0.5625	0.4375
	modestyclara	1979		162.0	43.0	119.0	0.2654320987654321	0.7345679012345679
	Emsan1988	1989		20.0	0.0	20.0	0.0	1.0
	Freksta	1986		19.0	1.0	18.0	0.05263157894736842	0.9473684210526315
	Wonderchild2009	1990		13.0	4.0	9.0	0.3076923076923077	0.6923076923076923
	Amelica	1984		7.0	3.0	4.0	0.42857142857142855	0.5714285714285714
	Scaniamamma	1987		15.0	2.0	13.0	0.13333333333333333	0.8666666666666667
	livet från ljusa sidan	1981		89.0	8.0	81.0	0.0898876404494382	0.9101123595505618
	iAnnaMaria	1988		6.0	0.0	6.0	0.0	1.0
	Myra	1973		312.0	304.0	8.0	0.9743589743589743	0.02564102564102564
	Idizen	1984		18.0	4.0	14.0	0.2222222222222222	0.7777777777777778
	Trinis	1976		32.0	28.0	4.0	0.875	0.125
	Mia386	1989		38.0	3.0	35.0	0.07894736842105263	0.9210526315789473
	Lissy81	1982		9.0	0.0	9.0	0.0	1.0
	Bebbo	1982		7.0	0.0	7.0	0.0	1.0
	TeZs	1987		48.0	0.0	48.0	0.0	1.0
	Tigra79	1980		119.0	27.0	92.0	0.226890756302521	0.773109243697479
	bili	1960		26.0	0.0	26.0	0.0	1.0
	fjonkan	1989		51.0	28.0	23.0	0.5490196078431373	0.45098039215686275
	Lippans	1979		9.0	4.0	5.0	0.4444444444444444	0.5555555555555556
	TeeTee	1988		25.0	16.0	9.0	0.64	0.36
	mrseriksson	1976		10.0	10.0	0.0	1.0	0.0
	Eled	1990		18.0	0.0	18.0	0.0	1.0
	Linda3	1982		2.0	2.0	0.0	1.0	0.0
	seadwarf	1982		32.0	5.0	27.0	0.15625	0.84375
	pindile	1984		32.0	0.0	32.0	0.0	1.0
	Emsingen	1977		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
	Väntarochlängtar	1971		35.0	31.0	4.0	0.8857142857142857	0.11428571428571428
	Trissvinnaren	1974		33.0	31.0	2.0	0.9393939393939394	0.06060606060606061
	Mizca	1986		16.0	3.0	13.0	0.1875	0.8125
	abuelita	1951		168.0	66.0	102.0	0.39285714285714285	0.6071428571428571
	tok	1989		7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
	FruE	1987		2.0	0.0	2.0	0.0	1.0
	Maac	1984		18.0	10.0	8.0	0.5555555555555556	0.4444444444444444
	hemligt gravid	1982		70.0	2.0	68.0	0.02857142857142857	0.9714285714285714
	bambigirl	1982		107.0	4.0	103.0	0.037383177570093455	0.9626168224299065
	Lisa1976	1977		16.0	16.0	0.0	1.0	0.0
	giftgrodan	1980		45.0	38.0	7.0	0.8444444444444444	0.15555555555555556
	Butterscotch	1975		171.0	155.0	16.0	0.9064327485380117	0.0935672514619883
	Snabeldrake	1992		4.0	1.0	3.0	0.25	0.75
	Camilla85	1986		78.0	4.0	74.0	0.05128205128205128	0.9487179487179487
	Mammat3	1987		27.0	5.0	22.0	0.18518518518518517	0.8148148148148148
	kath	1977		37.0	5.0	32.0	0.13513513513513514	0.8648648648648649
	Thesso	1991		57.0	32.0	25.0	0.5614035087719298	0.43859649122807015
	Lima80	1981		16.0	1.0	15.0	0.0625	0.9375
	suomigirl	1986		11.0	0.0	11.0	0.0	1.0
	camas	1984		37.0	5.0	32.0	0.13513513513513514	0.8648648648648649
