period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	väduren74	1975		20.0	0.0	20.0	0.0	1.0
	Impertiff	1974		82.0	0.0	82.0	0.0	1.0
	nonayti	1983		17.0	0.0	17.0	0.0	1.0
	snartliverhorn	1979		13.0	0.0	13.0	0.0	1.0
	J1983	1984		19.0	0.0	19.0	0.0	1.0
	Ausi79	1980		22.0	0.0	22.0	0.0	1.0
	Helena och Axel	1983		10.0	0.0	10.0	0.0	1.0
	Heobea	1988		35.0	0.0	35.0	0.0	1.0
	anja1661	1983		20.0	0.0	20.0	0.0	1.0
	Cam82	1983		81.0	0.0	81.0	0.0	1.0
	mammatill2rara	1989		10.0	0.0	10.0	0.0	1.0
	smurfarna	1987		13.0	0.0	13.0	0.0	1.0
	Dohgon	1988		24.0	0.0	24.0	0.0	1.0
	Anna81	1982		11.0	0.0	11.0	0.0	1.0
	grönräv	1979		10.0	0.0	10.0	0.0	1.0
	Thessis77	1978		27.0	0.0	27.0	0.0	1.0
	anchel	1983		11.0	0.0	11.0	0.0	1.0
	Love74	1975		18.0	0.0	18.0	0.0	1.0
	Mamba	1985		15.0	0.0	15.0	0.0	1.0
	Plly	1981		15.0	0.0	15.0	0.0	1.0
	NadiaMi	1975		192.0	0.0	192.0	0.0	1.0
	Chaktio	1977		44.0	0.0	44.0	0.0	1.0
	Gullebulle25	1985		15.0	0.0	15.0	0.0	1.0
	En skrutt	1981		10.0	0.0	10.0	0.0	1.0
	Teza73	1974		20.0	0.0	20.0	0.0	1.0
	Koocachoo	1979		12.0	0.0	12.0	0.0	1.0
	sandrablom	1988		12.0	0.0	12.0	0.0	1.0
	Jenny1985	1986		11.0	0.0	11.0	0.0	1.0
	Bajjelen	1985		30.0	0.0	30.0	0.0	1.0
	jazzy	1987		28.0	0.0	28.0	0.0	1.0
	SofiaL	1990		10.0	0.0	10.0	0.0	1.0
	Nenne	1986		24.0	0.0	24.0	0.0	1.0
	Mirren	1978		51.0	0.0	51.0	0.0	1.0
	Yamma	1973		14.0	0.0	14.0	0.0	1.0
	allakantralla	1976		96.0	0.0	96.0	0.0	1.0
	abuelita	1951		166.0	0.0	166.0	0.0	1.0
	syntharen	1980		12.0	0.0	12.0	0.0	1.0
	Kina79	1980		25.0	0.0	25.0	0.0	1.0
	Joje	1975		182.0	0.0	182.0	0.0	1.0
	sol1	1984		20.0	0.0	20.0	0.0	1.0
	AnnaSvea	1984		21.0	0.0	21.0	0.0	1.0
	Semlan10	1973		62.0	0.0	62.0	0.0	1.0
	Nickis	1974		35.0	0.0	35.0	0.0	1.0
	Chipotle	1980		20.0	0.0	20.0	0.0	1.0
	Caeruleus	1979		12.0	0.0	12.0	0.0	1.0
	Hammare	1971		19.0	0.0	19.0	0.0	1.0
	Stella81	1982		21.0	0.0	21.0	0.0	1.0
	MIC	1985		36.0	0.0	36.0	0.0	1.0
	TAN	1987		15.0	0.0	15.0	0.0	1.0
	MajaB	1984		11.0	0.0	11.0	0.0	1.0
	maj09	1976		12.0	0.0	12.0	0.0	1.0
	livet från ljusa sidan	1981		15.0	0.0	15.0	0.0	1.0
	Jimps	1981		55.0	0.0	55.0	0.0	1.0
	smc	1981		13.0	0.0	13.0	0.0	1.0
	Norpan81	1982		15.0	0.0	15.0	0.0	1.0
	goatess82	1983		20.0	0.0	20.0	0.0	1.0
	Bullan1978	1979		17.0	0.0	17.0	0.0	1.0
	Amulett	1976		29.0	0.0	29.0	0.0	1.0
	hejsvej	1983		44.0	0.0	44.0	0.0	1.0
	Sanna86	1987		27.0	0.0	27.0	0.0	1.0
	NummerTvå0710	1990		11.0	0.0	11.0	0.0	1.0
	3 barns mor	1983		15.0	0.0	15.0	0.0	1.0
	nötskrikan	1978		24.0	0.0	24.0	0.0	1.0
	Jeanette81	1982		10.0	0.0	10.0	0.0	1.0
	TuvaLi	1978		11.0	0.0	11.0	0.0	1.0
	MrsEnglund	1982		11.0	0.0	11.0	0.0	1.0
	Greta Anna	1978		10.0	0.0	10.0	0.0	1.0
	MissMy	1985		13.0	0.0	13.0	0.0	1.0
	Isabelsmamma	1986		20.0	0.0	20.0	0.0	1.0
	Helena D	1975		28.0	0.0	28.0	0.0	1.0
	Caroline08	1989		11.0	0.0	11.0	0.0	1.0
	cocos87	1988		10.0	0.0	10.0	0.0	1.0
	mammaannika	1987		10.0	0.0	10.0	0.0	1.0
	Busflickan	1983		26.0	0.0	26.0	0.0	1.0
	Albasmamma	1983		20.0	0.0	20.0	0.0	1.0
	Lucky	1980		13.0	0.0	13.0	0.0	1.0
	Jenny87	1988		28.0	0.0	28.0	0.0	1.0
	Tuntalisa	1977		10.0	0.0	10.0	0.0	1.0
	Mulle78	1979		17.0	0.0	17.0	0.0	1.0
	TeZs	1987		10.0	0.0	10.0	0.0	1.0
	Anubisa	1979		31.0	0.0	31.0	0.0	1.0
	Fru Plommon81	1982		12.0	0.0	12.0	0.0	1.0
	mithrandil	1983		138.0	0.0	138.0	0.0	1.0
	Izela	1984		18.0	0.0	18.0	0.0	1.0
	Smulanflen	1974		11.0	0.0	11.0	0.0	1.0
	Lilla Lycka	1982		18.0	0.0	18.0	0.0	1.0
	MiaMarias	1980		72.0	0.0	72.0	0.0	1.0
	Mem3	1982		16.0	0.0	16.0	0.0	1.0
