period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Lill Mamsen	1985	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
	lovemissen	1983	4	2.0	1.0	1.0	0.5	0.5
	WilliamSofia	1981	3	3.0	0.0	3.0	0.0	1.0
	Mia22	1985	4	2.0	0.0	2.0	0.0	1.0
	exiteme	1972	2	2.0	0.0	2.0	0.0	1.0
	Tyrlöv	1983	4	1.0	0.0	1.0	0.0	1.0
	beEMbe	1979	3	5.0	3.0	2.0	0.6	0.4
	EricaN81	1982	3	4.0	0.0	4.0	0.0	1.0
	annalena81	1982	3	1.0	0.0	1.0	0.0	1.0
	J Anttila	1980	3	4.0	2.0	2.0	0.5	0.5
	Lady Unicorn	1980	3	2.0	0.0	2.0	0.0	1.0
	tjejmamma79	1980	3	3.0	0.0	3.0	0.0	1.0
	andypandy	1976	3	1.0	0.0	1.0	0.0	1.0
	Eleonor86	1987	4	1.0	0.0	1.0	0.0	1.0
	Nina 77	1978	3	1.0	0.0	1.0	0.0	1.0
	Adoniram	1978	3	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
	blomman 2	1965	2	1.0	0.0	1.0	0.0	1.0
	solstraalen	1982	3	15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
	Joona	1978	3	4.0	0.0	4.0	0.0	1.0
	Tainted	1988	4	3.0	0.0	3.0	0.0	1.0
	zmurfan	1974	3	1.0	0.0	1.0	0.0	1.0
	Tokfrjant	1989	4	10.0	2.0	8.0	0.2	0.8
	FridaKim	1989	4	2.0	0.0	2.0	0.0	1.0
	emme 86	1987	4	6.0	0.0	6.0	0.0	1.0
	södermamman	1981	3	1.0	0.0	1.0	0.0	1.0
	SummerAnkiz	1985	4	1.0	1.0	0.0	1.0	0.0
	minili	1981	3	4.0	0.0	4.0	0.0	1.0
	mirrebusan	1985	4	5.0	2.0	3.0	0.4	0.6
	Mulllis	1986	4	4.0	0.0	4.0	0.0	1.0
	Lillkillensmamma	1982	3	3.0	0.0	3.0	0.0	1.0
	Houdini	1966	2	3.0	0.0	3.0	0.0	1.0
	Lillja	1988	4	1.0	0.0	1.0	0.0	1.0
	Atamon	1972	2	5.0	0.0	5.0	0.0	1.0
	Gustie	1973	3	7.0	0.0	7.0	0.0	1.0
	Cynric	1986	4	3.0	0.0	3.0	0.0	1.0
	Lilla JJ	1978	3	4.0	1.0	3.0	0.25	0.75
	katzon	1982	3	2.0	0.0	2.0	0.0	1.0
	ttiinnaa	1978	3	1.0	0.0	1.0	0.0	1.0
	tideloo	1983	4	1.0	0.0	1.0	0.0	1.0
	jannovich	1982	3	1.0	0.0	1.0	0.0	1.0
	pindile	1984	4	3.0	0.0	3.0	0.0	1.0
	sandbacken	1969	2	2.0	0.0	2.0	0.0	1.0
	Daphne85	1986	4	2.0	0.0	2.0	0.0	1.0
	Chokladmums	1968	2	3.0	0.0	3.0	0.0	1.0
	Mika86	1987	4	2.0	0.0	2.0	0.0	1.0
	Maja09	1979	3	12.0	0.0	12.0	0.0	1.0
	RiNan	1984	4	10.0	0.0	10.0	0.0	1.0
	Lily38	1974	3	8.0	0.0	8.0	0.0	1.0
	Kaffekopp	1978	3	2.0	2.0	0.0	1.0	0.0
	Miisa	1984	4	4.0	0.0	4.0	0.0	1.0
	Llimen	1987	4	2.0	0.0	2.0	0.0	1.0
	Sejda79	1980	3	1.0	0.0	1.0	0.0	1.0
	pysselmajjo	1983	4	2.0	1.0	1.0	0.5	0.5
	Smulanpus	1982	3	3.0	0.0	3.0	0.0	1.0
	Baby Doll	1984	4	3.0	0.0	3.0	0.0	1.0
	Baronessan	1975	3	3.0	0.0	3.0	0.0	1.0
	Harling1985	1986	4	8.0	0.0	8.0	0.0	1.0
	Mibe	1987	4	1.0	0.0	1.0	0.0	1.0
	Lucyinthesky	1982	3	5.0	0.0	5.0	0.0	1.0
	Snoffsan	1980	3	3.0	0.0	3.0	0.0	1.0
	Mildred	1987	4	1.0	0.0	1.0	0.0	1.0
	Tilcha	1985	4	7.0	0.0	7.0	0.0	1.0
	greatdaysfan	1976	3	2.0	0.0	2.0	0.0	1.0
	Seven Costanza	1984	4	4.0	0.0	4.0	0.0	1.0
	AEL	1983	4	1.0	0.0	1.0	0.0	1.0
	Missy M	1987	4	3.0	0.0	3.0	0.0	1.0
	Chaplin	1976	3	2.0	0.0	2.0	0.0	1.0
	Kleopatra II	1971	2	3.0	0.0	3.0	0.0	1.0
	SandraD	1987	4	3.0	3.0	0.0	1.0	0.0
	Snakeheart	1981	3	1.0	0.0	1.0	0.0	1.0
	J83	1985	4	1.0	0.0	1.0	0.0	1.0
	Texasthecat	1983	4	1.0	1.0	0.0	1.0	0.0
	tooba	1984	4	1.0	0.0	1.0	0.0	1.0
	pluvdo	1987	4	10.0	0.0	10.0	0.0	1.0
	Albertine79	1980	3	1.0	0.0	1.0	0.0	1.0
	Challe N	1978	3	3.0	0.0	3.0	0.0	1.0
	Ellaria	1990	4	2.0	0.0	2.0	0.0	1.0
	AnnaKlara	1971	2	3.0	0.0	3.0	0.0	1.0
	Kalle17	1971	2	2.0	0.0	2.0	0.0	1.0
	Marlene	1967	2	47.0	4.0	43.0	0.0851063829787234	0.9148936170212766
	Tyrell	1973	3	16.0	1.0	15.0	0.0625	0.9375
	pumpkinpie	1984	4	1.0	0.0	1.0	0.0	1.0
	lokacitron	1981	3	1.0	1.0	0.0	1.0	0.0
	Sven Erik Johansson	1964	2	2.0	0.0	2.0	0.0	1.0
	nostalgi	1960	1	2.0	1.0	1.0	0.5	0.5
	StilaM	1976	3	1.0	0.0	1.0	0.0	1.0
	Maline	1973	3	4.0	0.0	4.0	0.0	1.0
	Kyanita	1974	3	20.0	2.0	18.0	0.1	0.9
	Mornie Alantie	1987	4	6.0	0.0	6.0	0.0	1.0
	Ahdela	1979	3	4.0	0.0	4.0	0.0	1.0
	daddybear	1977	3	2.0	0.0	2.0	0.0	1.0
	737 dagar	1986	4	2.0	0.0	2.0	0.0	1.0
	lingonben	1952	1	3.0	0.0	3.0	0.0	1.0
	Jenny81	1982	3	1.0	0.0	1.0	0.0	1.0
	guldplutt	1971	2	26.0	0.0	26.0	0.0	1.0
	TheCoopers	1976	3	8.0	0.0	8.0	0.0	1.0
	Papi Jo	1977	3	3.0	0.0	3.0	0.0	1.0
	bebis0307	1982	3	1.0	0.0	1.0	0.0	1.0
	Um muhammed	1984	4	1.0	0.0	1.0	0.0	1.0
	castillo	1988	4	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	Afrodisiac	1979	3	5.0	0.0	5.0	0.0	1.0
	Dejsi	1962	1	2.0	0.0	2.0	0.0	1.0
	Zophia	1980	3	2.0	1.0	1.0	0.5	0.5
	Egogirl	1981	3	1.0	0.0	1.0	0.0	1.0
	Dajo	1986	4	1.0	0.0	1.0	0.0	1.0
	Annica1	1987	4	2.0	0.0	2.0	0.0	1.0
	Impertiff	1974	3	11.0	0.0	11.0	0.0	1.0
	luckyme	1979	3	2.0	0.0	2.0	0.0	1.0
	Stefanie	1988	4	9.0	0.0	9.0	0.0	1.0
	Lena	1980	3	20.0	1.0	19.0	0.05	0.95
	orpan	1982	3	1.0	0.0	1.0	0.0	1.0
	regnbågspappan	1989	4	1.0	0.0	1.0	0.0	1.0
	Liveit1971	1972	2	1.0	0.0	1.0	0.0	1.0
	Mamma till viljestark dotter	1976	3	10.0	0.0	10.0	0.0	1.0
	Sandra N	1985	4	2.0	0.0	2.0	0.0	1.0
	sol75	1976	3	1.0	0.0	1.0	0.0	1.0
	fruganL	1990	4	28.0	0.0	28.0	0.0	1.0
	lillalitenjag	1982	3	1.0	0.0	1.0	0.0	1.0
	Lima80	1981	3	2.0	0.0	2.0	0.0	1.0
	NicoleSthlm	1984	4	2.0	0.0	2.0	0.0	1.0
	Grodan1972	1973	3	2.0	0.0	2.0	0.0	1.0
	Fraggelgirl	1981	3	6.0	0.0	6.0	0.0	1.0
	Svart ros	1983	4	6.0	0.0	6.0	0.0	1.0
	pyjamastrollet	1986	4	2.0	0.0	2.0	0.0	1.0
	Ablan	1986	4	9.0	8.0	1.0	0.8888888888888888	0.1111111111111111
	Trolli	1985	4	6.0	0.0	6.0	0.0	1.0
	Mylla	1980	3	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
	stardream	1981	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
	lilla mej	1978	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	new age	1980	3	4.0	0.0	4.0	0.0	1.0
	hallåja	1982	3	2.0	0.0	2.0	0.0	1.0
	MymlanMy	1968	2	5.0	0.0	5.0	0.0	1.0
	Jennsan79	1980	3	1.0	0.0	1.0	0.0	1.0
	jådåsåatt	1984	4	6.0	0.0	6.0	0.0	1.0
	bitte67	1968	2	2.0	0.0	2.0	0.0	1.0
	Digestive	1982	3	1.0	0.0	1.0	0.0	1.0
	Rae	1975	3	4.0	0.0	4.0	0.0	1.0
	Väntarochlängtar	1971	2	1.0	1.0	0.0	1.0	0.0
	FallenMadonnaWithTheBigBoobies	1975	3	7.0	0.0	7.0	0.0	1.0
	myzz	1981	3	1.0	0.0	1.0	0.0	1.0
	delifi2	1975	3	7.0	0.0	7.0	0.0	1.0
	Spacekotten	1985	4	1.0	0.0	1.0	0.0	1.0
	hemljuvahem	1986	4	2.0	1.0	1.0	0.5	0.5
	Mummyfied	1990	4	6.0	0.0	6.0	0.0	1.0
	MissB	1983	4	3.0	0.0	3.0	0.0	1.0
	Cattis40	1967	2	8.0	0.0	8.0	0.0	1.0
	Bullan1978	1979	3	20.0	1.0	19.0	0.05	0.95
	Pjåsk	1985	4	1.0	0.0	1.0	0.0	1.0
	Teza73	1974	3	3.0	0.0	3.0	0.0	1.0
	Gravid 89	1990	4	7.0	0.0	7.0	0.0	1.0
	Tattyn	1978	3	4.0	1.0	3.0	0.25	0.75
	SaraSara	1976	3	4.0	1.0	3.0	0.25	0.75
	crazy hannah	1987	4	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
	Insatt	1982	3	4.0	0.0	4.0	0.0	1.0
	vimsan06	1987	4	5.0	0.0	5.0	0.0	1.0
	sursocka	1982	3	3.0	0.0	3.0	0.0	1.0
	EmmaOh	1980	3	4.0	0.0	4.0	0.0	1.0
	hymafr	1965	2	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
	Mejaochjag	1977	3	1.0	0.0	1.0	0.0	1.0
	sommar barn	1980	3	1.0	0.0	1.0	0.0	1.0
	Superhero	1983	4	4.0	1.0	3.0	0.25	0.75
	anniebananie	1983	4	1.0	0.0	1.0	0.0	1.0
	yodi	1980	3	9.0	0.0	9.0	0.0	1.0
	P A K	1973	3	1.0	0.0	1.0	0.0	1.0
	AmandaBrun	1985	4	11.0	0.0	11.0	0.0	1.0
	Aiva	1983	4	2.0	0.0	2.0	0.0	1.0
	Multignutten	1980	3	4.0	0.0	4.0	0.0	1.0
	ajmaj	1975	3	1.0	0.0	1.0	0.0	1.0
	Neccin	1990	4	1.0	0.0	1.0	0.0	1.0
	Helle68	1969	2	1.0	0.0	1.0	0.0	1.0
	apaqnirk	1981	3	6.0	0.0	6.0	0.0	1.0
	Anatha	1979	3	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
	Peecock	1984	4	1.0	0.0	1.0	0.0	1.0
	Doktorn	1972	2	4.0	0.0	4.0	0.0	1.0
	JOJS	1983	4	3.0	0.0	3.0	0.0	1.0
	fotbollsfru	1977	3	2.0	0.0	2.0	0.0	1.0
	Dompans mamma	1983	4	3.0	0.0	3.0	0.0	1.0
	Luxuria	1990	4	1.0	0.0	1.0	0.0	1.0
	Tröttimössan	1981	3	3.0	0.0	3.0	0.0	1.0
	magelita80	1981	3	2.0	0.0	2.0	0.0	1.0
	Lolion	1984	4	3.0	0.0	3.0	0.0	1.0
	Lia85	1986	4	6.0	0.0	6.0	0.0	1.0
	margarita	1957	1	1.0	1.0	0.0	1.0	0.0
	inga76	1977	3	3.0	0.0	3.0	0.0	1.0
	Immini	1989	4	3.0	0.0	3.0	0.0	1.0
	Soffiie	1979	3	5.0	0.0	5.0	0.0	1.0
	WilleViking	1977	3	3.0	0.0	3.0	0.0	1.0
	Pepparmint	1986	4	2.0	0.0	2.0	0.0	1.0
	mandrarinen	1987	4	3.0	0.0	3.0	0.0	1.0
	Ennna	1980	3	1.0	0.0	1.0	0.0	1.0
	Hinos	1969	2	4.0	0.0	4.0	0.0	1.0
	Liten måne	1984	4	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
