speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1125	1990			1.0	1.0	1.0	7.0	0.0	2.0	6.0	12.0							0.0	2.0	0.0	3.0	0.0	2.0
user1126	1982			1.0	2.0	0.0	17.0			1.0	45.0	1.0	1.0					0.0	5.0	0.0	1.0	0.0	2.0
user1127	1982			1.0	2.0	0.0	11.0			0.0	24.0							0.0	1.0	1.0	3.0	0.0	1.0
user1128	1983			0.0	1.0	0.0	1.0			2.0	0.0							0.0	1.0				
user1129	1990			1.0	0.0	1.0	4.0	1.0	0.0	2.0	7.0							1.0	0.0	0.0	1.0	2.0	2.0
user1130	1988			1.0	0.0	0.0	2.0			0.0	9.0					1.0	0.0						
user1131	1981			0.0	2.0	0.0	6.0	0.0	1.0	1.0	8.0							0.0	2.0				
user1132	1987			0.0	1.0	0.0	20.0	0.0	1.0	1.0	13.0							0.0	1.0			0.0	5.0
user1133	1984			1.0	1.0	9.0	44.0	6.0	0.0	130.0	99.0	1.0	0.0	1.0	0.0			1.0	5.0	1.0	3.0	7.0	5.0
user1134	1986			0.0	1.0	0.0	4.0			1.0	29.0							0.0	5.0	0.0	3.0	0.0	5.0
user1135	1983			0.0	1.0	6.0	7.0	1.0	0.0	52.0	0.0			5.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0	1.0	0.0
user1136	1987			0.0	1.0	0.0	1.0			0.0	1.0									0.0	1.0		
user1137	1971			0.0	1.0			1.0	0.0	2.0	0.0												
user1138	1983			1.0	0.0	1.0	1.0																
user1139	1987			0.0	1.0	1.0	2.0			0.0	22.0											0.0	2.0
user1140	1987			0.0	1.0	0.0	8.0			4.0	15.0							0.0	1.0			1.0	2.0
user1141	1986			0.0	1.0	0.0	2.0	0.0	2.0	1.0	18.0			1.0	0.0			0.0	2.0			0.0	1.0
user1142	1984			1.0	0.0	0.0	12.0	0.0	3.0	14.0	37.0			1.0	0.0			0.0	2.0	0.0	3.0		
user1143	1971			0.0	1.0	1.0	1.0																
user1144	1981			1.0	1.0	0.0	7.0	0.0	2.0	22.0	3.0							0.0	2.0	0.0	4.0		
user1145	1981			1.0	2.0	1.0	33.0	4.0	0.0	75.0	18.0	1.0	0.0			3.0	0.0	0.0	3.0	1.0	6.0	1.0	8.0
user1146	1975			0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0									0.0	1.0		
user1147	1988			1.0	0.0					3.0	5.0												
user1148	1979			0.0	1.0	0.0	7.0	0.0	1.0	7.0	0.0	1.0	0.0					0.0	1.0				
