post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2009	MammaMia87	24	20--29	71	23	1	47	0.323943662	0.014084507	0.661971831
2011	MammaMia88	24	20--29	108	6	102	0	0.0555555556	0.9444444444	0
2012	MammaMia88	25	20--29	20	1	19	0	0.05	0.95	0
2014	MammAmma	32	30--39	44	41	3	0	0.9318181818	0.0681818182	0
2015	MammAmma	33	30--39	344	283	61	0	0.8226744186	0.1773255814	0
2016	MammAmma	34	30--39	199	159	40	0	0.7989949749	0.2010050251	0
2017	MammAmma	35	30--39	80	61	19	0	0.7625	0.2375	0
2018	MammAmma	36	30--39	34	28	6	0	0.8235294118	0.1764705882	0
2019	MammAmma	37	30--39	37	30	7	0	0.8108108108	0.1891891892	0
2020	MammAmma	38	30--39	103	85	18	0	0.8252427184	0.1747572816	0
2021	MammAmma	39	30--39	25	24	1	0	0.96	0.04	0
2012	MammaMyran	36	30--39	45	38	0	7	0.8444444444	0	0.1555555556
2013	Mamman09	27	20--29	21	17	2	2	0.8095238095	0.0952380952	0.0952380952
2009	mamman2008	29	20--29	112	79	8	25	0.7053571429	0.0714285714	0.2232142857
2010	mamman2008	30	30--39	11	11	0	0	1	0	0
2011	mamman2008	31	30--39	14	11	2	1	0.7857142857	0.1428571429	0.0714285714
2012	mamman2008	32	30--39	99	86	5	8	0.8686868687	0.0505050505	0.0808080808
2011	MammaOchMatte	29	20--29	44	33	11	0	0.75	0.25	0
2006	mammapåheltid	30	30--39	70	2	68	0	0.0285714286	0.9714285714	0
2007	mammapåheltid	31	30--39	16	0	16	0	0	1	0
2008	mammaprutt	24	20--29	27	22	5	0	0.8148148148	0.1851851852	0
2014	Mammas	46	40--49	10	9	1	0	0.9	0.1	0
2011	mammas4killar	40	40--49	82	1	0	81	0.012195122	0	0.987804878
2012	mammas4killar	41	40--49	43	3	0	40	0.0697674419	0	0.9302325581
2008	mammasälskling	27	20--29	20	1	0	19	0.05	0	0.95
2011	mammasälskling	30	30--39	115	0	0	115	0	0	1
2012	mammasälskling	31	30--39	19	0	0	19	0	0	1
2007	MammasÄlsklingar	39	30--39	32	0	0	32	0	0	1
2008	MammasÄlsklingar	40	40--49	19	1	0	18	0.0526315789	0	0.9473684211
2009	MammasÄlsklingar	41	40--49	42	13	2	27	0.3095238095	0.0476190476	0.6428571429
2012	MammaSandra01	27	20--29	61	4	0	57	0.0655737705	0	0.9344262295
2008	mammasgullar	20	20--29	14	7	0	7	0.5	0	0.5
2009	mammasgullar	21	20--29	84	66	1	17	0.7857142857	0.0119047619	0.2023809524
2010	mammasgullar	22	20--29	47	20	0	27	0.4255319149	0	0.5744680851
2011	mammasgullar	23	20--29	48	23	1	24	0.4791666667	0.0208333333	0.5
2012	mammasgullar	24	20--29	82	53	1	28	0.6463414634	0.012195122	0.3414634146
2012	MammaSofi	28	20--29	10	10	0	0	1	0	0
2012	Mammassaga	28	20--29	12	3	0	9	0.25	0	0.75
2013	Mammassaga	29	20--29	14	12	0	2	0.8571428571	0	0.1428571429
2009	MammaSwahn	21	20--29	16	3	0	13	0.1875	0	0.8125
2010	MammaSwahn	22	20--29	33	8	0	25	0.2424242424	0	0.7575757576
2009	mammat2	24	20--29	14	11	3	0	0.7857142857	0.2142857143	0
2010	Mammat3	25	20--29	21	12	0	9	0.5714285714	0	0.4285714286
2011	Mammat3	26	20--29	29	8	3	18	0.275862069	0.1034482759	0.6206896552
2012	Mammat3	27	20--29	28	22	0	6	0.7857142857	0	0.2142857143
2013	Mammat3	28	20--29	19	12	5	2	0.6315789474	0.2631578947	0.1052631579
2011	mammatill2rara	24	20--29	15	5	9	1	0.3333333333	0.6	0.0666666667
2009	Mammatill2tjejer	41	40--49	20	14	6	0	0.7	0.3	0
2010	Mammatill2tjejer	42	40--49	19	14	5	0	0.7368421053	0.2631578947	0
2011	Mammatill2tjejer	43	40--49	111	85	26	0	0.7657657658	0.2342342342	0
2012	Mammatill2tjejer	44	40--49	23	12	11	0	0.5217391304	0.4782608696	0
2004	mammatill5	21	20--29	30	0	1	29	0	0.0333333333	0.9666666667
2006	mammatill5	23	20--29	40	0	0	40	0	0	1
2009	MammatillAlva	19	<20	12	9	1	2	0.75	0.0833333333	0.1666666667
2011	MammatillAlva	21	20--29	13	13	0	0	1	0	0
2012	MammatillAlva	22	20--29	13	13	0	0	1	0	0
2019	MammaTillDansband	51	50--59	101	82	19	0	0.8118811881	0.1881188119	0
2020	MammaTillDansband	52	50--59	134	110	24	0	0.8208955224	0.1791044776	0
2006	Mammatillfem	22	20--29	116	88	27	1	0.7586206897	0.2327586207	0.0086206897
2007	Mammatillfem	23	20--29	52	40	12	0	0.7692307692	0.2307692308	0
