unique_id	token_id	word	pos	pos_correct	deprel	deprel_correct	dephead_correct	lemma_correct	comment	maincorpus	subcorpus
52	8	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-HUSHEM
53	30	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-HUSHEM
54	8	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-KROPP
55	13	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-KROPP
56	25	de	PN		PA					familjeliv	FAMILJELIV-ALLMANNA-NOJE
57	14	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-NOJE
58	14	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-SAMHALLE
59	29	de	PN		PA					familjeliv	FAMILJELIV-ALLMANNA-SAMHALLE
60	7	de	PN		PA					familjeliv	FAMILJELIV-ALLMANNA-SANDLADAN
61	19	de	PN		OO					familjeliv	FAMILJELIV-ALLMANNA-SANDLADAN
62	15	de	PN		OO					familjeliv	FAMILJELIV-ANGLARUM
63	8	de	PN		PA					familjeliv	FAMILJELIV-ANGLARUM
64	11	de	PN		OO					familjeliv	FAMILJELIV-EXPERT
65	7	de	PN		OO					familjeliv	FAMILJELIV-EXPERT
66	2	De	PN		OO					familjeliv	FAMILJELIV-FORALDER
67	35	de	PN		OO					familjeliv	FAMILJELIV-FORALDER
68	5	de	PN		PA					familjeliv	FAMILJELIV-GRAVID
69	6	de	PN		OO					familjeliv	FAMILJELIV-GRAVID
70	12	de	PN		PA					familjeliv	FAMILJELIV-KANSLIGA
71	16	de	PN		OO					familjeliv	FAMILJELIV-KANSLIGA
72	8	de	PN		OO					familjeliv	FAMILJELIV-MEDLEM-ALLMANNA
73	12	de	PN		OO					familjeliv	FAMILJELIV-MEDLEM-ALLMANNA
74	11	de	PN		PA					familjeliv	FAMILJELIV-MEDLEM-FORALDRAR
75	15	de	PN		PA					familjeliv	FAMILJELIV-MEDLEM-FORALDRAR
76	6	de	PN		OO					familjeliv	FAMILJELIV-MEDLEM-PLANERARBARN
77	7	de	PN		OO					familjeliv	FAMILJELIV-MEDLEM-PLANERARBARN
78	14	de	PN		PA					familjeliv	FAMILJELIV-MEDLEM-VANTARBARN
79	4	de	PN		PA					familjeliv	FAMILJELIV-MEDLEM-VANTARBARN
80	3	de	PN		OO					familjeliv	FAMILJELIV-PAPPAGRUPP
81	10	de	PN		PA					familjeliv	FAMILJELIV-PAPPAGRUPP
82	9	de	PN		PA					familjeliv	FAMILJELIV-PLANERARBARN
83	29	de	PN		OO					familjeliv	FAMILJELIV-PLANERARBARN
84	28	de	PN		OO					familjeliv	FAMILJELIV-SEXSAMLEVNAD
85	14	de	PN		OO					familjeliv	FAMILJELIV-SEXSAMLEVNAD
86	15	de	PN		OO					familjeliv	FAMILJELIV-SVARTATTFABARN
87	69	de	PN		OO					familjeliv	FAMILJELIV-SVARTATTFABARN
88	8	de	PN		PA					flashback	FLASHBACK-DATOR
89	11	de	PN		OO					flashback	FLASHBACK-DATOR
90	3	de	PN		OO					flashback	FLASHBACK-DROGER
91	11	de	PN		OO					flashback	FLASHBACK-DROGER
92	32	de	PN		IO					flashback	FLASHBACK-EKONOMI
93	14	de	PN		OO					flashback	FLASHBACK-EKONOMI
94	3	de	PN		OO					flashback	FLASHBACK-FLASHBACK
95	13	de	PN		PA					flashback	FLASHBACK-FLASHBACK
96	8	de	PN		OO					flashback	FLASHBACK-FORDON
97	21	de	PN		OO					flashback	FLASHBACK-FORDON
98	17	de	PN		PA					flashback	FLASHBACK-HEM
99	25	de	PN		PA					flashback	FLASHBACK-HEM
100	9	de	PN		OO					flashback	FLASHBACK-KULTUR
101	26	de	PN		OO					flashback	FLASHBACK-KULTUR
102	5	de	PN		OO					flashback	FLASHBACK-LIVSSTIL
103	11	de	PN		OO					flashback	FLASHBACK-LIVSSTIL
104	13	de	PN		OO					flashback	FLASHBACK-MAT
105	37	de	PN		OO					flashback	FLASHBACK-MAT
106	22	de	PN		OO					flashback	FLASHBACK-OVRIGT
107	31	de	PN		PA					flashback	FLASHBACK-OVRIGT
108	28	de	PN		PA					flashback	FLASHBACK-POLITIK
109	20	de	PN		OO					flashback	FLASHBACK-POLITIK
110	12	de	PN		PA					flashback	FLASHBACK-RESOR
111	5	de	PN		OO					flashback	FLASHBACK-RESOR
112	10	de	PN		OO					flashback	FLASHBACK-SAMHALLE
113	16	de	PN		OO					flashback	FLASHBACK-SAMHALLE
114	7	de	PN		PA					flashback	FLASHBACK-SEX
115	23	de	PN		PA					flashback	FLASHBACK-SEX
116	16	de	PN		OO					flashback	FLASHBACK-SPORT
117	20	de	PN		IO					flashback	FLASHBACK-SPORT
118	13	de	PN		PA					flashback	FLASHBACK-VETENSKAP
119	14	de	PN		OO					flashback	FLASHBACK-VETENSKAP
120	8	de	PN		PA					gp	GP2001
121	6	de	PN		IO					gp	GP2001
122	6	de	PN		PA					gp	GP2002
123	15	de	PN		IO					gp	GP2002
124	14	de	PN		OO					gp	GP2003
125	13	de	PN		IO					gp	GP2003
126	12	de	PN		PA					gp	GP2004
127	5	de	PN		IO					gp	GP2004
128	5	de	PN		IO					gp	GP2005
129	4	de	PN		PA					gp	GP2005
130	21	de	PN		OO					gp	GP2006
131	17	de	PN		IO					gp	GP2006
132	29	de	PN		IO					gp	GP2007
133	4	de	PN		OO					gp	GP2007
134	5	de	PN		OO					gp	GP2008
135	36	de	PN		OO					gp	GP2008
136	5	de	PN		OO					gp	GP2009
137	2	De	PN		PA					gp	GP2009
138	7	de	PN		OO					gp	GP2010
139	34	de	PN		OO					gp	GP2010
140	13	de	PN		OO					gp	GP2011
141	4	de	PN		OO					gp	GP2011
142	13	de	PN		PA					gp	GP2012
143	30	de	PN		OO					gp	GP2012
144	6	de	PN		OO					gp	GP2013
145	13	de	PN		OO					gp	GP2013
146	4	de	PN		PA					svt	SVT-2004
147	14	de	PN		PA					svt	SVT-2004
148	6	de	PN		IO					svt	SVT-2005
149	20	de	PN		IO					svt	SVT-2005
150	7	de	PN		OO					svt	SVT-2006
151	27	de	PN		IO					svt	SVT-2006
152	20	de	PN		PA					svt	SVT-2007
153	21	de	PN		OO					svt	SVT-2007
154	6	de	PN		PA					svt	SVT-2008
155	20	de	PN		OO					svt	SVT-2008
156	5	de	PN		PA					svt	SVT-2009
157	4	de	PN		PA					svt	SVT-2009
158	11	de	PN		OO					svt	SVT-2010
159	13	de	PN		PA					svt	SVT-2010
160	9	de	PN		OO					svt	SVT-2011
161	9	de	PN		PA					svt	SVT-2011
162	7	de	PN		PA					svt	SVT-2012
163	5	de	PN		OO					svt	SVT-2012
164	9	de	PN		PA					svt	SVT-2013
165	6	de	PN		PA					svt	SVT-2013
166	16	de	PN		PA					svt	SVT-2014
167	23	de	PN		PA					svt	SVT-2014
168	18	de	PN		PA					svt	SVT-2015
169	6	de	PN		OO					svt	SVT-2015
170	13	de	PN		OO					svt	SVT-2016
171	3	de	PN		PA					svt	SVT-2016
172	2	De	PN		PA					svt	SVT-2017
173	7	de	PN		PA					svt	SVT-2017
174	11	de	PN		OO					svt	SVT-2018
175	2	De	PN		PA					svt	SVT-2018
176	9	de	PN		OO					svt	SVT-2019
177	20	de	PN		PA					svt	SVT-2019
178	5	de	PN		OO					svt	SVT-2020
179	13	de	PN		PA					svt	SVT-2020
180	5	de	PN		PA					svt	SVT-2021
181	8	de	PN		IO					svt	SVT-2021
182	30	de	PN		IO					twitter	TWITTER-2015
183	6	de	PN		OO					twitter	TWITTER-2015
184	3	de	PN		OO					twitter	TWITTER-2016
185	4	de	PN		PA					twitter	TWITTER-2016
186	19	de	PN		OO					twitter	TWITTER-2017
187	14	de	PN		OO					twitter	TWITTER-2017
188	10	de	PN		PA					twitter	TWITTER
189	10	de	PN		PA					twitter	TWITTER
