period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2009	Gothica	34	Gen2	2.0	0.0	2.0	0.0	1.0
2006	sandra1984	21	Gen3	6.0	5.0	1.0	0.8333333333333334	0.16666666666666666
2007	Kärnan	28	Gen2	3.0	0.0	3.0	0.0	1.0
2009	jessican	30	Gen2	1.0	1.0	0.0	1.0	0.0
2010	lotties	31	Gen2	7.0	5.0	2.0	0.7142857142857143	0.2857142857142857
2011	Jennie med ie	35	Gen2	63.0	6.0	57.0	0.09523809523809523	0.9047619047619048
2007	Lainan	37	Gen2	11.0	0.0	11.0	0.0	1.0
2007	lokacitron	26	Gen3	10.0	1.0	9.0	0.1	0.9
2008	UmeåElin	26	Gen3	2.0	0.0	2.0	0.0	1.0
2008	lokisse	47	Gen1	2.0	1.0	1.0	0.5	0.5
2007	morotsland	26	Gen3	31.0	4.0	27.0	0.12903225806451613	0.8709677419354839
2007	Vildblomman	22	Gen3	2.0	0.0	2.0	0.0	1.0
2005	lilla mej	27	Gen2	2.0	2.0	0.0	1.0	0.0
2008	Seven Costanza	24	Gen3	11.0	3.0	8.0	0.2727272727272727	0.7272727272727273
2007	Dorian Ertymexx	34	Gen2	107.0	20.0	87.0	0.18691588785046728	0.8130841121495327
2007	Bispan	37	Gen2	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2018	OlgaElvira	65	Gen1	9.0	3.0	6.0	0.3333333333333333	0.6666666666666666
2011	Emmi27	27	Gen3	12.0	3.0	9.0	0.25	0.75
2009	soff82	26	Gen3	1.0	0.0	1.0	0.0	1.0
2011	hymafr	46	Gen1	13.0	3.0	10.0	0.23076923076923078	0.7692307692307693
2009	Lainan	39	Gen2	5.0	0.0	5.0	0.0	1.0
2013	Studentpappa	31	Gen3	5.0	0.0	5.0	0.0	1.0
2013	Butterscotch	38	Gen2	9.0	0.0	9.0	0.0	1.0
2013	Digestive	31	Gen3	24.0	7.0	17.0	0.2916666666666667	0.7083333333333334
2005	Frågis	20	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Velour	40	Gen2	27.0	2.0	25.0	0.07407407407407407	0.9259259259259259
2010	guldplutt	39	Gen2	5.0	1.0	4.0	0.2	0.8
2009	mirrebusan	24	Gen3	4.0	0.0	4.0	0.0	1.0
2011	Nileta	36	Gen2	1.0	1.0	0.0	1.0	0.0
2007	lampfot	37	Gen2	22.0	4.0	18.0	0.18181818181818182	0.8181818181818182
2007	Tildus	37	Gen2	2.0	0.0	2.0	0.0	1.0
2009	J1983	25	Gen3	28.0	1.0	27.0	0.03571428571428571	0.9642857142857143
2010	sara1981	28	Gen3	5.0	1.0	4.0	0.2	0.8
2014	Butterscotch	39	Gen2	9.0	0.0	9.0	0.0	1.0
2008	CeeJay	35	Gen2	36.0	7.0	29.0	0.19444444444444445	0.8055555555555556
2005	Lärarstudent	35	Gen2	1.0	0.0	1.0	0.0	1.0
2009	Emmel	36	Gen2	21.0	3.0	18.0	0.14285714285714285	0.8571428571428571
2016	Minimalen	52	Gen1	1.0	0.0	1.0	0.0	1.0
2010	Aprilbarn1	21	Gen3	5.0	0.0	5.0	0.0	1.0
2007	Jenny81	25	Gen3	8.0	0.0	8.0	0.0	1.0
2007	Boel1	37	Gen2	2.0	1.0	1.0	0.5	0.5
2011	sportpappa	33	Gen2	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2005	solrosblad	35	Gen2	11.0	0.0	11.0	0.0	1.0
2008	NorrVimpel	35	Gen2	5.0	1.0	4.0	0.2	0.8
2011	Argo	41	Gen2	22.0	3.0	19.0	0.13636363636363635	0.8636363636363636
2004	Jennaz	24	Gen3	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2006	rajtantajtan	36	Gen2	17.0	3.0	14.0	0.17647058823529413	0.8235294117647058
2019	korngryn	49	Gen2	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2009	BTD	33	Gen2	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2008	nonayti	25	Gen3	5.0	0.0	5.0	0.0	1.0
2016	K Kalle	34	Gen3	22.0	1.0	21.0	0.045454545454545456	0.9545454545454546
2011	Ponja	23	Gen3	4.0	4.0	0.0	1.0	0.0
2006	Tesselessan	20	Gen3	1.0	0.0	1.0	0.0	1.0
2006	LaFontaine	21	Gen3	11.0	4.0	7.0	0.36363636363636365	0.6363636363636364
2010	Stargirl	40	Gen2	14.0	7.0	7.0	0.5	0.5
2010	Astarte	30	Gen3	22.0	21.0	1.0	0.9545454545454546	0.045454545454545456
2010	Dorian Ertymexx	37	Gen2	126.0	5.0	121.0	0.03968253968253968	0.9603174603174603
2010	Labolinas	40	Gen2	8.0	5.0	3.0	0.625	0.375
2010	Hedi	44	Gen1	9.0	4.0	5.0	0.4444444444444444	0.5555555555555556
2010	Irma01	32	Gen2	26.0	6.0	20.0	0.23076923076923078	0.7692307692307693
2010	Mashenjka	37	Gen2	5.0	0.0	5.0	0.0	1.0
2009	mandolin76	34	Gen2	5.0	4.0	1.0	0.8	0.2
2007	Stugan	28	Gen2	2.0	0.0	2.0	0.0	1.0
2009	Emmy K	30	Gen2	5.0	5.0	0.0	1.0	0.0
2011	Mornie Alantie	24	Gen3	5.0	3.0	2.0	0.6	0.4
2005	Lady	35	Gen2	22.0	22.0	0.0	1.0	0.0
2009	Marleen	23	Gen3	2.0	0.0	2.0	0.0	1.0
2018	riboflavin	33	Gen3	7.0	0.0	7.0	0.0	1.0
2007	Smurfan JM	21	Gen3	18.0	5.0	13.0	0.2777777777777778	0.7222222222222222
2017	Seven Costanza	33	Gen3	3.0	3.0	0.0	1.0	0.0
2007	Velour	37	Gen2	30.0	3.0	27.0	0.1	0.9
2018	Emmissara	22	Gen4	1.0	0.0	1.0	0.0	1.0
2009	grata	31	Gen2	3.0	3.0	0.0	1.0	0.0
2008	Dorian Ertymexx	35	Gen2	96.0	18.0	78.0	0.1875	0.8125
2009	JoelBus	23	Gen3	1.0	0.0	1.0	0.0	1.0
2011	FreeForAll	27	Gen3	3.0	0.0	3.0	0.0	1.0
2008	Moomin	26	Gen3	5.0	5.0	0.0	1.0	0.0
2009	Majuni	35	Gen2	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2009	fröken sol	30	Gen2	2.0	1.0	1.0	0.5	0.5
2009	Annanym	39	Gen2	5.0	4.0	1.0	0.8	0.2
2013	Wimsey	43	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2009	juzze	25	Gen3	3.0	0.0	3.0	0.0	1.0
2011	Anova	32	Gen2	20.0	3.0	17.0	0.15	0.85
2009	Pumpkin	24	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2009	Behemot	39	Gen2	43.0	5.0	38.0	0.11627906976744186	0.8837209302325582
2008	Celestina	28	Gen3	2.0	0.0	2.0	0.0	1.0
2019	Nicco123	25	Gen4	1.0	0.0	1.0	0.0	1.0
2012	nostalgi	52	Gen1	5.0	5.0	0.0	1.0	0.0
2007	Chaplin	31	Gen2	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2009	mika85	23	Gen3	1.0	0.0	1.0	0.0	1.0
2009	Idacha	39	Gen2	1.0	1.0	0.0	1.0	0.0
2009	AnnaKlara	38	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2008	MayaS	38	Gen2	2.0	0.0	2.0	0.0	1.0
2008	Atamon	36	Gen2	36.0	1.0	35.0	0.027777777777777776	0.9722222222222222
2008	paola	38	Gen2	2.0	2.0	0.0	1.0	0.0
2006	ebben	36	Gen2	28.0	0.0	28.0	0.0	1.0
2006	linedja	24	Gen3	1.0	1.0	0.0	1.0	0.0
2009	cii	23	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2009	modestyclara	30	Gen2	25.0	4.0	21.0	0.16	0.84
2014	Skogshuggaren	44	Gen2	1.0	0.0	1.0	0.0	1.0
2014	Tacksamt	36	Gen2	2.0	0.0	2.0	0.0	1.0
2012	miapia	34	Gen2	1.0	0.0	1.0	0.0	1.0
2005	Lilla Lila	28	Gen2	1.0	0.0	1.0	0.0	1.0
2014	Seven Costanza	30	Gen3	3.0	3.0	0.0	1.0	0.0
2008	Niklas	38	Gen2	7.0	0.0	7.0	0.0	1.0
2010	Anonyhm	40	Gen2	4.0	4.0	0.0	1.0	0.0
2005	Maja Gräddnos	26	Gen2	10.0	2.0	8.0	0.2	0.8
2008	jesslin	35	Gen2	11.0	7.0	4.0	0.6363636363636364	0.36363636363636365
2010	Colisa	29	Gen3	2.0	0.0	2.0	0.0	1.0
2007	Brodsmulan	29	Gen2	11.0	3.0	8.0	0.2727272727272727	0.7272727272727273
2011	upyours	30	Gen3	2.0	1.0	1.0	0.5	0.5
2007	MalinI	28	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	HelenFr	28	Gen3	5.0	0.0	5.0	0.0	1.0
2009	Floff	26	Gen3	7.0	2.0	5.0	0.2857142857142857	0.7142857142857143
2006	Soldyrkaren	36	Gen2	2.0	1.0	1.0	0.5	0.5
2018	UniformYankie	21	Gen4	1.0	0.0	1.0	0.0	1.0
2020	Minimalen	56	Gen1	1.0	0.0	1.0	0.0	1.0
2006	Tant Groda	23	Gen3	15.0	5.0	10.0	0.3333333333333333	0.6666666666666666
2009	Knasiga morsan	24	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	CuteElliz	18	Gen3	9.0	0.0	9.0	0.0	1.0
2010	CeeJay	37	Gen2	18.0	1.0	17.0	0.05555555555555555	0.9444444444444444
2005	Jossebell	36	Gen1	10.0	8.0	2.0	0.8	0.2
2006	Jillisen	36	Gen2	4.0	0.0	4.0	0.0	1.0
2009	Dilong	46	Gen1	42.0	2.0	40.0	0.047619047619047616	0.9523809523809523
2020	nnnnnnnn	50	Gen2	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2007	werner	31	Gen2	2.0	0.0	2.0	0.0	1.0
2021	Emerencia	51	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Hercule	39	Gen2	28.0	2.0	26.0	0.07142857142857142	0.9285714285714286
2020	S23	28	Gen4	10.0	9.0	1.0	0.9	0.1
2007	Nattviolen	37	Gen2	3.0	0.0	3.0	0.0	1.0
2013	Ampellilja	23	Gen4	2.0	0.0	2.0	0.0	1.0
2008	Peztis	38	Gen2	8.0	3.0	5.0	0.375	0.625
2006	sparkling	36	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2009	Humlemamma	25	Gen3	2.0	0.0	2.0	0.0	1.0
2012	majamajas	38	Gen2	2.0	2.0	0.0	1.0	0.0
2009	margarita	52	Gen1	9.0	0.0	9.0	0.0	1.0
2006	Mymlann	27	Gen2	2.0	1.0	1.0	0.5	0.5
