username	datapoints_t	change	innov_start	innov_end	datapoints_i	datapoints_e
antilife	5	0	1	1	2	3
Frappant	5	0	0	0	1	4
HimmelsBlau	5	0	1	1	1	4
Humbug	5	0	0	0	1	4
Folketstempel	5	0	0	0	1	4
O.s.a.	5	0	0	0	1	4
Drama-Llama	5	0	1	1	1	4
megacoolman	5	0	1	1	1	4
Pausanias	5	0	1	1	1	4
Kallfusion	5	0	1	1	2	3
D123	5	0	1	1	1	4
Moment22x22	5	0	1	1	1	4
DerRoteBaron	5	0	1	1	2	3
gefundenes	5	0	1	1	2	3
MasterBait	5	0	1	1	2	3
Moentos	5	0	1	1	1	4
Fittheligeande	5	0	1	1	1	4
skn88	5	0	1	1	2	3
Insyn5	5	0	1	1	1	4
chik	5	0	1	1	1	4
De Large	5	0	0	0	1	4
trekky76	5	0	0	0	1	4
EricBe	5	0	1	1	1	4
fummelpummel	5	0	1	1	1	4
lallisen	5	0	1	1	1	4
Mich13	5	0	1	1	1	4
Cymbaltazzz	5	0	1	1	1	4
KABUN	5	0	1	1	1	4
Titanicsurvivor	5	0	1	1	1	4
Lava	5	0	1	1	1	4
Svidden	5	0	1	1	1	4
Grim.Fandango	5	0	0	0	1	4
Hominem	5	0	1	1	1	4
wakkawalla	5	0	1	1	1	4
Wretch32	5	0	1	1	1	4
Inkommer	4	1	0	1	2	2
Arne Bajse	4	1	0	1	2	2
JayJayAdams	4	1	1	0	2	2
snorkherren	4	1	0.8333333333	0	3	1
L-illuminato	4	1	0	1	4	0
Ion-Cannon	4	1	1	0	3	1
TerjeWendtCompello	4	1	0	1	2	2
EuroD	4	1	0	1	2	2
Vilsen	4	1	0	1	2	2
narcissist_	4	1	0	1	2	2
ChaimMuhammedsson	4	1	0.3333333333	1	3	1
wheezywaiter	4	1	0	1	2	2
CherryJul	4	1	1	0	2	2
3	4	1	0	1	2	2
knaz_mongo	4	1	0	1	2	2
Rosenkvarts	4	1	0	1	2	2
Elashback	4	1	0	1	2	2
Egon.Krenz	4	1	0	1	2	2
breeze420	4	1	0	1	2	2
F-lashback	4	1	0	1	2	2
teameffort	4	1	0	1	3	1
KaffeBlatte	4	1	0	1	3	1
-benito-	4	1	0	1	2	2
SaftMaja	4	1	0	1	3	1
Praetori	4	1	0	1	2	2
Kalle-Kotte	4	1	0	1	2	2
Nochills	4	1	0	1	2	2
Mormonlady	4	1	0	1	3	1
iSlash	4	1	0	1	2	2
Sha R'Tae	4	1	0	1	3	1
admin	4	1	0	1	2	2
As-33-15-4-p	4	1	0	1	4	0
nero1	4	1	0	1	2	2
kostarskjortan	4	1	0	1	2	2
simonpimonpoo	4	1	0	1	2	2
Broken Tusk	4	1	0	1	3	1
Drini	4	1	0	1	2	2
DoubleWood	4	1	0	1	2	2
endumbonde	4	1	0	1	2	2
Idiotpod	4	1	1	0	2	2
MkII	4	1	0	1	3	1
Djurmo	4	1	0	1	3	1
henkka	4	1	0	1	4	0
excelsis	4	1	0	1	3	1
Etnopluralist	4	1	0	1	2	2
krisu	4	1	0	1	2	2
Porryhatter	4	1	1	1	3	1
Carobnjak	4	1	1	0	2	2
ManJuice	4	1	0	1	4	0
Maltsev	4	1	0	0	3	1
LiberalDemokrati	4	1	0.5	1	3	1
Falukropp	4	1	0	1	3	1
deckardrottningen	4	1	0	1	2	2
Vortur	4	1	0	1	2	2
deTremouillac	4	1	0	1	2	2
Kosken-Pekka	4	1	0	1	3	1
vonmanstein	4	1	0	1	2	2
Smutz	4	1	0	1	2	2
pingvinen	4	1	0	1	2	2
Raticid	4	1	0	1	2	2
Gamling	4	1	0	1	3	1
stoppsmäll	4	1	0	1	3	1
Åh fy fan..	4	1	0	1	2	2
Genpolen	4	1	0	1	2	2
Ignatius94	4	1	0	1	2	2
eradico	4	1	0	1	2	2
dandino	4	1	0	1	2	2
Till-marschmusik	4	1	0	1	2	2
FulAgent007	4	1	1	0	2	2
Sprangdegs-Harry	4	1	0	1	2	2
asdf1	4	1	0	1	3	1
Sababa	4	1	0	1	2	2
SteelPizza	4	1	1	0	2	2
Gambia	4	1	0	1	2	2
Sthu	4	1	0	1	2	2
Vinet	4	1	0	1	2	2
vi	4	1	0	1	2	2
mambosius	4	1	0	1	2	2
mr13377	4	1	1	0	2	2
Dao	4	1	0	1	2	2
Dragonflash	4	1	0	1	2	2
Efebofilkusten	4	1	0	1	2	2
wilt	4	0.9375	0.0625	1	2	2
43dz	4	0.8333333333	1	0.1666666667	2	2
JohnnyYuma	4	0.8	1	0.2	2	2
swedishtripper	4	0.75	0	0.75	2	2
fogel72	4	0.75	0	0.75	2	2
OKPOSO	4	0.75	0	0.75	2	2
MissAjDiHiDi	4	0.7142857143	1	0.2857142857	2	2
Rodriguez89-2	4	0.7065217391	0.9565217391	0.25	2	2
tigertompa	4	0.6666666667	0.3333333333	1	2	2
BlueStar	4	0.6666666667	0	0.6666666667	2	2
NotTheFullQuid	4	0.6666666667	0	0.6666666667	2	2
gentleman	4	0.6	1	0.4	2	2
Flashbackarna	4	0.5333333333	0	0.5333333333	3	1
ProGBG	4	0.5	1	0.5	2	2
Beckisbarnet	4	0.5	1	0.5	2	2
Blazaren	4	0.5	1	0.5	2	2
Samesh	4	0.5	0.5	1	2	2
KloBengan	4	0.5	0.5	1	2	2
heyhey1	4	0.5	1	0.5	3	1
frusciantelo	4	0.5	1	0.5	2	2
ThisIsSparta	4	0.5	0	0.5	2	2
Behovstyrd	4	0.5	0	0.5	3	1
Synergy	4	0.5	0.5	1	2	2
Diseased	4	0.5	0.5	1	2	2
Urgrund	4	0.5	0.5	0	2	2
Swecurry	4	0.5	0.5	0	2	2
Bruksgasellen	4	0.5	0.5	1	3	1
Pleiadesz	4	0.5	0.5	1	3	1
svennekebab	4	0.5	1	0.5	2	2
Malkizid	4	0.4444444444	0.4444444444	0	2	2
Ingetval	4	0.4	0.6	1	2	2
AnonymousSmurf	4	0.4	0	0	3	1
Ron.Paul	4	0.375	0	0.375	2	2
FamilynameWeed	4	0.3333333333	1	0.6666666667	2	2
LepraHunk	4	0.3333333333	1	0.6666666667	2	2
ColaKex	4	0.3333333333	0.6666666667	1	2	2
Doktoranden	4	0.3333333333	1	0.6666666667	2	2
Surmumlan	4	0.3333333333	0.6666666667	1	2	2
nidna	4	0.3333333333	1	0.6666666667	2	2
Harald99	4	0.3333333333	1	1	3	1
kunskaparen	4	0.3333333333	1	0.6666666667	2	2
martienne	4	0.3333333333	0	0.3333333333	2	2
init	4	0.3333333333	0	0.3333333333	2	2
ReclaimYourMind	4	0.3076923077	0.6923076923	1	2	2
Mr.Goat	4	0.3	1	0.7	2	2
Dubya	4	0.2626262626	0.4444444444	0.1818181818	2	2
thelindgrennhero	4	0.25	0.75	1	2	2
with3r	4	0.25	1	1	3	1
the-consul	4	0.25	0	0.25	2	2
andesr	4	0.25	1	0.75	2	2
Louise	4	0.2222222222	0	0.2222222222	2	2
11235813	4	0.2	0.8	1	2	2
ReubenFlagg	4	0.2	0	0.2	2	2
St.Moses	4	0.1785714286	0.8214285714	1	2	2
L0daren	4	0.1739130435	0	0.1739130435	2	2
Glaucius	4	0.1666666667	0.8333333333	1	2	2
WakeUpWakeUp	4	0.1572481572	0.9545454545	0.7972972973	2	2
Evangelion	4	0.1333333333	0.1333333333	0	3	1
SoberZealot	4	0.125	1	0.875	2	2
RagnarLodbrok	4	0.1111111111	0.5555555556	0.6666666667	2	2
kissflickan	4	0.1	0	0.1	2	2
bern77	4	0.0754716981	1	0.9245283019	2	2
hardstart	4	0.0714285714	0.5714285714	0.5	2	2
lifswiljan	4	0.05	0.2	0.25	2	2
Trotteri	4	0.037037037	0.962962963	1	2	2
Berengar	4	0.017017017	0.037037037	0.0540540541	2	2
Natalz2	4	0.0133333333	0.9866666667	1	2	2
Conlon	4	0	1	1	3	1
Hew18	4	0	1	1	1	3
NoTrouble	4	0	1	1	2	2
NigNog	4	0	1	1	2	2
leera	4	0	1	1	2	2
Roxic	4	0	1	1	3	1
MrSwedeGliderRunt	4	0	1	1	1	3
Queenofqueens	4	0	1	1	2	2
triptyken	4	0	1	1	2	2
Martikainen	4	0	1	1	2	2
RainOfMisery	4	0	1	1	2	2
Sven2	4	0	1	1	1	3
awoke11	4	0	1	1	2	2
Brölbrutus	4	0	1	1	2	2
Niggward	4	0	1	1	2	2
kingping123	4	0	1	1	1	3
namatara	4	0	1	1	2	2
AlfaKennyBody	4	0	1	1	2	2
BekraftadNeger	4	0	1	1	1	3
Kilimandjaro	4	0	1	1	2	2
Crapmagic	4	0	1	1	1	3
Bajslukt	4	0	1	1	2	2
Psykbryt76	4	0	1	1	2	2
GylleneUttern2	4	0	1	1	2	2
Pippipipparpippin	4	0	1	1	2	2
Kackotopi	4	0	1	1	1	3
Quackenbush	4	0	1	1	2	2
Soltorkadetomater	4	0	1	1	3	1
.SMOrcimus.PriME	4	0	1	1	2	2
Whyback	4	0	1	1	2	2
butterflykniv	4	0	1	1	3	1
eva89	4	0	1	1	2	2
NothingToSay	4	0	1	1	2	2
FriedrunVonSchlitz	4	0	1	1	2	2
Foliehattmakare	4	0	1	1	2	2
Nestor X	4	0	1	1	2	2
MobbadeJessica	4	0	1	1	2	2
AdMortem	4	0	1	1	2	2
M.Labingi	4	0	1	1	2	2
Charvet	4	0	1	1	2	2
One2Many	4	0	1	1	2	2
schizophrenia	4	0	1	1	2	2
Rauno1	4	0	1	1	2	2
DeVaLaGott88	4	0	1	1	2	2
Gnomegirl	4	0	1	1	2	2
Ridne	4	0	1	1	1	3
La Belva	4	0	1	1	2	2
JanTaliban	4	0	1	1	3	1
nobbens	4	0	1	1	2	2
DidierDrogba02	4	0	1	1	2	2
Sejfu	4	0	1	1	2	2
vlkmslf	4	0	1	1	1	3
AirOfficer	4	0	1	1	2	2
daskapitan	4	0	1	1	2	2
catforwardpower	4	0	1	1	1	3
BirosKorlaff	4	0	1	1	2	2
Mialterego	4	0	1	1	2	2
REWall	4	0	1	1	2	2
antiqoole	4	0	1	1	1	3
JagheterHenrik	4	0	1	1	2	2
runx	4	0	1	1	2	2
theshade	4	0	1	1	3	1
aquaman1	4	0	1	1	2	2
Massonite	4	0	1	1	2	2
5ever	4	0	1	1	3	1
GTFO-Foreigner	4	0	1	1	2	2
Softer	4	0	1	1	2	2
seaworthy	4	0	1	1	1	3
Wowbagger2000	4	0	1	1	1	3
SvenskaLejonet	4	0	1	1	2	2
ConspiracyEyes	4	0	1	1	2	2
stycket	4	0	1	1	2	2
a-mortal	4	0	1	1	1	3
Emoist	4	0	1	1	3	1
Teu	4	0	1	1	1	3
RobertEriksson99	4	0	1	1	2	2
Paramartha	4	0	1	1	2	2
arcsin	4	0	1	1	2	2
diseuse	4	0	0	0	2	2
WrenchZeMonkey	4	0	1	1	2	2
Yarpyarp	4	0	1	1	2	2
Commonality	4	0	1	1	2	2
Herakleios	4	0	1	1	2	2
Nyreggadjude	4	0	1	1	2	2
nidhoogen	4	0	1	1	2	2
evertronaldo	4	0	1	1	2	2
Facade	4	0	1	1	1	3
Vetefasiken	4	0	1	1	2	2
vonSnorre	4	0	1	1	2	2
Prempion	4	0	1	1	1	3
Clas.Ohlsson.453	4	0	1	1	2	2
anotherpieceofmeat	4	0	1	1	1	3
ToorMan	4	0	1	1	1	3
Vadoadoa	4	0	1	1	1	3
HaveFun	4	0	1	1	1	3
Bankkonsulten	4	0	1	1	2	2
BIB3l	4	0	1	1	2	2
Doosing	4	0	1	1	2	2
dannbaggen	4	0	1	1	2	2
blabarssylt	4	0	1	1	2	2
dic-tator	4	0	1	1	2	2
Realtesto	4	0	1	1	2	2
Lee-Clayton	4	0	1	1	2	2
ibis99	4	0	1	1	1	3
SithMaster	4	0	1	1	2	2
Artsdoktor	4	0	1	1	2	2
Youholic	4	0	1	1	2	2
Davy	4	0	1	1	1	3
rocknrollswindel	4	0	1	1	2	2
saganshus	4	0	1	1	1	3
TheFatDove	4	0	1	1	2	2
Himmalajja	4	0	1	1	2	2
taenok	4	0	1	1	1	3
MisterMagooo	4	0	1	1	1	3
Pillenfille	4	0	1	1	3	1
pilsnerlord	4	0	1	1	2	2
Pogbasshoes	4	0	1	1	1	3
Dimpen	4	0	1	1	2	2
Stefan S	4	0	1	1	1	3
totalattack	4	0	1	1	2	2
Kosegutten	4	0	1	1	2	2
EnSomKan	4	0	1	1	2	2
Anonymare	4	0	1	1	2	2
Merdive	4	0	1	1	3	1
Avel	4	0	1	1	2	2
bbwolf	4	0	1	1	2	2
MundoAzul	4	0	1	1	1	3
HBMorantis	4	0	1	1	2	2
Hejhejvidica	4	0	1	1	2	2
Nigeralia	4	0	1	1	3	1
Utredaren	4	0	0	0	1	3
jtd	4	0	1	1	1	3
trancas	4	0	1	1	2	2
AlfredosO	4	0	1	1	2	2
beer-goggles	4	0	1	1	2	2
Running_man	4	0	1	1	1	3
Yayoi	4	0	1	1	2	2
sunnis	4	0	1	1	2	2
Leibach	4	0	1	1	2	2
kopenhamnlover	4	0	1	1	2	2
zilog-80	4	0	1	1	2	2
busy-signal	4	0	1	1	2	2
Jannebigplay	4	0	1	1	1	3
Ashtaroth2	4	0	1	1	2	2
najas	4	0	1	1	1	3
McCarthy01	4	0	1	1	2	2
TheOriginalJulhund	4	0	1	1	2	2
LoketeGo	4	0	1	1	2	2
orolfstolle	4	0	1	1	1	3
kasperwolfgang	4	0	1	1	1	3
Dukater	4	0	1	1	1	3
Holden.Caulfield	4	0	1	1	2	2
Tobbebobbe0	4	0	1	1	2	2
Soda--Pop	4	0	1	1	2	2
blueberrycake	4	0	1	1	2	2
Hagall123	4	0	1	1	3	1
Monkeyspank	4	0	1	1	2	2
showdown	4	0	1	1	2	2
KahlanAmnell	4	0	1	1	2	2
Eckiumbum	4	0	1	1	2	2
Engelitz	4	0	1	1	3	1
Tervull	4	0	1	1	2	2
Vanstertrollet	4	0	1	1	2	2
UgLyBastard	4	0	1	1	2	2
HeilSeiGegrust	4	0	1	1	2	2
givemeyourmoney	4	0	1	1	2	2
WTFSTHLM	4	0	1	1	2	2
Veckans klubba	4	0	1	1	2	2
LenaPaul	4	0	1	1	1	3
SuperViting	4	0	1	1	2	2
kurrekotte	4	0	1	1	2	2
rappytt	4	0	1	1	1	3
PinkLacey	4	0	1	1	2	2
johnthedickholmes	4	0	1	1	1	3
The-Servant	4	0	1	1	1	3
kverty	4	0	1	1	2	2
Ulrik.Agren	4	0	1	1	2	2
H.G.	4	0	1	1	2	2
Landos	4	0	1	1	3	1
Tarrou	4	0	1	1	1	3
KinaTorterarSvensk	4	0	1	1	1	3
Stockholmsjevel	4	0	1	1	2	2
botteupp	4	0	1	1	1	3
thelastkingofscotl...	4	0	1	1	2	2
Othfanaticos	4	0	1	1	1	3
TveksamOmMittLand	4	0	1	1	2	2
sirup	4	0	1	1	1	3
CokeLaRock	4	0	1	1	2	2
0ldMan	4	0	1	1	3	1
Luzern	4	0	1	1	2	2
Larmknappen	4	0	1	1	2	2
Verkisto2	4	0	1	1	2	2
Needs.more.brandy	4	0	1	1	1	3
Sextioplus	4	0	1	1	2	2
Narutoshippchop	4	0	1	1	1	3
Innerfittefett	4	0	1	1	3	1
Orosmoln	4	0	1	1	2	2
InnerstInne	4	0	1	1	3	1
Pitschka	4	0	1	1	1	3
eoku	4	0	1	1	1	3
Tsarevitj	4	0	1	1	3	1
Optimaten	4	0	1	1	2	2
Nordoxen	4	0	1	1	2	2
AlbusPercival	4	0	1	1	2	2
fitta	4	0	1	1	2	2
SorgsenNationalist	4	0	1	1	2	2
Sanningskorn	4	0	1	1	1	3
OphidianOnline	4	0	1	1	2	2
Erty0192	4	0	1	1	2	2
L.D.	4	0	1	1	1	3
Mindbusiness	4	0	1	1	2	2
noden	4	0	1	1	1	3
herrpenis	4	0	1	1	2	2
MrLevaLivet	4	0	1	1	1	3
Imperialwitch	4	0	1	1	2	2
Sinrath	4	0	1	1	1	3
groovesnus	4	0	1	1	2	2
Svavelvinter	4	0	1	1	2	2
Jagdrausch	4	0	0	0	2	2
Ronkmonken	4	0	1	1	1	3
Pukeeye	4	0	1	1	2	2
wtfuk	4	0	1	1	2	2
Phailure	4	0	0	0	1	3
-vaas-	4	0	1	1	2	2
failure	4	0	1	1	1	3
ettpundsvartkrut	4	0	1	1	3	1
MalleusMaleficarum	4	0	1	1	2	2
Bladderblad	4	0	1	1	2	2
Istidraj	4	0	1	1	1	3
Groenman	4	0	1	1	1	3
Lt.Takeyama	4	0	1	1	3	1
Knugen-Skuk	4	0	1	1	1	3
Straiter	4	0	0	0	2	2
Neromecha	4	0	0	0	1	3
Argus-eyed	4	0	1	1	2	2
dA_1_nibblah	4	0	1	1	3	1
folvidon	4	0	1	1	2	2
fostrom	4	0	1	1	1	3
Jafan89	4	0	1	1	1	3
endure	4	0	1	1	1	3
vraalaak	4	0	1	1	2	2
PKJuristen	4	0	1	1	2	2
PrivatPiratPrimat	4	0	1	1	2	2
PatriaNostra	4	0	1	1	2	2
playmate	4	0	1	1	2	2
sympatico	4	0	1	1	3	1
kanzaki	4	0	1	1	1	3
oddman84	4	0	1	1	1	3
HermanLundborg	4	0	0	0	2	2
R3kyl	4	0	1	1	2	2
Blodjord	4	0	1	1	2	2
vonSnaps	4	0	1	1	2	2
DeadLikeMe	4	0	1	1	1	3
MentosFruitcore	4	0	0	0	1	3
reffi	4	0	1	1	2	2
Krystall	4	0	1	1	2	2
Atomist	4	0	1	1	1	3
PremiumBananas	4	0	1	1	1	3
HerrSmurf	4	0	1	1	2	2
Kaviarkommunist	4	0	1	1	1	3
D-Reign	4	0	1	1	3	1
SFS	4	0	1	1	3	1
Combot	4	0	0	0	1	3
Hegernataren	4	0	0	0	2	2
JAM	4	0	1	1	2	2
Pro-Enfald	4	0	1	1	2	2
NitsirK72	4	0	1	1	2	2
Netzach	4	0	1	1	1	3
CannonDorf	4	0	1	1	1	3
Funkydude	4	0	1	1	1	3
Jasonlives	4	0	1	1	2	2
Pingvinkokos	4	0	0	0	2	2
Warg	4	0	1	1	2	2
HumpingDog	4	0	1	1	2	2
Horfest	4	0	1	1	1	3
TrashigPsycho	4	0	1	1	2	2
smålandtintin	4	0	1	1	1	3
yegori	4	0	1	1	2	2
Psycho-Killer	4	0	1	1	1	3
Indico	4	0	0	0	1	3
Serialfreak	4	0	0.25	0.25	1	3
svulle	4	0	1	1	1	3
Q.E.D.	4	0	1	1	2	2
72mm	4	0	1	1	2	2
krakelibrankel	4	0	1	1	2	2
Nihenna	4	0	1	1	1	3
c-d af and	4	0	1	1	1	3
Utflyttadsthlmare	4	0	1	1	2	2
Chalmeristen	4	0	1	1	2	2
mahuang	4	0	1	1	2	2
DaChief	4	0	1	1	1	3
CharlieR	4	0	1	1	2	2
Mysch	4	0	1	1	1	3
Grodologen	4	0	1	1	2	2
Klownface	4	0	1	1	2	2
CommuHater	4	0	1	1	1	3
Besserschmitt	4	0	1	1	2	2
NegroidMongoloid	4	0	1	1	1	3
JesusAlskarAlla	4	0	1	1	3	1
StillaHavet	4	0	1	1	2	2
Shalashaska	4	0	1	1	1	3
Griever	4	0	1	1	2	2
TolerantSwine	4	0	1	1	1	3
Endryt	4	0	1	1	2	2
Mach3	4	0	1	1	3	1
Sugminstorasalta	4	0	1	1	2	2
Latrygg	4	0	1	1	2	2
Blwsgddf	4	0	1	1	2	2
Slaskfarsan	4	0	1	1	1	3
Ninja4Life	4	0	1	1	2	2
Fladerlappen	4	0	1	1	1	3
justifymylove	4	0	1	1	2	2
aribert	4	0	1	1	2	2
Venicones	4	0	1	1	2	2
Stukas	4	0	1	1	1	3
HectorDaiquiri	4	0	1	1	2	2
StickmanRevolution	4	0	1	1	2	2
Insertnickname	4	0	1	1	2	2
Clawdice	4	0	1	1	2	2
TraXzman	4	0	1	1	1	3
SvetsarnFromHell	4	0	1	1	2	2
KlasseArboga	4	0	1	1	2	2
derfilo999	4	0	1	1	2	2
Jerzy.Sarnecki	4	0	1	1	3	1
mazedaze	4	0	1	1	2	2
Vargfar	4	0	1	1	3	1
hannes.muller	4	0	1	1	2	2
EffinEjit	4	0	1	1	2	2
XRAH	4	0	1	1	2	2
BLW77	4	0	1	1	2	2
ursprungligen	4	0	1	1	1	3
Exxus	4	0	1	1	1	3
SlowScarecrow	4	0	1	1	1	3
Gottisborgen	4	0	1	1	2	2
MataRengi	4	0	1	1	2	2
enough-is-enough	4	0	1	1	1	3
Expohunter	4	0	1	1	2	2
Wkblade	4	0	1	1	2	2
O.Staaf	4	0	1	1	2	2
Rostere	4	0	1	1	1	3
Kalvstek	4	0	0	0	2	2
Hermanhe	4	0	1	1	1	3
VigosRos	4	0	1	1	1	3
Mirandamirage	4	0	1	1	3	1
Camuga	4	0	1	1	1	3
LiteKetaTack	4	0	1	1	2	2
pref69	4	0	1	1	3	1
qup	4	0	1	1	1	3
Chill123	4	0	1	1	1	3
AntiKike	4	0	1	1	2	2
Hero997	4	0	1	1	3	1
hanspippi	4	0	1	1	1	3
Nejtillskatt	4	0	1	1	2	2
Generalknase	4	0	1	1	2	2
iloveass2	4	0	1	1	2	2
tradgardsflum	4	0	1	1	2	2
T-35-85	4	0	1	1	3	1
HenrikN96	4	0	1	1	1	3
Fjodor1000	4	0	1	1	1	3
53fisken	4	0	1	1	1	3
kugutt	4	0	1	1	1	3
Smeso	4	0	1	1	1	3
Bubba00	4	0	0	0	1	3
funderande	4	0	1	1	2	2
Gunnilas-bulle	4	0	1	1	2	2
Kasla92	4	0	1	1	2	2
TemplarKnight	4	0	1	1	2	2
TjuvenFerdinand	4	0	1	1	1	3
onelostsoul	4	0	1	1	2	2
Nurjenf	4	0	1	1	2	2
TilleyHat	4	0	1	1	2	2
DenLilleTjocke	4	0	1	1	2	2
Landsflykting	4	0	1	1	1	3
Ollonet	4	0	1	1	1	3
Sisoedaersoet	4	0	1	1	2	2
laprikapaprika	4	0	1	1	1	3
RadikalFail	4	0	1	1	1	3
donaldtrump2016	4	0	1	1	2	2
demonmormor	4	0	1	1	2	2
Han.Jelin	4	0	1	1	2	2
technoisbest	4	0	1	1	2	2
Jimmiedee	4	0	0.6666666667	0.6666666667	1	3
Machinerator	4	0	1	1	2	2
akehodell	4	0	1	1	2	2
Bleach	4	0	1	1	1	3
StarkeAlfred	4	0	1	1	2	2
Neverhesitate	4	0	1	1	1	3
Azimut68	4	0	1	1	1	3
deadpixel	4	0	1	1	3	1
cetkin	4	0	1	1	3	1
lyckolandet	4	0	1	1	2	2
Nattyxne	4	0	1	1	1	3
ProfessorVem	4	0	1	1	2	2
Sleepyoh22	4	0	1	1	3	1
Bollreg	4	0	0	0	2	2
ricardo22	4	0	1	1	1	3
Pungsnoppen	4	0	1	1	3	1
AussieRedMan	4	0	1	1	1	3
Fiskfjoll	4	0	1	1	2	2
GlennyGlimm	4	0	1	1	2	2
Newcastle76	4	0	1	1	3	1
tzj	4	0	1	1	1	3
Kosack	4	0	1	1	1	3
Sorrymf	4	0	1	1	1	3
Syclone71	4	0	1	1	2	2
Harga	4	0	1	1	2	2
Farsan.Baloo	4	0	1	1	2	2
Foolson	4	0	1	1	2	2
wurhan	4	0	1	1	1	3
Midu	4	0	1	1	2	2
Iseld	4	0	1	1	2	2
Volvo242DL	4	0	1	1	2	2
raxmouse	4	0	1	1	3	1
Lille.Stockholm	4	0	1	1	1	3
marfokab	4	0	1	1	1	3
Anusiktet	4	0	1	1	2	2
williamsparon	4	0	1	1	1	3
manurihn.32	4	0	1	1	2	2
DenKorrupta	4	0	1	1	3	1
Idomeneo	4	0	1	1	2	2
Den skamlöse	4	0	1	1	1	3
Cryotecher	4	0	1	1	1	3
Efterdradd	4	0	1	1	2	2
Falukorvsrullader	4	0	1	1	2	2
Landstrider	4	0	1	1	2	2
maniacman	4	0	1	1	2	2
PartyTintin	4	0	1	1	2	2
Blingon	4	0	1	1	1	3
Ha4kioskvaltareJ	4	0	1	1	3	1
Fnissturken	4	0	1	1	2	2
jrb1996	4	0	1	1	2	2
Wad	4	0	1	1	1	3
Nivovic	4	0	1	1	2	2
smellyproof	4	0	1	1	2	2
Specktakel	4	0	1	1	2	2
Captain_Napalm	4	0	0	0	2	2
Pastejköket	4	0	0	0	2	2
Ronille	4	0	0	0	1	3
severiano	4	0	0	0	2	2
Rodimusprime	4	0	0	0	2	2
bredställ	4	0	0	0	2	2
IQzeagull	4	0	0	0	2	2
J400d	4	0	0	0	3	1
Gurkmix	4	0	0	0	1	3
Hellstorm	4	0	0	0	2	2
Schlomo ben Goy	4	0	0	0	2	2
Sinne	4	0	0	0	2	2
jontä	4	0	0	0	1	3
FrasseFloyd	4	0	0	0	2	2
JItterbugg	4	0	0	0	3	1
Allt_är_taget	4	0	0	0	2	2
genserik	4	0	0	0	2	2
HjalmarStorm	4	0	0	0	2	2
Red Machine	4	0	0	0	2	2
tardumej?	4	0	0	0	1	3
micaele	4	0	0	0	2	2
ayanamii	4	0	0	0	1	3
Tonaldin	4	0	0	0	1	3
Kingfisher	4	0	0	0	2	2
Olaus Magnus	4	0	0	0	2	2
chromacor	4	0	0	0	2	2
jonno41	4	0	0	0	2	2
Coxxe	4	0	0	0	2	2
yatzy_winner	4	0	0	0	1	3
Skandis	4	0	0	0	2	2
[Strange Days]	4	0	0	0	1	3
B787	4	0	0	0	1	3
Lilabanan	4	0	1	1	2	2
Brunbevern	4	0	1	1	1	3
bandspelaren	4	0	1	1	2	2
allanballanjugge	4	0	1	1	2	2
GemytligGentleman	4	0	1	1	1	3
ArgBlattePostar	4	0	1	1	1	3
A-party-with-marty	4	0	1	1	2	2
Idittfejs	4	0	1	1	1	3
Krusensnorre	4	0	1	1	2	2
enfindam	4	0	1	1	1	3
Klappar	4	0	1	1	2	2
mike70	4	0	1	1	1	3
jongari	4	0	1	1	1	3
W.Smith	4	0	1	1	1	3
Heliarchos	4	0	1	1	2	2
PatrickB8man	4	0	1	1	1	3
mmai	4	0	1	1	2	2
TuManHand	4	0	1	1	2	2
bestammer-senare	4	0	1	1	1	3
Sichti	4	0	1	1	3	1
Epimetheus	4	0	1	1	1	3
Axis.bold.as.love	4	0	1	1	2	2
StatligaTeleverket	4	0	1	1	1	3
storskarven	4	0	1	1	1	3
WhiskyTangoFoxtrot	4	0	1	1	1	3
Kvasiintellektuell	4	0	1	1	2	2
ace_sec	4	0	1	1	1	3
StationOdenplan	4	0	1	1	1	3
Redor	4	0	1	1	2	2
Foxxybox	4	0	1	1	1	3
Sweeper80	4	0	1	1	1	3
PelleSaga	4	0	1	1	1	3
bossekaka	4	0	1	1	1	3
rotadent	4	0	0	0	1	3
avicenna	4	0	0	0	1	3
Brandbil	4	0	0	0	2	2
Meyer_Lansky	4	0	0	0	1	3
Testa	4	0	0	0	2	2
Adoniram	4	0	0	0	1	3
Ari.Gold	4	0	0	0	1	3
lumpkins	4	0	0	0	1	3
TiberiusGracchus	4	0	0	0	2	2
Anusbananus	4	0	0	0	2	2
bennyboyzz	4	0	0	0	2	2
Securion	4	0	0	0	2	2
Handskakning	4	0	0	0	2	2
PreDampor	4	0	0	0	2	2
Cleopatra	4	0	0	0	3	1
Dino-ZaUrie	4	0	0	0	2	2
minutz3	4	0	0	0	2	2
Squadrista	4	0	0	0	2	2
Pu	4	0	1	1	1	3
LillkillenK	4	0	1	1	1	3
kosiwago	4	0	0	0	1	3
TheWidowmaker	4	0	0	0	2	2
TheRestrainer	4	0	0	0	1	3
Housemouse	4	0	0	0	2	2
Pokerkid	4	0	0	0	1	3
kvittot87	4	0	0	0	1	3
eastenders	4	0	0	0	1	3
Pius	4	0	0	0	2	2
mrpreben	4	0	0	0	1	3
lillalinnea	4	0	0	0	2	2
flashback979	4	0	0	0	2	2
Saken	4	0	0	0	3	1
BrownEyedBoy	4	0	0	0	1	3
JemyM	4	0	0	0	1	3
