year	speaker	innovativity	exposure_to_c	exposure_to_i
2021	X-front		0.0	0.0
2022	X-front		0.0	0.0
2000	Zitt		0.0	0.0
2001	Zitt		0.0	0.0
2002	Zitt		0.0	0.0
2003	Zitt		0.0	0.0
2004	Zitt		0.0	0.0
2005	Zitt		0.0	0.0
2006	Zitt		0.0	0.0
2007	Zitt		0.0	0.0
2008	Zitt		0.0	0.0
2009	Zitt		0.0	0.0
2010	Zitt		0.0	0.0
2011	Zitt		0.0	0.0
2012	Zitt		0.0	0.0
2013	Zitt		0.0	0.0
2014	Zitt		0.0	0.0
2015	Zitt		0.0	0.0
2016	Zitt		0.0	0.0
2017	Zitt		0.0	0.0
2018	Zitt		0.0	0.0
2019	Zitt	1.0	0.0	0.0
2020	Zitt		0.0	0.0
2021	Zitt		0.0	0.0
2022	Zitt		0.0	0.0
2000	Itoy		0.0	0.0
2001	Itoy		0.0	0.0
2002	Itoy		0.0	0.0
2003	Itoy		0.0	0.0
2004	Itoy		0.0	0.0
2005	Itoy		0.0	0.0
2006	Itoy		0.0	0.0
2007	Itoy		0.0	0.0
2008	Itoy		0.0	0.0
2009	Itoy		0.0	0.0
2010	Itoy		0.0	0.0
2011	Itoy		0.0	0.0
2012	Itoy		0.0	0.0
2013	Itoy		0.0	0.0
2014	Itoy		0.0	0.0
2015	Itoy		0.0	0.0
2016	Itoy		0.0	0.0
2017	Itoy		0.0	0.0
2018	Itoy		0.0	0.0
2019	Itoy	1.0	0.0	0.0
2020	Itoy		0.0	0.0
2021	Itoy		0.0	0.0
2022	Itoy		0.0	0.0
2000	Hapoel		0.0	0.0
2001	Hapoel		0.0	0.0
2002	Hapoel		0.0	0.0
2003	Hapoel		0.0	0.0
2004	Hapoel		0.0	0.0
2005	Hapoel		0.0	0.0
2006	Hapoel		0.0	0.0
2007	Hapoel		0.0	0.0
2008	Hapoel		0.0	0.0
2009	Hapoel		0.0	0.0
2010	Hapoel		0.0	0.0
2011	Hapoel		0.0	0.0
2012	Hapoel		0.0	0.0
2013	Hapoel		0.0	0.0
2014	Hapoel		0.0	0.0
2015	Hapoel		0.0	0.0
2016	Hapoel		0.0	0.0
2017	Hapoel		0.0	0.0
2018	Hapoel		0.0	0.0
2019	Hapoel	1.0	0.0	0.0
2020	Hapoel		0.0	0.0
2021	Hapoel	1.0	0.0	0.0
2022	Hapoel		0.0	0.0
2000	Antex		0.0	0.0
2001	Antex		0.0	0.0
2002	Antex		0.0	0.0
2003	Antex		0.0	0.0
2004	Antex		0.0	0.0
2005	Antex		0.0	0.0
2006	Antex		0.0	0.0
2007	Antex		0.0	0.0
2008	Antex		0.0	0.0
2009	Antex		0.0	0.0
2010	Antex		0.0	0.0
2011	Antex		0.0	0.0
2012	Antex		0.0	0.0
2013	Antex		0.0	0.0
2014	Antex		0.0	0.0
2015	Antex		0.0	0.0
2016	Antex		0.0	0.0
2017	Antex	1.0	0.0	0.0
2018	Antex		0.0	0.0
2019	Antex		0.0	0.0
2020	Antex		0.0	0.0
2021	Antex		0.0	0.0
2022	Antex		0.0	0.0
2000	Gameovereem1		0.0	0.0
2001	Gameovereem1		0.0	0.0
2002	Gameovereem1		0.0	0.0
2003	Gameovereem1		0.0	0.0
2004	Gameovereem1		0.0	0.0
2005	Gameovereem1		0.0	0.0
2006	Gameovereem1		0.0	0.0
2007	Gameovereem1		0.0	0.0
2008	Gameovereem1		0.0	0.0
2009	Gameovereem1		0.0	0.0
2010	Gameovereem1		0.0	0.0
2011	Gameovereem1		0.0	0.0
2012	Gameovereem1		0.0	0.0
2013	Gameovereem1		0.0	0.0
2014	Gameovereem1		0.0	0.0
2015	Gameovereem1		0.0	0.0
2016	Gameovereem1		0.0	0.0
2017	Gameovereem1	1.0	0.0	0.0
2018	Gameovereem1		0.0	0.0
2019	Gameovereem1		0.0	0.0
2020	Gameovereem1		0.0	0.0
2021	Gameovereem1		0.0	0.0
2022	Gameovereem1		0.0	0.0
2000	lemonzhello		0.0	0.0
2001	lemonzhello		0.0	0.0
2002	lemonzhello		0.0	0.0
2003	lemonzhello		0.0	0.0
2004	lemonzhello		0.0	0.0
