period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2008	jesslin	35		33.0	1.0	32.0	0.030303030303030304	0.9696969696969697
2009	Riskiflickan	28		10.0	0.0	10.0	0.0	1.0
2008	solstraalen	26		18.0	0.0	18.0	0.0	1.0
2009	Winglur	20		10.0	0.0	10.0	0.0	1.0
2008	Miisa	24		10.0	0.0	10.0	0.0	1.0
2010	mithrandil	27		31.0	1.0	30.0	0.03225806451612903	0.967741935483871
2010	clembke	29		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2009	guldplutt	38		10.0	1.0	9.0	0.1	0.9
2009	Amulett	33		21.0	0.0	21.0	0.0	1.0
2010	lillabebben	30		10.0	0.0	10.0	0.0	1.0
2010	Kultis	29		11.0	0.0	11.0	0.0	1.0
2008	zitis81	26		12.0	0.0	12.0	0.0	1.0
2009	abuelita	58		24.0	0.0	24.0	0.0	1.0
2009	mariaheterjag	27		10.0	0.0	10.0	0.0	1.0
2010	TinaLi	26		11.0	0.0	11.0	0.0	1.0
2010	kixan	28		10.0	0.0	10.0	0.0	1.0
2008	Kerstin	23		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2008	EmsanPemsan	21		18.0	0.0	18.0	0.0	1.0
2008	Ett två tre	22		10.0	0.0	10.0	0.0	1.0
2010	Ett två tre	24		10.0	0.0	10.0	0.0	1.0
2008	abuelita	57		14.0	0.0	14.0	0.0	1.0
2009	angeni	21		16.0	2.0	14.0	0.125	0.875
2009	mithrandil	26		36.0	0.0	36.0	0.0	1.0
2010	Lindizz	24		10.0	0.0	10.0	0.0	1.0
2009	Alvine	20		12.0	0.0	12.0	0.0	1.0
2010	abuelita	59		12.0	0.0	12.0	0.0	1.0
2009	lire100	35		12.0	0.0	12.0	0.0	1.0
2010	VirrAnna	25		10.0	0.0	10.0	0.0	1.0
2008	BrödernaBus	28		14.0	0.0	14.0	0.0	1.0
2010	Ninnis75	34		10.0	0.0	10.0	0.0	1.0
2010	ProosAnna	26		12.0	0.0	12.0	0.0	1.0
2010	swiitii	22		14.0	0.0	14.0	0.0	1.0
2009	kicki08	31		10.0	0.0	10.0	0.0	1.0
2008	annie80	27		11.0	0.0	11.0	0.0	1.0
2008	Gladhannapanna	36		16.0	0.0	16.0	0.0	1.0
2009	Myra	36		10.0	0.0	10.0	0.0	1.0
2008	Vintersol80	27		13.0	0.0	13.0	0.0	1.0
2009	Skruttis1979	30		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2008	Chilisen	39		15.0	0.0	15.0	0.0	1.0
2008	LHUF	28		33.0	0.0	33.0	0.0	1.0
2009	Stella 78	30		15.0	0.0	15.0	0.0	1.0
2009	septemberängel	28		10.0	0.0	10.0	0.0	1.0
2010	Stefanie	22		12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2010	popcornplaya	24		11.0	0.0	11.0	0.0	1.0
2009	NadiaMi	34		65.0	0.0	65.0	0.0	1.0
2008	NadiaMi	33		93.0	0.0	93.0	0.0	1.0
2010	NadiaMi	35		65.0	0.0	65.0	0.0	1.0
2010	Elijza	39		10.0	0.0	10.0	0.0	1.0
2010	Maddisen80	29		12.0	0.0	12.0	0.0	1.0
2008	Korkskruv	19		12.0	0.0	12.0	0.0	1.0
2009	Jessys	22		12.0	0.0	12.0	0.0	1.0
2010	s89	20		17.0	0.0	17.0	0.0	1.0
2008	versus	21		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2010	Pumpkin	25		10.0	0.0	10.0	0.0	1.0
2009	ViSkaBliTre	31		12.0	0.0	12.0	0.0	1.0
2010	Gladhannapanna	38		12.0	0.0	12.0	0.0	1.0
2009	Helena85	23		10.0	0.0	10.0	0.0	1.0
2009	Gladhannapanna	37		20.0	0.0	20.0	0.0	1.0
2010	sydney	32		15.0	0.0	15.0	0.0	1.0
2008	MissHellen	24		17.0	0.0	17.0	0.0	1.0
