verb2	abs	ipm
ringa	16	0.019722172231309197
städa	16	0.019722172231309197
laga	16	0.019722172231309197
hantera	16	0.019722172231309197
spara	15	0.018489536466852374
hoppa	15	0.018489536466852374
ge	15	0.018489536466852374
låna	14	0.017256900702395547
följa	14	0.017256900702395547
riva	14	0.017256900702395547
svara	14	0.017256900702395547
prata	14	0.017256900702395547
importera	14	0.017256900702395547
träffa	13	0.016024264937938723
räkna	13	0.016024264937938723
börja	13	0.016024264937938723
gräva	12	0.0147916291734819
deklarera	12	0.0147916291734819
böta	12	0.0147916291734819
slänga	12	0.0147916291734819
sälja	11	0.013558993409025076
slösa	11	0.013558993409025076
råka	11	0.013558993409025076
hämta	11	0.013558993409025076
dö	11	0.013558993409025076
stanna	11	0.013558993409025076
stänga	11	0.013558993409025076
fylla	10	0.01232635764456825
skära	10	0.01232635764456825
fastna	10	0.01232635764456825
transportera	10	0.01232635764456825
redovisa	10	0.01232635764456825
träna	10	0.01232635764456825
vite	10	0.01232635764456825
tjäna	10	0.01232635764456825
lära	9	0.011093721880111424
förhandla	9	0.011093721880111424
jaga	9	0.011093721880111424
punga	9	0.011093721880111424
lyssna	9	0.011093721880111424
vända	9	0.011093721880111424
delta	9	0.011093721880111424
skotta	9	0.011093721880111424
kämpa	9	0.011093721880111424
kompromissa	9	0.011093721880111424
varsla	9	0.011093721880111424
koka	9	0.011093721880111424
tillbringa	8	0.009861086115654599
titta	8	0.009861086115654599
passera	8	0.009861086115654599
korsa	8	0.009861086115654599
böja	8	0.009861086115654599
tävla	8	0.009861086115654599
packa	8	0.009861086115654599
anstränga	8	0.009861086115654599
svälta	8	0.009861086115654599
investera	8	0.009861086115654599
be	8	0.009861086115654599
slita	8	0.009861086115654599
förklara	8	0.009861086115654599
kasta	8	0.009861086115654599
bråka	8	0.009861086115654599
genomföra	7	0.008628450351197773
förlora	7	0.008628450351197773
diskutera	7	0.008628450351197773
bidra	7	0.008628450351197773
arrangera	7	0.008628450351197773
plocka	7	0.008628450351197773
bryta	7	0.008628450351197773
binda	7	0.008628450351197773
ordna	7	0.008628450351197773
åka	7	0.008628450351197773
vattna	7	0.008628450351197773
tvätta	7	0.008628450351197773
operera	7	0.008628450351197773
gissa	7	0.008628450351197773
handla	7	0.008628450351197773
genomgå	7	0.008628450351197773
medge	7	0.008628450351197773
slå	6	0.00739581458674095
cykla	6	0.00739581458674095
tjata	6	0.00739581458674095
tala	6	0.00739581458674095
starta	6	0.00739581458674095
rensa	6	0.00739581458674095
öppna	6	0.00739581458674095
berätta	6	0.00739581458674095
backa	6	0.00739581458674095
hyra	6	0.00739581458674095
amortera	6	0.00739581458674095
spekulera	6	0.00739581458674095
visa	6	0.00739581458674095
blanda	6	0.00739581458674095
driva	6	0.00739581458674095
lyfta	6	0.00739581458674095
genomleva	6	0.00739581458674095
anmäla	6	0.00739581458674095
engagera	6	0.00739581458674095
vakna	5	0.006163178822284125
utföra	5	0.006163178822284125
förlita	5	0.006163178822284125
anställa	5	0.006163178822284125
rösta	5	0.006163178822284125
krångla	5	0.006163178822284125
förstöra	5	0.006163178822284125
vittna	5	0.006163178822284125
smyga	5	0.006163178822284125
skrika	5	0.006163178822284125
registrera	5	0.006163178822284125
planera	5	0.006163178822284125
må	5	0.006163178822284125
kvalspela	5	0.006163178822284125
flänga	5	0.006163178822284125
ödsla	5	0.006163178822284125
avslöja	5	0.006163178822284125
ansöka	5	0.006163178822284125
irra	5	0.006163178822284125
kvala	5	0.006163178822284125
bli	5	0.006163178822284125
besöka	5	0.006163178822284125
behöva	5	0.006163178822284125
trycka	5	0.006163178822284125
skjutsa	5	0.006163178822284125
måla	5	0.006163178822284125
lösa	5	0.006163178822284125
ha	5	0.006163178822284125
rycka	5	0.006163178822284125
passa	5	0.006163178822284125
klippa	5	0.006163178822284125
försvara	5	0.006163178822284125
fråga	5	0.006163178822284125
boka	5	0.006163178822284125
utlysa	5	0.006163178822284125
banta	5	0.006163178822284125
skjuta	5	0.006163178822284125
tigga	5	0.006163178822284125
begära	5	0.006163178822284125
resa	5	0.006163178822284125
agera	5	0.006163178822284125
införa	4	0.004930543057827299
flyga	4	0.004930543057827299
dölja	4	0.004930543057827299
gå	4	0.004930543057827299
anlita	4	0.004930543057827299
trassla	4	0.004930543057827299
vinna	4	0.004930543057827299
ta	4	0.004930543057827299
rapportera	4	0.004930543057827299
kryssa	4	0.004930543057827299
hasta	4	0.004930543057827299
undra	4	0.004930543057827299
smutsa	4	0.004930543057827299
satsa	4	0.004930543057827299
medverka	4	0.004930543057827299
vidta	4	0.004930543057827299
tömma	4	0.004930543057827299
skaffa	4	0.004930543057827299
anpassa	4	0.004930543057827299
översätta	4	0.004930543057827299
jäkta	4	0.004930543057827299
uppsöka	4	0.004930543057827299
installera	4	0.004930543057827299
bilda	4	0.004930543057827299
röra	4	0.004930543057827299
kliva	4	0.004930543057827299
borra	4	0.004930543057827299
fara	4	0.004930543057827299
begå	4	0.004930543057827299
skaka	4	0.004930543057827299
bevittna	4	0.004930543057827299
skuldsätta	3	0.003697907293370475
offra	3	0.003697907293370475
besvara	3	0.003697907293370475
låta	3	0.003697907293370475
trampa	3	0.003697907293370475
missa	3	0.003697907293370475
kånka	3	0.003697907293370475
plugga	3	0.003697907293370475
mäta	3	0.003697907293370475
känna	3	0.003697907293370475
knappa	3	0.003697907293370475
förhålla	3	0.003697907293370475
diska	3	0.003697907293370475
avlöna	3	0.003697907293370475
amputera	3	0.003697907293370475
vänta	3	0.003697907293370475
skapa	3	0.003697907293370475
rusa	3	0.003697907293370475
föra	3	0.003697907293370475
belasta	3	0.003697907293370475
befatta	3	0.003697907293370475
stryka	3	0.003697907293370475
kriga	3	0.003697907293370475
återkalla	3	0.003697907293370475
vara	3	0.003697907293370475
skrapa	3	0.003697907293370475
avbryta	3	0.003697907293370475
kvalificera	3	0.003697907293370475
kladda	3	0.003697907293370475
hitta	3	0.003697907293370475
heta	3	0.003697907293370475
hyra	3	0.003697907293370475
böta	3	0.003697907293370475
tänka	3	0.003697907293370475
prioritera	3	0.003697907293370475
oroa	3	0.003697907293370475
släppa	3	0.003697907293370475
ångra	3	0.003697907293370475
jämföra	3	0.003697907293370475
fatta	3	0.003697907293370475
beblanda	3	0.003697907293370475
lita	3	0.003697907293370475
ladda	3	0.003697907293370475
gifta	3	0.003697907293370475
rota	3	0.003697907293370475
