"word"	"Totalt"	"SVT nyheter 2017"
"lätta"	"6"	"6"
"läsa"	"6"	"6"
"kompletteras"	"6"	"6"
"klaras"	"6"	"6"
"installeras"	"6"	"6"
"hyra"	"6"	"6"
"hittas"	"6"	"6"
"förlänga"	"6"	"6"
"förekomma"	"6"	"6"
"framföra"	"6"	"6"
"fastställas"	"6"	"6"
"enas"	"6"	"6"
"dödas"	"6"	"6"
"drunkna"	"6"	"6"
"dominera"	"6"	"6"
"bilda"	"6"	"6"
"befinna"	"6"	"6"
"avveckla"	"6"	"6"
"avvakta"	"6"	"6"
"anstränga"	"6"	"6"
"aktivera"	"6"	"6"
"älska"	"5"	"5"
"variera"	"5"	"5"
"utgöra"	"5"	"5"
"uppstå"	"5"	"5"
"tändas"	"5"	"5"
"träda"	"5"	"5"
"testa"	"5"	"5"
"sända"	"5"	"5"
"stämma"	"5"	"5"
"straffas"	"5"	"5"
"spridas"	"5"	"5"
"snöa"	"5"	"5"
"slutföras"	"5"	"5"
"ses"	"5"	"5"
"saneras"	"5"	"5"
"riktas"	"5"	"5"
"renoveras"	"5"	"5"
"rapportera"	"5"	"5"
"producera"	"5"	"5"
"orsaka"	"5"	"5"
"orka"	"5"	"5"
"ordna"	"5"	"5"
"omfatta"	"5"	"5"
"må"	"5"	"5"
"mattas"	"5"	"5"
"låna"	"5"	"5"
"lyssna"	"5"	"5"
"kvarstå"	"5"	"5"
"klarna"	"5"	"5"
"investera"	"5"	"5"
"inrymma"	"5"	"5"
"ingripa"	"5"	"5"
"hävda"	"5"	"5"
"hänga"	"5"	"5"
"hämta"	"5"	"5"
"hyllas"	"5"	"5"
"halveras"	"5"	"5"
"gripas"	"5"	"5"
"förvärras"	"5"	"5"
"förvaras"	"5"	"5"
"förstärkas"	"5"	"5"
"förklara"	"5"	"5"
"fråga"	"5"	"5"
"flöda"	"5"	"5"
"fjärrstyras"	"5"	"5"
"finansieras"	"5"	"5"
"efterträda"	"5"	"5"
"dansa"	"5"	"5"
"blockera"	"5"	"5"
"bevaras"	"5"	"5"
"bevakas"	"5"	"5"
"beslutas"	"5"	"5"
"bekräfta"	"5"	"5"
"begränsas"	"5"	"5"
"bedriva"	"5"	"5"
"arrangera"	"5"	"5"
"anställas"	"5"	"5"
"anmälas"	"5"	"5"
"anhållas"	"5"	"5"
"öva"	"4"	"4"
"ägnas"	"4"	"4"
"ägna"	"4"	"4"
"återhämta"	"4"	"4"
"verkställas"	"4"	"4"
"vandra"	"4"	"4"
"utsättas"	"4"	"4"
"utspela"	"4"	"4"
"utrustas"	"4"	"4"
"utnyttja"	"4"	"4"
"utmana"	"4"	"4"
"utbildas"	"4"	"4"
"utbilda"	"4"	"4"
"upprätthålla"	"4"	"4"
"uppfattas"	"4"	"4"
"uppfatta"	"4"	"4"
"undvika"	"4"	"4"
"tvinga"	"4"	"4"
"tro"	"4"	"4"
"trappas"	"4"	"4"
"tjänstgöra"	"4"	"4"
"tillsättas"	"4"	"4"
"tillsätta"	"4"	"4"
"säkra"	"4"	"4"
"sortera"	"4"	"4"
"slåss"	"4"	"4"
"slippa"	"4"	"4"
"skärpas"	"4"	"4"
"skänkas"	"4"	"4"
"skydda"	"4"	"4"
"skiljas"	"4"	"4"
"sjunga"	"4"	"4"
"simma"	"4"	"4"
"satsas"	"4"	"4"
"sammanställa"	"4"	"4"
"rustas"	"4"	"4"
"placera"	"4"	"4"
"patrullera"	"4"	"4"
"parkera"	"4"	"4"
"omvandlas"	"4"	"4"
"offentliggöra"	"4"	"4"
"läsas"	"4"	"4"
"likna"	"4"	"4"
"leta"	"4"	"4"
"lanseras"	"4"	"4"
"lansera"	"4"	"4"
