"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
""	"764"	"1"	"18"	"21"	"21"	"41"	"38"	"36"	"45"	"36"	"43"	"47"	"70"	"59"	"55"	"47"	"54"	"36"	"27"	"44"	"25"	"0"
"dröja"	"759"	"3"	"8"	"10"	"17"	"31"	"38"	"29"	"23"	"40"	"50"	"50"	"63"	"75"	"71"	"62"	"49"	"66"	"29"	"31"	"14"	"0"
"begära"	"738"	"0"	"18"	"18"	"36"	"57"	"72"	"42"	"55"	"33"	"45"	"55"	"55"	"57"	"50"	"39"	"33"	"17"	"21"	"24"	"11"	"0"
"skicka"	"736"	"0"	"9"	"8"	"18"	"21"	"27"	"32"	"23"	"24"	"37"	"55"	"70"	"66"	"67"	"55"	"40"	"44"	"48"	"56"	"36"	"0"
"höra"	"733"	"5"	"7"	"5"	"13"	"24"	"19"	"17"	"15"	"19"	"50"	"64"	"91"	"85"	"82"	"80"	"51"	"35"	"25"	"38"	"8"	"0"
"förhöra"	"727"	"0"	"3"	"6"	"9"	"21"	"18"	"13"	"16"	"24"	"32"	"69"	"98"	"114"	"87"	"84"	"55"	"33"	"20"	"13"	"12"	"0"
"ta_upp"	"724"	"0"	"17"	"12"	"22"	"30"	"34"	"27"	"19"	"29"	"50"	"50"	"60"	"70"	"76"	"58"	"52"	"44"	"39"	"23"	"12"	"0"
"slå"	"692"	"0"	"10"	"13"	"16"	"31"	"40"	"27"	"27"	"21"	"53"	"47"	"59"	"52"	"58"	"45"	"60"	"48"	"34"	"25"	"26"	"0"
"avgöra"	"687"	"0"	"25"	"18"	"19"	"23"	"25"	"29"	"42"	"24"	"33"	"37"	"35"	"38"	"44"	"46"	"46"	"72"	"60"	"42"	"29"	"0"
"märka"	"668"	"0"	"4"	"11"	"17"	"27"	"26"	"28"	"28"	"26"	"31"	"42"	"80"	"71"	"52"	"56"	"52"	"25"	"29"	"40"	"23"	"0"
"krävas"	"661"	"3"	"8"	"7"	"12"	"15"	"23"	"19"	"20"	"30"	"38"	"37"	"47"	"67"	"49"	"67"	"43"	"55"	"55"	"55"	"11"	"0"
"fungera"	"661"	"1"	"5"	"7"	"17"	"21"	"20"	"29"	"30"	"25"	"41"	"51"	"46"	"73"	"51"	"40"	"42"	"67"	"40"	"44"	"11"	"0"
"öppna"	"633"	"0"	"5"	"12"	"7"	"18"	"18"	"26"	"16"	"27"	"29"	"33"	"62"	"60"	"61"	"44"	"54"	"78"	"54"	"19"	"10"	"0"
"dra"	"630"	"1"	"11"	"6"	"14"	"21"	"19"	"48"	"24"	"24"	"41"	"47"	"67"	"65"	"52"	"54"	"44"	"36"	"29"	"20"	"7"	"0"
"försöka"	"607"	"3"	"9"	"6"	"7"	"19"	"11"	"17"	"29"	"20"	"38"	"43"	"69"	"76"	"53"	"44"	"49"	"28"	"39"	"34"	"13"	"0"
"gälla"	"604"	"0"	"1"	"8"	"18"	"21"	"25"	"25"	"17"	"21"	"21"	"34"	"31"	"44"	"55"	"48"	"42"	"94"	"51"	"32"	"16"	"0"
"inleda"	"600"	"1"	"13"	"8"	"13"	"21"	"25"	"20"	"22"	"25"	"47"	"49"	"48"	"63"	"54"	"50"	"36"	"33"	"36"	"18"	"18"	"0"
"försvinna"	"598"	"1"	"7"	"8"	"17"	"34"	"45"	"29"	"28"	"35"	"34"	"44"	"47"	"50"	"53"	"31"	"47"	"37"	"17"	"23"	"11"	"0"
"behövas"	"589"	"1"	"7"	"8"	"4"	"16"	"25"	"27"	"20"	"31"	"23"	"33"	"47"	"66"	"55"	"35"	"41"	"57"	"42"	"37"	"14"	"0"
