"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
""	"218"	"0"	"0"	"0"	"3"	"6"	"8"	"4"	"2"	"8"	"11"	"17"	"23"	"18"	"15"	"28"	"20"	"16"	"13"	"21"	"5"	"0"
"sluta"	"213"	"0"	"0"	"2"	"2"	"1"	"7"	"1"	"6"	"3"	"7"	"12"	"15"	"19"	"29"	"16"	"18"	"25"	"20"	"19"	"11"	"0"
"dra"	"209"	"0"	"0"	"2"	"1"	"4"	"3"	"5"	"1"	"1"	"12"	"14"	"14"	"20"	"22"	"28"	"19"	"16"	"23"	"17"	"7"	"0"
"vilja"	"207"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"6"	"2"	"10"	"7"	"14"	"14"	"18"	"21"	"23"	"25"	"17"	"30"	"14"	"0"
"rösta"	"204"	"0"	"0"	"1"	"2"	"3"	"1"	"4"	"3"	"3"	"8"	"12"	"7"	"13"	"17"	"32"	"22"	"18"	"22"	"30"	"6"	"0"
"fungera"	"197"	"0"	"0"	"1"	"1"	"0"	"3"	"3"	"1"	"5"	"8"	"12"	"14"	"17"	"20"	"25"	"21"	"21"	"18"	"12"	"15"	"0"
"lösa"	"193"	"0"	"0"	"0"	"2"	"4"	"1"	"0"	"1"	"2"	"8"	"11"	"18"	"18"	"12"	"23"	"25"	"21"	"15"	"19"	"13"	"0"
"tvinga"	"191"	"0"	"1"	"0"	"1"	"3"	"8"	"1"	"7"	"8"	"7"	"6"	"9"	"13"	"15"	"23"	"23"	"21"	"15"	"19"	"11"	"0"
"arbeta"	"187"	"0"	"0"	"0"	"1"	"2"	"4"	"5"	"1"	"9"	"5"	"4"	"16"	"9"	"24"	"16"	"21"	"18"	"19"	"27"	"6"	"0"
"vara_med"	"186"	"0"	"1"	"1"	"3"	"2"	"1"	"1"	"3"	"6"	"15"	"12"	"16"	"13"	"19"	"19"	"21"	"17"	"15"	"16"	"5"	"0"
"titta"	"185"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"4"	"5"	"7"	"13"	"19"	"20"	"18"	"23"	"24"	"17"	"12"	"18"	"0"
"stanna"	"181"	"0"	"0"	"2"	"0"	"5"	"3"	"2"	"1"	"4"	"8"	"16"	"18"	"21"	"18"	"18"	"17"	"9"	"14"	"20"	"5"	"0"
"delta"	"177"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"5"	"4"	"12"	"10"	"7"	"15"	"24"	"20"	"20"	"9"	"19"	"15"	"12"	"0"
"avgöra"	"175"	"0"	"0"	"1"	"2"	"2"	"1"	"2"	"4"	"5"	"7"	"12"	"16"	"18"	"11"	"15"	"16"	"19"	"20"	"14"	"10"	"0"
"vinna"	"172"	"0"	"0"	"1"	"1"	"1"	"4"	"0"	"2"	"10"	"8"	"12"	"14"	"16"	"18"	"10"	"16"	"13"	"17"	"19"	"10"	"0"
"minska"	"171"	"0"	"1"	"2"	"0"	"7"	"6"	"4"	"1"	"0"	"3"	"9"	"13"	"17"	"13"	"17"	"25"	"23"	"10"	"14"	"6"	"0"
"sitta"	"170"	"0"	"0"	"1"	"3"	"0"	"2"	"2"	"0"	"8"	"9"	"4"	"18"	"17"	"17"	"20"	"14"	"19"	"12"	"17"	"7"	"0"
"försvinna"	"169"	"0"	"0"	"0"	"0"	"2"	"8"	"3"	"3"	"3"	"7"	"12"	"16"	"14"	"16"	"11"	"23"	"16"	"14"	"13"	"8"	"0"
"bidra"	"168"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"3"	"1"	"9"	"8"	"13"	"10"	"18"	"21"	"17"	"12"	"13"	"24"	"12"	"0"
"låta"	"167"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"3"	"3"	"6"	"4"	"14"	"12"	"17"	"13"	"15"	"17"	"24"	"22"	"10"	"0"
"flytta"	"164"	"0"	"0"	"2"	"5"	"3"	"3"	"0"	"3"	"2"	"7"	"11"	"17"	"21"	"16"	"11"	"10"	"16"	"12"	"17"	"8"	"0"
"driva"	"159"	"0"	"0"	"1"	"0"	"1"	"5"	"5"	"1"	"5"	"10"	"14"	"12"	"8"	"18"	"21"	"17"	"10"	"14"	"12"	"5"	"0"
"gälla"	"158"	"0"	"1"	"0"	"1"	"2"	"2"	"3"	"1"	"3"	"6"	"7"	"13"	"10"	"16"	"12"	"15"	"31"	"22"	"10"	"3"	"0"
"betyda"	"157"	"0"	"0"	"0"	"5"	"2"	"2"	"2"	"2"	"3"	"9"	"7"	"7"	"15"	"12"	"15"	"24"	"20"	"18"	"10"	"4"	"0"
"ta_upp"	"157"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"2"	"5"	"8"	"7"	"17"	"19"	"16"	"18"	"18"	"9"	"8"	"15"	"7"	"0"
"hamna"	"154"	"0"	"0"	"1"	"2"	"2"	"2"	"2"	"5"	"5"	"3"	"4"	"12"	"15"	"29"	"9"	"12"	"15"	"17"	"12"	"7"	"0"
"skicka"	"154"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"5"	"10"	"8"	"11"	"15"	"19"	"12"	"16"	"12"	"13"	"17"	"9"	"0"
"äga"	"153"	"0"	"0"	"0"	"1"	"4"	"2"	"3"	"3"	"1"	"4"	"7"	"15"	"16"	"24"	"21"	"10"	"11"	"13"	"8"	"10"	"0"
"stänga"	"150"	"0"	"0"	"3"	"0"	"1"	"2"	"3"	"5"	"2"	"3"	"4"	"9"	"7"	"14"	"22"	"18"	"17"	"18"	"17"	"5"	"0"
"ta_sig"	"150"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"5"	"6"	"5"	"5"	"16"	"17"	"17"	"13"	"18"	"17"	"14"	"7"	"0"
"hitta"	"147"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"5"	"11"	"8"	"9"	"12"	"15"	"13"	"9"	"22"	"20"	"14"	"4"	"0"
"hinna"	"145"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"5"	"2"	"5"	"5"	"18"	"14"	"20"	"16"	"14"	"10"	"11"	"16"	"4"	"0"
"gå_bra"	"144"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"5"	"6"	"2"	"8"	"13"	"18"	"19"	"10"	"13"	"12"	"15"	"11"	"5"	"0"
"öppna"	"142"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"9"	"3"	"4"	"9"	"13"	"14"	"16"	"16"	"22"	"18"	"10"	"6"	"0"
"ändra"	"141"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"5"	"3"	"4"	"5"	"10"	"8"	"20"	"13"	"19"	"17"	"10"	"15"	"7"	"0"
"begära"	"141"	"0"	"0"	"1"	"0"	"0"	"5"	"4"	"3"	"4"	"11"	"7"	"12"	"10"	"17"	"12"	"12"	"8"	"10"	"19"	"6"	"0"
"starta"	"141"	"0"	"0"	"0"	"2"	"1"	"4"	"2"	"4"	"2"	"5"	"6"	"7"	"10"	"14"	"17"	"21"	"15"	"10"	"14"	"7"	"0"
"släppa"	"139"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"5"	"10"	"6"	"5"	"14"	"13"	"16"	"18"	"13"	"21"	"8"	"5"	"0"
"möta"	"137"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"4"	"6"	"9"	"8"	"9"	"30"	"14"	"13"	"16"	"9"	"7"	"5"	"0"
"nå"	"136"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"3"	"0"	"4"	"10"	"9"	"12"	"11"	"13"	"14"	"16"	"14"	"10"	"14"	"0"
"höra"	"135"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"4"	"2"	"2"	"12"	"16"	"12"	"19"	"9"	"16"	"13"	"16"	"9"	"0"
"räcka"	"135"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"5"	"2"	"4"	"8"	"11"	"10"	"22"	"15"	"22"	"13"	"14"	"5"	"0"
"äga_rum"	"134"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"3"	"1"	"3"	"7"	"13"	"14"	"23"	"16"	"9"	"9"	"12"	"6"	"10"	"0"
"handla"	"132"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"5"	"6"	"9"	"15"	"14"	"21"	"19"	"6"	"11"	"13"	"8"	"0"
"skriva"	"130"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"4"	"2"	"5"	"5"	"8"	"24"	"15"	"17"	"13"	"12"	"10"	"8"	"0"
"skapa"	"127"	"0"	"1"	"0"	"1"	"0"	"5"	"4"	"2"	"4"	"4"	"3"	"14"	"11"	"17"	"16"	"8"	"10"	"13"	"10"	"4"	"0"
"hålla_sig"	"127"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"2"	"5"	"5"	"4"	"15"	"18"	"16"	"11"	"13"	"12"	"14"	"6"	"0"
"landa"	"126"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"4"	"7"	"18"	"13"	"8"	"17"	"15"	"8"	"8"	"16"	"8"	"0"
"presentera"	"125"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"5"	"2"	"6"	"2"	"9"	"10"	"15"	"16"	"15"	"14"	"8"	"16"	"2"	"0"
"gynna"	"124"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"2"	"2"	"4"	"8"	"13"	"12"	"7"	"17"	"13"	"12"	"19"	"10"	"0"
"prata"	"124"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"4"	"4"	"7"	"15"	"11"	"13"	"20"	"8"	"11"	"12"	"12"	"0"
"lyckas"	"122"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"2"	"3"	"12"	"4"	"13"	"11"	"11"	"13"	"17"	"11"	"6"	"7"	"6"	"0"
"söka"	"120"	"0"	"1"	"0"	"0"	"3"	"2"	"1"	"1"	"2"	"9"	"7"	"9"	"6"	"12"	"13"	"10"	"14"	"13"	"9"	"8"	"0"
"säga"	"120"	"0"	"1"	"1"	"0"	"5"	"7"	"1"	"0"	"3"	"6"	"4"	"7"	"12"	"11"	"9"	"14"	"10"	"13"	"12"	"4"	"0"
"förhöra"	"120"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"10"	"9"	"13"	"20"	"18"	"11"	"14"	"9"	"2"	"3"	"6"	"0"
"inleda"	"120"	"0"	"0"	"0"	"0"	"2"	"4"	"3"	"2"	"1"	"3"	"5"	"11"	"18"	"13"	"17"	"7"	"4"	"14"	"11"	"5"	"0"
"föra"	"118"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"1"	"2"	"5"	"5"	"7"	"8"	"29"	"10"	"16"	"7"	"11"	"8"	"3"	"0"
"fatta"	"117"	"0"	"0"	"0"	"2"	"1"	"3"	"3"	"1"	"4"	"3"	"3"	"7"	"10"	"18"	"11"	"9"	"18"	"14"	"8"	"2"	"0"
"bestå"	"117"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"1"	"4"	"6"	"8"	"8"	"14"	"13"	"9"	"15"	"7"	"18"	"8"	"0"
"förändra"	"114"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"2"	"7"	"7"	"9"	"12"	"14"	"13"	"7"	"13"	"10"	"5"	"5"	"1"
"betala"	"114"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"4"	"4"	"3"	"6"	"12"	"17"	"14"	"13"	"10"	"8"	"10"	"7"	"0"
"bjuda"	"112"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"3"	"3"	"4"	"14"	"7"	"13"	"13"	"18"	"8"	"10"	"10"	"5"	"0"
"gå_ut"	"111"	"0"	"2"	"0"	"0"	"2"	"1"	"3"	"1"	"2"	"5"	"5"	"7"	"14"	"10"	"18"	"11"	"13"	"7"	"4"	"6"	"0"
"vidta"	"110"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"6"	"5"	"11"	"13"	"8"	"20"	"8"	"6"	"18"	"6"	"0"
"ersätta"	"109"	"0"	"0"	"4"	"0"	"1"	"4"	"10"	"2"	"6"	"4"	"2"	"5"	"5"	"8"	"14"	"12"	"12"	"5"	"6"	"9"	"0"
"dela"	"108"	"0"	"1"	"2"	"1"	"0"	"3"	"4"	"1"	"0"	"2"	"3"	"4"	"9"	"13"	"13"	"11"	"15"	"12"	"10"	"4"	"0"
"passa"	"107"	"0"	"0"	"0"	"2"	"3"	"2"	"3"	"1"	"0"	"7"	"4"	"3"	"9"	"11"	"26"	"8"	"10"	"7"	"4"	"7"	"0"
"undersöka"	"106"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"6"	"7"	"5"	"5"	"11"	"15"	"15"	"7"	"12"	"8"	"9"	"0"
"styra"	"102"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"1"	"3"	"1"	"15"	"1"	"1"	"2"	"26"	"7"	"7"	"0"	"28"	"3"	"0"
"satsa"	"101"	"0"	"0"	"0"	"0"	"2"	"4"	"3"	"2"	"5"	"6"	"4"	"1"	"14"	"12"	"11"	"11"	"4"	"12"	"6"	"4"	"0"
"gå_vidare"	"100"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"4"	"4"	"2"	"10"	"17"	"8"	"10"	"14"	"13"	"7"	"5"	"0"
"diskutera"	"98"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"2"	"3"	"10"	"13"	"14"	"11"	"14"	"8"	"8"	"6"	"2"	"0"
"kännas"	"97"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"5"	"3"	"4"	"7"	"6"	"12"	"8"	"9"	"13"	"11"	"10"	"4"	"0"
"se_till"	"97"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"1"	"7"	"4"	"7"	"12"	"9"	"7"	"13"	"10"	"11"	"5"	"3"	"0"
"ta_över"	"96"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"2"	"2"	"5"	"6"	"5"	"5"	"12"	"12"	"10"	"5"	"13"	"10"	"3"	"0"
"sända"	"96"	"0"	"1"	"0"	"1"	"1"	"2"	"4"	"1"	"2"	"7"	"6"	"7"	"5"	"6"	"10"	"10"	"11"	"9"	"8"	"5"	"0"
"växa"	"96"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"9"	"8"	"8"	"7"	"13"	"6"	"6"	"6"	"17"	"8"	"0"
"ge_sig"	"95"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"5"	"0"	"11"	"14"	"10"	"7"	"8"	"7"	"10"	"13"	"4"	"0"
"agera"	"93"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"3"	"8"	"5"	"9"	"5"	"5"	"12"	"19"	"8"	"7"	"0"
"syna"	"92"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"14"	"5"	"10"	"12"	"9"	"11"	"8"	"6"	"3"	"7"	"0"
"synas"	"92"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"14"	"5"	"10"	"12"	"9"	"11"	"8"	"6"	"3"	"7"	"0"
"dö"	"92"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"2"	"7"	"6"	"4"	"7"	"7"	"7"	"8"	"17"	"10"	"6"	"5"	"0"
