verb2	abs	ipm
lida	103	0.12696148373905297
må	102	0.12572884797459613
vakna	100	0.12326357644568249
dofta	100	0.12326357644568249
kunna	99	0.12203094068122568
strömma	99	0.12203094068122568
förbereda	98	0.12079830491676884
lyssna	95	0.11710039762339837
återvända	95	0.11710039762339837
producera	94	0.11586776185894156
intressera	94	0.11586776185894156
klarna	93	0.11463512609448473
oroa	92	0.1134024903300279
misstänka	92	0.1134024903300279
försvinna	90	0.11093721880111425
tävla	89	0.10970458303665742
krypa	89	0.10970458303665742
plugga	88	0.10847194727220061
ljusna	88	0.10847194727220061
plocka	87	0.10723931150774378
verka	85	0.10477403997883013
längta	84	0.1035414042143733
spara	82	0.10107613268545965
mjukna	82	0.10107613268545965
flytta	82	0.10107613268545965
åka	81	0.09984349692100283
skaka	81	0.09984349692100283
vinna	79	0.09737822539208918
blöda	79	0.09737822539208918
jaga	79	0.09737822539208918
låta	78	0.09614558962763235
förlora	78	0.09614558962763235
koka	78	0.09614558962763235
tillverka	78	0.09614558962763235
tjäna	76	0.0936803180987187
skrika	75	0.09244768233426189
lämna	74	0.09121504656980506
bli	72	0.08874977504089139
utveckla	71	0.08751713927643456
löpa	70	0.08628450351197774
anställa	69	0.08505186774752091
vackla	69	0.08505186774752091
dela	69	0.08505186774752091
driva	68	0.0838192319830641
påverka	68	0.0838192319830641
fatta	68	0.0838192319830641
svikta	68	0.0838192319830641
kräva	67	0.08258659621860727
lossna	67	0.08258659621860727
värma	67	0.08258659621860727
ha	67	0.08258659621860727
leverera	66	0.08135396045415044
fråga	66	0.08135396045415044
bita	66	0.08135396045415044
återgå	66	0.08135396045415044
klättra	65	0.08012132468969362
lysa	65	0.08012132468969362
undersöka	65	0.08012132468969362
luta	64	0.07888868892523679
bära	63	0.07765605316077996
kasta	63	0.07765605316077996
rota	63	0.07765605316077996
hoppa	62	0.07642341739632315
tjockna	60	0.0739581458674095
stelna	60	0.0739581458674095
droppa	59	0.07272551010295267
skymma	58	0.07149287433849584
peka	57	0.07026023857403901
satsa	57	0.07026023857403901
följa	57	0.07026023857403901
samla	57	0.07026023857403901
trilla	57	0.07026023857403901
utreda	56	0.06902760280958219
investera	56	0.06902760280958219
svänga	55	0.06779496704512537
konkurrera	55	0.06779496704512537
skicka	54	0.06656233128066855
anlända	54	0.06656233128066855
märka	54	0.06656233128066855
snacka	53	0.06532969551621172
sitta	52	0.06409705975175489
kosta	52	0.06409705975175489
sänka	52	0.06409705975175489
ändra	51	0.06286442398729807
lyfta	51	0.06286442398729807
bete	51	0.06286442398729807
spira	51	0.06286442398729807
snegla	51	0.06286442398729807
vandra	50	0.061631788222841245
leka	50	0.061631788222841245
glida	50	0.061631788222841245
hetta	50	0.061631788222841245
öppna	48	0.0591665166939276
blinka	47	0.05793388092947078
bläddra	47	0.05793388092947078
fylla	47	0.05793388092947078
filma	45	0.055468609400557124
nysta	45	0.055468609400557124
snöa	45	0.055468609400557124
betrakta	45	0.055468609400557124
framstå	44	0.054235973636100304
behandla	44	0.054235973636100304
stänga	44	0.054235973636100304
resa	44	0.054235973636100304
anpassa	43	0.05300333787164348
ticka	43	0.05300333787164348
fokusera	43	0.05300333787164348
gunga	43	0.05300333787164348
bryta	43	0.05300333787164348
upptäcka	42	0.05177070210718665
hålla	42	0.05177070210718665
bubbla	42	0.05177070210718665
darra	42	0.05177070210718665
vaccinera	42	0.05177070210718665
skruva	41	0.05053806634272982
kalla	41	0.05053806634272982
hämta	41	0.05053806634272982
måla	41	0.05053806634272982
mörkna	41	0.05053806634272982
klia	41	0.05053806634272982
cykla	41	0.05053806634272982
granska	41	0.05053806634272982
reflektera	40	0.049305430578273
hänga	40	0.049305430578273
ladda	40	0.049305430578273
frysa	39	0.048072794813816176
flyta	39	0.048072794813816176
ropa	38	0.04684015904935935
tveka	38	0.04684015904935935
skära	38	0.04684015904935935
gro	38	0.04684015904935935
riva	38	0.04684015904935935
höra	38	0.04684015904935935
skönja	38	0.04684015904935935
simma	37	0.04560752328490253
drömma	37	0.04560752328490253
avveckla	37	0.04560752328490253
klinga	37	0.04560752328490253
dala	37	0.04560752328490253
sippra	37	0.04560752328490253
påminna	36	0.044374887520445695
lätta	36	0.044374887520445695
odla	36	0.044374887520445695
ryka	36	0.044374887520445695
trafikera	36	0.044374887520445695
backa	35	0.04314225175598887
–	35	0.04314225175598887
repetera	35	0.04314225175598887
engagera	35	0.04314225175598887
etablera	35	0.04314225175598887
erbjuda	35	0.04314225175598887
våga	35	0.04314225175598887
utnyttja	34	0.04190961599153205
förklara	34	0.04190961599153205
rycka	34	0.04190961599153205
rabbla	34	0.04190961599153205
hacka	34	0.04190961599153205
anta	34	0.04190961599153205
testa	34	0.04190961599153205
smyga	34	0.04190961599153205
stämma	33	0.04067698022707522
gilla	33	0.04067698022707522
föra	33	0.04067698022707522
prioritera	32	0.039444344462618394
spekulera	32	0.039444344462618394
tina	32	0.039444344462618394
försöka	32	0.039444344462618394
gälla	32	0.039444344462618394
