speaker	yob	cohort10	cohort5	försöka	komma	slippa	vägra	coherence
abuelita	1951	1	1	0.048897412233333326	0.0014961082095237277	0.022433563699999937	0.09592267328176096	1.0
Rastafairy	1987	4	8	0.027158281798550732	0.2648568481889688	0.022433563699999937	0.05252644686666663	1.0
Winglur	1989	4	9	0.048897412233333326	0.2657818224952381	0.022433563699999937	0.0025264468666665874	1.0
astro	1978	3	7	0.048897412233333326	-0.6056467489333334	0.022433563699999937	0.1525264468666666	0.5
Maddisen80	1981	3	7	0.02400114667316733	0.32084635979560994	0.022433563699999937	0.06161735595757567	1.0
allakantralla	1976	3	6	0.048897412233333326	0.182024483943379	0.022433563699999937	0.05252644686666663	1.0
högbergarna	1979	3	7	0.03825911436099294	0.36010667572420085	0.022433563699999937	0.05728835162857138	1.0
Emmel	1973	3	6	0.03655173322098759	0.10711920851347512	0.022433563699999937	0.009669304009523705	1.0
Lorelei	1978	3	7	-0.062213698877777834	-0.14781542363212857	0.022433563699999937	0.12127644686666661	0.0
Granada	1975	3	6	0.048897412233333326	0.23645851422456132	0.022433563699999937	0.04726328897192977	1.0
Kyanita	1974	3	6	0.048897412233333326	-0.5236795358185793	0.022433563699999937	0.03714183148205119	0.5
saltflingan	1990	4	9	0.0057939639574712265	0.21014272475087714	0.003565639171698054	-0.15182137922028993	0.5
Tilcha	1985	4	8	0.048897412233333326	0.3532573606557077	0.022433563699999937	0.12127644686666661	1.0
WhiteAngels	1980	3	7	0.011860375196296236	0.1270265183933993	0.022433563699999937	0.05728835162857138	1.0
morotsland	1981	3	7	0.03374589708181819	-0.5211397066798122	0.022433563699999937	-0.276044981704762	0.0
mamita64	1965	2	4	0.025368000468627416	-0.41564674893333337	-0.030198015247368537	-0.0013197069794872451	0.5
castillo	1988	4	9	-0.029533960315686336	-0.3046758751469256	-0.17756643630000002	0.06919311353333324	0.5
hejsvej	1983	4	8	0.0018385887039215065	0.06101991773333326	0.022433563699999937	-0.1632630268175439	0.5
Miss Cee	1981	3	7	-0.06099269765677662	-0.5191602624468469	0.022433563699999937	-0.05155518578639462	0.5
musli	1972	2	5	0.048897412233333326	-0.23829981015782314	0.022433563699999937	0.1525264468666666	0.5
solstraalen	1982	3	7	0.048897412233333326	0.35661740201006287	0.022433563699999937	0.06919311353333324	1.0
BrödernaBus	1980	3	7	0.025641598279844913	0.004109348627642229	0.022433563699999937	0.1525264468666666	1.0
Gladhannapanna	1972	2	5	-0.010424621664971712	-0.5933516669661203	0.022433563699999937	0.06919311353333324	0.0
5 barnsmamman	1979	3	7	0.048897412233333326	-0.20393734722393164	-0.22756643630000006	-0.46110991676969704	0.5
Gladabarnensmamma	1983	4	8	0.048897412233333326	0.33879769551111105	0.022433563699999937	0.11085978019999998	1.0
Vaja	1979	3	7	0.048897412233333326	-0.01224015552673996	0.022433563699999937	0.1525264468666666	0.5
Miisa	1984	4	8	0.048897412233333326	0.36657547328888884	0.022433563699999937	0.06161735595757567	1.0
Min högsta önskan	1979	3	7	0.048897412233333326	-0.4082783278807018	0.022433563699999937	-0.029291734951515158	0.0
lottizm	1985	4	8	0.014414653612643713	-0.07338868441720436	0.022433563699999937	0.1525264468666666	0.5
jesslin	1973	3	6	0.048897412233333326	0.11253506924848478	-0.0053442140777778535	0.1525264468666666	0.5
fabler	1964	2	4	0.023256386592307665	0.37351991773333326	0.022433563699999937	0.1525264468666666	1.0
Ett två tre	1986	4	8	0.048897412233333326	0.38478387307623596	0.022433563699999937	0.1525264468666666	1.0
Jenny28	1976	3	6	0.048897412233333326	0.3537028445626016	0.022433563699999937	0.09002644686666661	1.0
AmandaBrun	1985	4	8	0.048897412233333326	0.289311234259944	0.022433563699999937	0.03487938804313717	1.0
Lilla Morran	1984	4	8	0.021870385206306353	0.004972720093215255	0.022433563699999937	0.07560336994358974	1.0
TheCoopers	1976	3	6	0.003442866778787912	-0.10952271792558144	0.022433563699999937	0.06161735595757567	0.5
mandelblomma	1990	4	9	0.02848924896802718	0.2434656771021696	0.022433563699999937	-0.08276767078039227	0.5
svischan	1983	4	8	0.048897412233333326	0.3488987056121212	-0.054489513223076935	0.09002644686666661	0.5
Joje	1975	3	6	0.0385881338828179	0.27696194671884056	0.022433563699999937	-0.3474735531333334	0.5
StaffenAssar	1983	4	8	0.048897412233333326	-0.4141573872312057	0.022433563699999937	0.1525264468666666	0.5
annie80	1981	3	7	0.048897412233333326	0.2971310288444444	0.022433563699999937	0.05252644686666663	1.0
Amulett	1976	3	6	-0.07610258776666667	-0.3928807914865249	0.022433563699999937	-0.2474735531333334	0.5
lillabebben	1980	3	7	0.048897412233333326	0.17768658439999996	0.022433563699999937	0.1525264468666666	1.0
Damien och Adrian	1973	3	6	0.02508788842380949	-0.3730886093984497	0.022433563699999937	0.1525264468666666	0.5
Trillian80	1986	4	8	-0.014932375000709208	-0.14053046986356593	0.022433563699999937	-0.09747355313333339	0.5
kicki08	1978	3	7	0.010922728689029548	0.32897794840322836	0.022433563699999937	0.1525264468666666	1.0
Lilla Fjun	1978	3	7	0.019485647527450967	0.16793815672704404	0.022433563699999937	-0.029291734951515158	0.5
Kanejl	1982	3	7	0.048897412233333326	-0.07534371863030309	0.022433563699999937	0.1525264468666666	0.5
cirkel	1975	3	6	0.048897412233333326	-0.4627896060761905	0.022433563699999937	0.03487938804313717	0.5
fru smurf	1979	3	7	0.003442866778787912	0.39435325106666663	0.022433563699999937	0.08109787543809521	1.0
Bondfia	1972	2	5	0.048897412233333326	0.051215996164705846	0.022433563699999937	-0.18080688646666676	0.5
Stella 78	1979	3	7	0.048897412233333326	0.38500745667414327	0.022433563699999937	0.1525264468666666	1.0
NadiaMi	1975	3	6	0.04399545144901962	-0.592361724778744	0.022433563699999937	0.1391931135333333	0.5
Mania x2	1978	3	7	0.018128181464102555	-0.6000287714052435	0.022433563699999937	-0.03265873831851862	0.0
Kyssen	1984	4	8	0.048897412233333326	-0.4593052855186992	0.022433563699999937	0.05252644686666663	0.5
