period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2010	Therre	21	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Anjonen	36	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Carin82	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	melker03	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	MHK	27	Gen3	8.0	0.0	8.0	0.0	1.0
2010	M82	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Numminen	34	Gen2	2.0	1.0	1.0	0.5	0.5
2010	delifi2	35	Gen2	2.0	0.0	2.0	0.0	1.0
2010	PHofie	23	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Milliz	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Anna i Hult	39	Gen2	3.0	3.0	0.0	1.0	0.0
2010	Krokodila	30	Gen3	4.0	1.0	3.0	0.25	0.75
2010	HelenFr	28	Gen3	2.0	2.0	0.0	1.0	0.0
2010	Eldsjäl	22	Gen3	7.0	0.0	7.0	0.0	1.0
2010	broglo	31	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Maggzan	33	Gen2	1.0	1.0	0.0	1.0	0.0
2010	kath	33	Gen2	1.0	0.0	1.0	0.0	1.0
2010	MumOfThree	24	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Jonna79	30	Gen3	2.0	1.0	1.0	0.5	0.5
2010	daddybear	33	Gen2	2.0	0.0	2.0	0.0	1.0
2010	Drömmer	43	Gen1	1.0	0.0	1.0	0.0	1.0
2010	Lillan1971	38	Gen2	3.0	0.0	3.0	0.0	1.0
2010	dannya	23	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Lima80	29	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Bumblebina	32	Gen2	1.0	0.0	1.0	0.0	1.0
2010	RoL	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Izzo	34	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Jaja88	21	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	miljarden	33	Gen2	4.0	0.0	4.0	0.0	1.0
2010	Forsen	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	MariaP	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Minisen	34	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Insatt	28	Gen3	5.0	4.0	1.0	0.8	0.2
2010	MrBlueSky	40	Gen2	8.0	0.0	8.0	0.0	1.0
2010	MammaBecca	28	Gen3	6.0	6.0	0.0	1.0	0.0
2010	vallakra	38	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Jackie och prinsarna	20	Gen4	1.0	0.0	1.0	0.0	1.0
2010	Buggster	21	Gen3	1.0	0.0	1.0	0.0	1.0
2010	cocos87	22	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Friid4	19	Gen4	1.0	0.0	1.0	0.0	1.0
2010	Kaos	40	Gen2	2.0	1.0	1.0	0.5	0.5
2010	Ollibolli	27	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	MariaJuj	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Lina W	28	Gen3	2.0	0.0	2.0	0.0	1.0
2010	m0desty	35	Gen2	1.0	1.0	0.0	1.0	0.0
2010	MammaSwahn	20	Gen4	2.0	0.0	2.0	0.0	1.0
2010	Heureka	35	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Irma01	32	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	anyXX	27	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Tattyn	32	Gen2	1.0	1.0	0.0	1.0	0.0
2010	asfaltsblomman	37	Gen2	2.0	0.0	2.0	0.0	1.0
2010	Psykologstudenten	40	Gen2	6.0	0.0	6.0	0.0	1.0
2010	Snooz	32	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Novaliss	26	Gen3	2.0	1.0	1.0	0.5	0.5
2010	Piff o Puff	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	sommar 77	32	Gen2	4.0	0.0	4.0	0.0	1.0
2010	Madame Mom	36	Gen2	1.0	0.0	1.0	0.0	1.0
2010	BabyJia	25	Gen3	1.0	1.0	0.0	1.0	0.0
2010	yousou	22	Gen3	1.0	0.0	1.0	0.0	1.0
2010	musli	38	Gen2	5.0	3.0	2.0	0.6	0.4
2010	lillälva	32	Gen2	1.0	1.0	0.0	1.0	0.0
2010	lillabebben	30	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	Maac	26	Gen3	2.0	2.0	0.0	1.0	0.0
2010	Aleksandra	48	Gen1	1.0	1.0	0.0	1.0	0.0
2010	Hanniz	23	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Pilla84	25	Gen3	1.0	0.0	1.0	0.0	1.0
2010	doriah	30	Gen3	1.0	1.0	0.0	1.0	0.0
2010	amila	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	twain	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	IsaCMoJs	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	pyjamastrollet	24	Gen3	1.0	0.0	1.0	0.0	1.0
