variable	community	freq	trend	sclass	cohort	value	value2	sag	so	freqlog	comcat	speaker	indvalue	yob	speaker2
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	mamita64	0.6111111111111112	1965	mamita64
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	nobilis	1.0	1967	nobilis
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Hedi	0.125	1966	Hedi
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Linaek	0.25	1964	Linaek
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Yrrepyrr	0.0	1967	Yrrepyrr
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Marlene	0.16	1967	Marlene
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	fabler	0.8	1964	fabler
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Pethra	0.0	1967	Pethra
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	mimamima	0.0	1967	mimamima
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Nilsfar	0.5	1965	Nilsfar
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Sinnika	1.0	1966	Sinnika
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	faster	1.0	1964	faster
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Hillbillie	0.6666666666666666	1964	Hillbillie
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Piri	0.0	1967	Piri
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	solstickan41	1.0	1967	solstickan41
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	snattran	0.3333333333333333	1967	snattran
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Pejo	1.0	1967	Pejo
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Cattis40	0.5	1967	Cattis40
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Bette	0.0	1967	Bette
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Skahlmann	1.0	1966	Skahlmann
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.437148569023569	0.36478745791245787	var	var	3	1	Hemliga damen	0.0	1967	Hemliga damen
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5593593405098912	0.4060234206600662	var	var	3	1	Helle68	0.0	1969	Helle68
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5593593405098912	0.4060234206600662	var	var	3	1	Humblebee	0.0	1968	Humblebee
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5593593405098912	0.4060234206600662	var	var	3	1	Vildrosen	1.0	1971	Vildrosen
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5593593405098912	0.4060234206600662	var	var	3	1	Atamon	0.7692307692307693	1972	Atamon
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5593593405098912	0.4060234206600662	var	var	3	1	Bubblan84	1.0	1971	Bubblan84
