variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2
riskera	0.10120799803333334	1023.0	up	intensional	2	0.0625	1	0	0	0	0.10416666666666667
riskera	0.10120799803333334	1023.0	up	intensional	3	0.0	0	1	0	0	0.0
riskera	0.10120799803333334	1023.0	up	intensional	4	0.07839845339845339	0	1	0	0	0.13056960676008295
riskera	0.10120799803333334	1023.0	up	intensional	5	0.0625	0	0	1	0	0.11328125
riskera	0.10120799803333334	1023.0	up	intensional	6	0.05357142857142857	0	0	1	0	0.09566326530612236
riskera	0.10120799803333334	1023.0	up	intensional	7	0.022556390977443608	0	0	0	1	0.04273842500989313
riskera	0.10120799803333334	1023.0	up	intensional	8	0.11904761904761904	0	0	0	1	0.13605442176870747
slippa	0.9775664363000001	8760.0	unclear	other	1	1.0	1	0	0	0	0.0
slippa	0.9775664363000001	8760.0	unclear	other	2	0.9424342105263158	1	0	0	0	0.040021929824561396
slippa	0.9775664363000001	8760.0	unclear	other	3	0.9857142857142858	0	1	0	0	0.02285714285714282
slippa	0.9775664363000001	8760.0	unclear	other	4	0.9934687910251819	0	1	0	0	0.011196358242545194
slippa	0.9775664363000001	8760.0	unclear	other	5	0.9750757575757576	0	0	1	0	0.042059659090909085
slippa	0.9775664363000001	8760.0	unclear	other	6	0.9943910256410257	0	0	1	0	0.010416666666666649
slippa	0.9775664363000001	8760.0	unclear	other	7	0.9643724696356276	0	0	0	1	0.060004261666311454
slippa	0.9775664363000001	8760.0	unclear	other	8	0.9734950584007187	0	0	0	1	0.04004620716211017
sluta	0.9347825901999999	6460.0	up	aspectual	1	0.984375	1	0	0	0	0.015625
sluta	0.9347825901999999	6460.0	up	aspectual	2	0.9484126984126985	1	0	0	0	0.06878306878306877
sluta	0.9347825901999999	6460.0	up	aspectual	3	0.8	0	1	0	0	0.31999999999999995
sluta	0.9347825901999999	6460.0	up	aspectual	4	0.9476210388796809	0	1	0	0	0.05061735196960166
sluta	0.9347825901999999	6460.0	up	aspectual	5	0.9413141514227642	0	0	1	0	0.08552285791412599
sluta	0.9347825901999999	6460.0	up	aspectual	6	0.9610544217687075	0	0	1	0	0.06120019436345974
sluta	0.9347825901999999	6460.0	up	aspectual	7	0.8950710108604846	0	0	0	1	0.1476322384909642
sluta	0.9347825901999999	6460.0	up	aspectual	8	0.9512987012987013	0	0	0	1	0.05565862708719852
vägra	0.8474735531333334	6864.0	up	intensional	1	0.5199335548172758	1	0	0	0	0.19435215946843853
vägra	0.8474735531333334	6864.0	up	intensional	2	0.7938034188034188	1	0	0	0	0.15491452991452992
vägra	0.8474735531333334	6864.0	up	intensional	3	0.7249999999999999	0	1	0	0	0.11333333333333336
vägra	0.8474735531333334	6864.0	up	intensional	4	0.8711020918294172	0	1	0	0	0.10583213033434502
vägra	0.8474735531333334	6864.0	up	intensional	5	0.8683588520245592	0	0	1	0	0.15110861981300414
vägra	0.8474735531333334	6864.0	up	intensional	6	0.8314603344669778	0	0	1	0	0.18934203169015879
vägra	0.8474735531333334	6864.0	up	intensional	7	0.7604151782170356	0	0	0	1	0.2497217681020843
vägra	0.8474735531333334	6864.0	up	intensional	8	0.8146831855271753	0	0	0	1	0.13819757151872608
