period	username	total	v1abs	v2abs	v1rel	v2rel	perauthor
2013	Disposition	4	0	4	0	1	1
2022	Disques	2	0	2	0	1	1
2014	disregardfemales	2	1	1	0.5	0.5	1
2010	Dissconectarn	2	2	0	1	0	1
2017	DisSid	2	0	2	0	1	1
2015	Dissociative	9	0	9	0	1	1
2012	DistortedTruth	1	1	0	1	0	1
2012	Distraught	1	0	1	0	1	1
2016	Divination	7	5	2	0.7142857143	0.2857142857	4
2017	Divination	2	0	2	0	1	5
2018	Divination	2	0	2	0	1	6
2019	Divination	5	0	5	0	1	3
2020	Divination	8	0	8	0	1	1
2021	Divination	8	0	8	0	1	2
2008	Division39	1	1	0	1	0	1
2011	DivisionUltra	1	0	1	0	1	1
2009	DixiePrick	1	1	0	1	0	1
2017	DJ-Emerald	2	1	1	0.5	0.5	2
2018	DJ-Emerald	1	0	1	0	1	3
2020	DJ-Emerald	1	0	1	0	1	1
2017	dj0h4nn3s	1	0	1	0	1	1
2016	Djeydjey	2	2	0	1	0	1
2022	Djicp	3	0	3	0	1	1
2018	DjILY	1	0	1	0	1	1
2022	DjILY	10	0	10	0	1	2
2019	DjPutte	2	0	2	0	1	2
2020	DjPutte	6	0	6	0	1	1
2020	DjungelJumbo	2	0	2	0	1	1
2021	DjungelJumbo	1	0	1	0	1	2
2022	DjungelJumbo	4	0	4	0	1	3
2016	Djupfrys	1	1	0	1	0	1
2009	Djurmo	1	1	0	1	0	1
2017	Djurmo	1	0	1	0	1	2
2018	Djurmo	1	0	1	0	1	3
2021	DjursholmsLatrinen	1	0	1	0	1	1
2013	Dmitri	1	0	1	0	1	1
2014	Dmitri	1	0	1	0	1	2
2011	dnan0912	1	0	1	0	1	1
2014	Dobbels	1	0	1	0	1	1
2011	dobedo	1	1	0	1	0	1
2019	DobermannSpitfire	1	0	1	0	1	1
2003	docklands	1	1	0	1	0	1
2011	DoctorDeath	1	1	0	1	0	1
2019	DoctorSun	3	0	3	0	1	1
2009	DoctorWho	3	3	0	1	0	1
2022	Död o återfödd	2	0	2	0	1	1
2020	Dodafisk	1	0	1	0	1	1
2020	dodasossarna	1	0	1	0	1	1
2022	dodcoviddod	12	0	12	0	1	1
2015	dödskniven	1	0	1	0	1	1
2015	Dofterna	4	0	4	0	1	3
2016	Dofterna	1	0	1	0	1	4
2017	Dofterna	3	0	3	0	1	5
2018	Dofterna	1	0	1	0	1	6
2020	Dofterna	2	1	1	0.5	0.5	1
2021	Dofterna	1	0	1	0	1	2
2009	Dogdylan	18	18	0	1	0	2
2010	Dogdylan	79	24	55	0.3037974684	0.6962025316	1
2011	Dogdylan	55	6	49	0.1090909091	0.8909090909	3
2012	DogDylan3.0	9	0	9	0	1	1
2012	DogDylan4.0	2	0	2	0	1	2
2013	DogDylan4.0	3	0	3	0	1	1
2013	Dogdylan6.0	6	0	6	0	1	1
2008	Dogfaced	2	2	0	1	0	1
2010	doggydoo	3	3	0	1	0	1
2008	Dogrust	3	2	1	0.6666666667	0.3333333333	2
2014	Dogrust	3	0	3	0	1	1
2009	DogulasFossa	1	1	0	1	0	1
2015	Doktatorn	2	0	2	0	1	1
2011	Doktor Mugg	2	2	0	1	0	1
2007	Doktor Pork	1	1	0	1	0	4
2010	Doktor Pork	4	4	0	1	0	2
2014	Doktor Pork	1	0	1	0	1	1
2015	Doktor Pork	4	4	0	1	0	3
2018	Doktor Pork	1	0	1	0	1	5
2013	Doktoranden	1	0	1	0	1	1
2014	Doktoranden	3	1	2	0.3333333333	0.6666666667	2
2011	DoktorAnna	1	0	1	0	1	1
2010	DoktorBlutegel	1	1	0	1	0	1
2020	DoktorDawkins	3	0	3	0	1	1
2021	DoktorDöd	8	5	3	0.625	0.375	1
2012	DoktorNo	1	0	1	0	1	3
2018	DoktorNo	1	0	1	0	1	2
2019	DoktorNo	1	0	1	0	1	1
2022	DoktorNo	1	0	1	0	1	4
2017	doktorwestring	1	0	1	0	1	1
2017	Dolche	1	0	1	0	1	2
2018	Dolche	2	0	2	0	1	3
2021	Dolche	2	0	2	0	1	1
2012	Dolk	1	1	0	1	0	1
2010	DollarMaker	1	1	0	1	0	1
2013	Dolmance	6	5	1	0.8333333333	0.1666666667	1
2014	Dolmance	5	4	1	0.8	0.2	2
2019	Dolmance	3	1	2	0.3333333333	0.6666666667	3
2011	dolmenkollen	1	0	1	0	1	1
2016	Dominusillvminatio	1	0	1	0	1	1
2007	Don Croce	1	1	0	1	0	1
2011	Don Fadäso	1	1	0	1	0	1
2009	Don.C	3	3	0	1	0	2
2021	Don.C	2	0	2	0	1	1
2022	Don.C	1	0	1	0	1	3
2019	Donald.Trams	1	0	1	0	1	1
2016	donaldtrump2016	9	0	9	0	1	1
2017	donaldtrump2016	3	0	3	0	1	2
2013	donaukind	1	1	0	1	0	1
2014	donaukind	1	1	0	1	0	2
2015	donaukind	1	0	1	0	1	3
2008	Donco	2	0	2	0	1	2
2009	Donco	6	6	0	1	0	1
2009	doncorle	1	1	0	1	0	1
2015	DonCrescendo	1	0	1	0	1	1
2022	doncroce	2	0	2	0	1	1
2010	DonDarko	2	2	0	1	0	1
2010	DonFabrizio	4	4	0	1	0	1
2011	DonFabrizio	1	1	0	1	0	2
2022	DonLatino	2	0	2	0	1	1
2015	Donmetz	2	0	2	0	1	1
2020	DonPapacito38	1	0	1	0	1	1
2016	DonSikiel	1	0	1	0	1	1
2019	dontblamecain	1	0	1	0	1	1
2018	Dontcallmedude	1	0	1	0	1	1
2010	DontTrustMe	1	1	0	1	0	1
2017	DontWantWar	1	0	1	0	1	1
2011	DonVonFjant	1	0	1	0	1	1
2020	Dooby-dooo	1	0	1	0	1	1
2017	Doodi	1	0	1	0	1	1
2022	Doodi	1	0	1	0	1	2
2017	dook	1	0	1	0	1	1
2016	Doomush	2	0	2	0	1	1
2017	Doomush	4	0	4	0	1	2
2021	Doosing	2	0	2	0	1	1
2022	Doosing	4	0	4	0	1	2
2020	Dopamina	1	0	1	0	1	1
2018	dopestghost	1	0	1	0	1	1
2021	Doraemon-FTW	5	0	5	0	1	1
2022	Doraemon-FTW	19	0	19	0	1	2
2016	DoraF	2	0	2	0	1	1
2017	DoraF	2	0	2	0	1	2
2013	Dornier	1	0	1	0	1	1
2017	Dornier	1	0	1	0	1	5
2019	Dornier	2	0	2	0	1	4
2020	Dornier	3	0	3	0	1	2
2021	Dornier	1	0	1	0	1	3
2015	Dornroschen	1	0	1	0	1	1
2013	DosSantos	1	1	0	1	0	1
2021	dotslash	1	0	1	0	1	1
2011	doublelift	1	1	0	1	0	1
2006	DoubleWood	1	1	0	1	0	2
2016	DoubleWood	1	0	1	0	1	1
2013	Douche-chill	3	2	1	0.6666666667	0.3333333333	1
2013	douchetard	2	0	2	0	1	1
2020	DoungA	1	0	1	0	1	1
2013	dowhatisay	1	0	1	0	1	1
2014	dowhatisay	1	0	1	0	1	2
2015	dowhatisay	1	0	1	0	1	3
2016	dowhatisay	1	0	1	0	1	5
2018	dowhatisay	1	0	1	0	1	6
2019	dowhatisay	4	0	4	0	1	4
2022	dowhatisay	2	0	2	0	1	7
2011	Down76	1	1	0	1	0	1
2007	Dr Dystop	1	1	0	1	0	1
2007	Dr Scriptum	1	1	0	1	0	3
2008	Dr Scriptum	4	4	0	1	0	5
2009	Dr Scriptum	2	2	0	1	0	2
2010	Dr Scriptum	1	0	1	0	1	1
2011	Dr Scriptum	1	0	1	0	1	4
2015	Dr Tinnitus	1	1	0	1	0	1
2013	Dr-compakt	1	0	1	0	1	1
2013	Dr-Hicks	1	0	1	0	1	1
2007	Dr. J. Hamilton	2	2	0	1	0	1
2018	Dr.Beak	3	0	3	0	1	1
2014	Dr.Dzerzhinsky	13	0	13	0	1	1
2015	Dr.Felixius	1	0	1	0	1	1
2012	Dr.Galenika	1	0	1	0	1	1
2011	Dr.Gurka	1	1	0	1	0	1
2018	Dr.hankey	3	0	3	0	1	1
2022	Dr.Hfuhruhurr	1	0	1	0	1	1
2007	Dr.Jekyll	1	1	0	1	0	1
2019	Dr.Kati	1	0	1	0	1	1
2014	Dr.Mental	2	0	2	0	1	1
2018	Dr.skalmanski	1	0	1	0	1	4
2019	Dr.skalmanski	1	0	1	0	1	3
2020	Dr.skalmanski	6	0	6	0	1	1
2021	Dr.skalmanski	2	0	2	0	1	2
2022	Dr.skalmanski	1	0	1	0	1	5
2008	Dr.Wöhler	1	1	0	1	0	1
2014	dr26	8	0	8	0	1	1
2021	Dracoul	1	0	1	0	1	1
2010	Draedon	1	1	0	1	0	1
2011	Draedon	1	1	0	1	0	2
2009	Dragonaut	1	1	0	1	0	1
2018	Dragonflash	1	1	0	1	0	1
2022	Dragonflash	4	0	4	0	1	2
2010	dragonflies	3	3	0	1	0	1
2018	DragonOnWall8	4	0	4	0	1	1
2019	dragonsneeze	1	0	1	0	1	1
2018	Draitex	3	0	3	0	1	1
2020	Draken55	1	0	1	0	1	1
2021	Draken55	4	0	4	0	1	2
2022	Draken55	2	0	2	0	1	3
2018	Drama-Llama	10	0	10	0	1	1
2020	dramagous	1	0	1	0	1	1
2021	dramagous	1	0	1	0	1	2
2009	Dräng-Erik	2	2	0	1	0	2
2010	Dräng-Erik	1	1	0	1	0	1
2011	Dräng-Erik	2	1	1	0.5	0.5	3
2012	Dräng-Erik	3	2	1	0.6666666667	0.3333333333	4
2011	Drapåtrissor	1	0	1	0	1	3
2012	Drapåtrissor	1	1	0	1	0	4
2013	Drapåtrissor	2	1	1	0.5	0.5	1
2016	Drapåtrissor	2	0	2	0	1	2
2014	DrArroganto	1	0	1	0	1	1
2017	drArsMoriendi	1	1	0	1	0	1
2010	DrCofexer	2	2	0	1	0	1
2022	DrComfort	1	0	1	0	1	1
2013	DRD4	1	1	0	1	0	1
2015	DRD4	2	0	2	0	1	2
2012	DrDrapa	2	0	2	0	1	2
2015	DrDrapa	3	0	3	0	1	1
2013	Dre	1	0	1	0	1	1
2021	dreadpirate420	1	0	1	0	1	1
2022	dreadpirate420	1	0	1	0	1	2
2008	dreamboi123	1	1	0	1	0	1
2015	Dreamstate	1	0	1	0	1	1
2012	Dreamwing	1	0	1	0	1	1
2007	Dreamyn	1	1	0	1	0	1
2012	DreanieBluumbach	1	0	1	0	1	2
2013	DreanieBluumbach	3	0	3	0	1	1
2012	Dredge	1	0	1	0	1	1
2009	dregen55	1	1	0	1	0	1
2020	Drevet	1	0	1	0	1	1
2012	drfreudstein	1	1	0	1	0	1
2010	DrGreenthumb	1	1	0	1	0	1
2021	Driftstopp	2	0	2	0	1	1
2013	Drini	1	1	0	1	0	1
2016	Drini	2	0	2	0	1	2
2021	drink40s	3	0	3	0	1	1
2018	DrinkBleach	1	0	1	0	1	1
2013	Drinkycrow	1	0	1	0	1	1
2014	Drinkycrow	1	0	1	0	1	2
2015	Drinkycrow	1	0	1	0	1	3
2017	Drinkycrow	1	0	1	0	1	4
2016	Dristigheten	1	0	1	0	1	1
2011	DrJohnBWatson	1	1	0	1	0	1
2013	DrKimble	1	0	1	0	1	1
2011	DrKrastapopolos	5	5	0	1	0	1
2022	DrKrispo	1	0	1	0	1	1
2009	DrKvick	2	2	0	1	0	1
2017	DrL0c	2	0	2	0	1	1
2021	DrMurdoch	19	0	19	0	1	1
2022	DrNoob	2	1	1	0.5	0.5	1
2022	DroidBishop	4	0	4	0	1	1
2014	Droidlife	1	0	1	0	1	1
2015	Droidlife	1	0	1	0	1	3
2018	Droidlife	1	0	1	0	1	4
2021	Droidlife	1	0	1	0	1	2
2017	drone666	1	0	1	0	1	1
2014	dronezone	1	0	1	0	1	1
2021	dront242	1	0	1	0	1	1
2005	droopy	1	1	0	1	0	1
2010	Drozd	17	16	1	0.9411764706	0.0588235294	5
2011	Drozd	15	14	1	0.9333333333	0.0666666667	9
2012	Drozd	16	4	12	0.25	0.75	12
2013	Drozd	8	2	6	0.25	0.75	1
2014	Drozd	12	0	12	0	1	3
2015	Drozd	7	3	4	0.4285714286	0.5714285714	6
2016	Drozd	5	0	5	0	1	8
2017	Drozd	2	0	2	0	1	10
2018	Drozd	6	0	6	0	1	11
2019	Drozd	1	0	1	0	1	7
2020	Drozd	5	0	5	0	1	2
2021	Drozd	4	0	4	0	1	4
2022	Drozd	5	0	5	0	1	13
2021	Drozdovsky	2	0	2	0	1	1
2010	DRPOE	1	1	0	1	0	2
2011	DRPOE	1	0	1	0	1	3
2013	DRPOE	3	1	2	0.3333333333	0.6666666667	1
2019	drrty	1	0	1	0	1	2
2020	drrty	1	0	1	0	1	1
2022	drrty	1	0	1	0	1	3
2018	DrSilverdufva	5	0	5	0	1	1
2012	DrSvenne	1	0	1	0	1	9
2013	DrSvenne	2	0	2	0	1	1
2014	DrSvenne	12	0	12	0	1	3
2015	DrSvenne	9	0	9	0	1	5
2016	DrSvenne	33	0	33	0	1	7
2017	DrSvenne	17	0	17	0	1	8
2019	DrSvenne	10	0	10	0	1	6
2020	DrSvenne	4	0	4	0	1	2
2021	DrSvenne	7	0	7	0	1	4
2006	Drullknull	5	5	0	1	0	11
2008	Drullknull	3	3	0	1	0	10
2010	Drullknull	4	4	0	1	0	4
2011	Drullknull	7	7	0	1	0	8
2012	Drullknull	2	2	0	1	0	13
2013	Drullknull	15	15	0	1	0	1
2014	Drullknull	48	47	1	0.9791666667	0.0208333333	3
2015	Drullknull	19	2	17	0.1052631579	0.8947368421	5
2016	Drullknull	30	7	23	0.2333333333	0.7666666667	7
2017	Drullknull	3	2	1	0.6666666667	0.3333333333	9
2018	Drullknull	4	3	1	0.75	0.25	12
2019	Drullknull	18	0	18	0	1	6
2020	Drullknull	11	0	11	0	1	2
2014	drulman	3	2	1	0.6666666667	0.3333333333	1
2015	drulman	1	0	1	0	1	2
2011	Drumstick	1	1	0	1	0	1
2020	DrunkenZealot	19	0	19	0	1	1
2021	DrunkenZealot	11	0	11	0	1	2
2022	DrunkenZealot	2	0	2	0	1	3
2013	Drusken	1	0	1	0	1	1
2014	drwadde	1	1	0	1	0	1
2017	Drygeman	1	0	1	0	1	1
2022	drysin	1	0	1	0	1	1
2007	Dsfh	1	1	0	1	0	1
2011	Dsndss	1	1	0	1	0	1
2016	dstruct	4	0	4	0	1	1
2017	dstruct	2	0	2	0	1	2
2014	Dsw1491	1	0	1	0	1	1
2020	Duality	1	0	1	0	1	1
2021	Duality	4	0	4	0	1	2
2022	Duality	1	0	1	0	1	3
2021	Dubbel.ankeborgare	1	0	1	0	1	1
2012	Dubbelespresso	1	0	1	0	1	1
2013	Dubbelfel	2	0	2	0	1	1
2014	Dubbelfel	1	1	0	1	0	2
2012	dubbeltommy	4	3	1	0.75	0.25	1
2010	Dubya	11	7	4	0.6363636364	0.3636363636	1
2011	Dubya	11	9	2	0.8181818182	0.1818181818	2
2019	Duck-Lips	3	0	3	0	1	2
2020	Duck-Lips	1	0	1	0	1	1
2022	Duck-Lips	1	0	1	0	1	3
2009	Duckdigger	1	1	0	1	0	1
2014	Duckham	1	0	1	0	1	1
2009	Dude The Rude	1	1	0	1	0	1
2022	Duerf	2	0	2	0	1	1
2020	duetten	1	0	1	0	1	1
2013	DuFarInteVeta	1	1	0	1	0	1
2016	Duffie	2	0	2	0	1	1
2022	dufrianord	1	1	0	1	0	1
2022	Dugerdet	1	0	1	0	1	1
2012	dukanvadet	1	0	1	0	1	1
2020	Dukater	1	0	1	0	1	1
2012	DulceGabbana	1	0	1	0	1	1
2010	dumboear	3	3	0	1	0	2
2011	dumboear	2	2	0	1	0	3
2012	dumboear	2	1	1	0.5	0.5	5
2013	dumboear	1	1	0	1	0	1
2018	dumboear	2	1	1	0.5	0.5	4
2018	dumdumboy	2	0	2	0	1	1
2015	dumifittan	2	0	2	0	1	1
2015	DumleDanco	6	0	6	0	1	1
2022	Dumnorix	1	0	1	0	1	1
2014	Dunderaxel2	1	0	1	0	1	1
2010	Dunderbrekk	1	1	0	1	0	1
2013	dundermusen666	1	0	1	0	1	1
2020	Dundersnubben	1	0	1	0	1	1
2021	Dundersnubben	1	0	1	0	1	2
2022	DungEater	1	0	1	0	1	1
2012	duqu	1	1	0	1	0	5
2013	duqu	3	3	0	1	0	1
2014	duqu	4	4	0	1	0	2
2015	duqu	1	1	0	1	0	3
2019	duqu	1	0	1	0	1	4
2007	Duracell Bunny	2	2	0	1	0	1
2019	Durcherrs	1	0	1	0	1	1
2011	Durkheim	1	0	1	0	1	1
2020	DURN80	1	0	1	0	1	1
2015	Durochmoll	1	0	1	0	1	1
2022	Durochmoll	1	0	1	0	1	2
2014	durrutti	4	0	4	0	1	1
2014	DuSomTrodde	1	0	1	0	1	1
2011	DustyZiggy	1	1	0	1	0	1
2022	dusugermer	2	0	2	0	1	1
2013	dutch	1	0	1	0	1	1
2019	Duvhus	1	0	1	0	1	1
2022	Duvlort	1	0	1	0	1	1
2020	DvaergensHaemnd	1	0	1	0	1	1
2015	Dvargvarme	1	0	1	0	1	1
2016	DVD-spelare	1	0	1	0	1	1
2017	DVD-spelare	1	0	1	0	1	2
2014	dwg	1	0	1	0	1	1
2019	Dwight.Schrute	1	0	1	0	1	1
2020	Dworek	1	0	1	0	1	1
2019	DwWU	1	0	1	0	1	1
2009	DXM-Redemption	1	1	0	1	0	1
2017	Dygdepladdrare	2	0	2	0	1	1
2009	dymco	8	8	0	1	0	1
2021	Dynamitsmurf	1	0	1	0	1	1
2020	Dynamo-Kuken	1	0	1	0	1	1
2012	DysterKvist	1	0	1	0	1	1
2014	Dystopikern	3	0	3	0	1	1
2015	Dystopikern	1	0	1	0	1	2
2013	DzCh	4	1	3	0.25	0.75	1
2022	Dziwne	1	0	1	0	1	1
2021	e_peppe	1	0	1	0	1	1
2021	E-Mac.	1	0	1	0	1	1
2022	E-Mac.	1	0	1	0	1	2
2013	E-tuna-bo	1	1	0	1	0	1
2010	e-v-a-s	3	3	0	1	0	1
2022	E.Clarke	2	0	2	0	1	1
2009	E.Eriksson	2	2	0	1	0	2
2011	E.Eriksson	1	1	0	1	0	3
2013	E.Eriksson	2	0	2	0	1	1
2010	E.Merckx	5	5	0	1	0	1
2012	E.Merckx	2	2	0	1	0	2
2021	E.R.	1	1	0	1	0	1
2017	E1520	1	0	1	0	1	1
2014	Eadron	1	0	1	0	1	1
2017	Eaglesandshit	2	0	2	0	1	1
2018	ealdorman3	1	0	1	0	1	3
2019	ealdorman3	1	0	1	0	1	2
2021	ealdorman3	1	0	1	0	1	1
2015	EarlTurner	3	0	3	0	1	1
2016	EarlTurner	5	1	4	0.2	0.8	2
2017	EarlTurner	3	0	3	0	1	3
2021	early.bird	2	0	2	0	1	1
2020	EarthFrequency	3	0	3	0	1	1
2016	EasilyOffended	1	0	1	0	1	1
2020	EastClintfood	1	0	1	0	1	1
2021	EastClintfood	2	0	2	0	1	2
2010	eastenders	1	1	0	1	0	1
2017	Eastman92	1	0	1	0	1	1
2015	Eastmancolor	2	0	2	0	1	2
2016	Eastmancolor	2	0	2	0	1	4
2019	Eastmancolor	7	0	7	0	1	3
2020	Eastmancolor	1	0	1	0	1	1
2022	Eastmancolor	2	0	2	0	1	5
2022	Eastwing	5	0	5	0	1	1
2012	Easy-Lee	1	0	1	0	1	3
2013	Easy-Lee	6	4	2	0.6666666667	0.3333333333	1
2014	Easy-Lee	3	1	2	0.3333333333	0.6666666667	2
2019	EasyClap	12	0	12	0	1	1
2019	EasyClaps	12	0	12	0	1	1
2015	EatableAcrobat	1	0	1	0	1	1
2013	Eatmyshorts	1	0	1	0	1	1
2015	Eberdeen	1	0	1	0	1	1
2013	ebqt	1	0	1	0	1	1
2018	ebqt	7	0	7	0	1	2
2021	EBT	1	0	1	0	1	1
2012	ecglsd	2	1	1	0.5	0.5	2
2013	ecglsd	4	0	4	0	1	1
2010	Echmech	1	1	0	1	0	1
2019	Eckiumbum	1	0	1	0	1	2
2020	Eckiumbum	2	0	2	0	1	1
2012	EcstasyRising	1	1	0	1	0	1
2016	ed1	1	0	1	0	1	1
2018	Edgerton	44	0	44	0	1	4
2019	Edgerton	86	0	86	0	1	3
2020	Edgerton	52	0	52	0	1	1
2021	Edgerton	47	0	47	0	1	2
2022	Edgerton	60	0	60	0	1	5
2014	Edirtrm	26	8	18	0.3076923077	0.6923076923	1
2015	Edirtrm	71	29	42	0.4084507042	0.5915492958	3
2016	Edirtrm	85	34	51	0.4	0.6	5
2017	Edirtrm	9	8	1	0.8888888889	0.1111111111	6
2018	Edirtrm	5	4	1	0.8	0.2	7
2019	Edirtrm	2	0	2	0	1	4
2021	Edirtrm	1	0	1	0	1	2
2012	Edith.W.	1	1	0	1	0	1
2016	Edt.cat.	5	0	5	0	1	1
2016	edulimefragetecken	1	0	1	0	1	1
2013	Eerieye	1	0	1	0	1	1
2014	Eerieye	1	0	1	0	1	2
2015	Eerieye	1	0	1	0	1	3
2017	Eerieye	2	0	2	0	1	4
2018	Eerieye	1	0	1	0	1	5
2022	Eerieye	1	0	1	0	1	6
2018	Efebofilkusten	1	1	0	1	0	1
2022	Efebofilkusten	1	0	1	0	1	2
2010	Effiestonem	1	1	0	1	0	1
2011	Effiestonem	2	2	0	1	0	2
2018	EffinEjit	2	0	2	0	1	2
2019	EffinEjit	2	0	2	0	1	1
2016	Efterdradd	1	0	1	0	1	1
2018	Efterdradd	4	0	4	0	1	2
2021	egbert-v	1	0	1	0	1	1
2013	eggshells	1	1	0	1	0	1
2019	EghtLegged	1	0	1	0	1	1
2017	Egnatankar	3	0	3	0	1	2
2018	Egnatankar	8	0	8	0	1	3
2021	Egnatankar	1	0	1	0	1	1
2022	Egnatankar	1	0	1	0	1	4
2012	Ego-Lego	1	1	0	1	0	3
2014	Ego-Lego	2	0	2	0	1	1
2016	Ego-Lego	1	0	1	0	1	2
2014	Egon.Krenz	1	1	0	1	0	1
2015	Egon.Krenz	7	1	6	0.1428571429	0.8571428571	2
2018	Egon.Ramasotti	1	0	1	0	1	1
2010	egon02362	1	1	0	1	0	1
2011	egon2b	1	0	1	0	1	2
2012	egon2b	2	1	1	0.5	0.5	3
2013	egon2b	1	0	1	0	1	1
2006	Egon3	1	1	0	1	0	5
2007	Egon3	3	3	0	1	0	2
2008	Egon3	1	1	0	1	0	4
2010	Egon3	2	2	0	1	0	1
2011	Egon3	1	1	0	1	0	3
2019	Egotrippen	1	0	1	0	1	1
2012	Ehhh...	3	2	1	0.6666666667	0.3333333333	1
2016	Ehms	1	0	1	0	1	1
2018	Eiinnd	1	0	1	0	1	1
2021	Eilenberg	1	0	1	0	1	1
2008	Einar-Fredrik	1	1	0	1	0	2
2009	Einar-Fredrik	1	1	0	1	0	1
2020	Einzelgaenger	1	0	1	0	1	1
2021	Einzelgaenger	24	0	24	0	1	2
2022	Einzelgaenger	11	0	11	0	1	3
2022	EiraThunberg	1	0	1	0	1	1
2021	eisenhoovermachine	1	0	1	0	1	1
2010	Eitzel	1	1	0	1	0	1
2019	Ejsidisi	2	0	2	0	1	1
2021	Ekenkisen	1	0	1	0	1	1
2015	ekerilar	1	0	1	0	1	3
2017	ekerilar	1	0	1	0	1	5
2018	ekerilar	1	0	1	0	1	6
2019	ekerilar	2	0	2	0	1	4
2020	ekerilar	4	0	4	0	1	1
2021	ekerilar	1	0	1	0	1	2
2022	ekerilar	4	0	4	0	1	7
2018	ekirkim	1	0	1	0	1	1
2022	Eklektiskwiccan	1	0	1	0	1	1
2021	EkonomiskKatastrof	1	0	1	0	1	1
2017	Ekonomista	1	0	1	0	1	1
2016	ekorrerror	1	0	1	0	1	1
2018	Ekvalisten	5	4	1	0.8	0.2	1
2012	El Capitano	2	2	0	1	0	5
2013	El Capitano	7	7	0	1	0	1
2014	El Capitano	21	15	6	0.7142857143	0.2857142857	2
2015	El Capitano	7	0	7	0	1	3
2016	El Capitano	1	0	1	0	1	4
2015	Elac	1	0	1	0	1	1
2012	Elanin	1	0	1	0	1	1
2012	Elashback	1	1	0	1	0	2
2014	Elashback	1	0	1	0	1	1
2010	elbrujo	4	4	0	1	0	1
2014	ElCampeador	1	0	1	0	1	1
2015	ElCampeador	3	0	3	0	1	2
2019	Eldamycke	1	0	1	0	1	1
2020	electric_boogie	1	0	1	0	1	1
2019	ElectricLadyland	1	0	1	0	1	1
2014	ElectrostaticGlue	6	0	6	0	1	1
2013	Elefanter	2	0	2	0	1	1
2015	elefantpenis2002	1	0	1	0	1	1
2012	Elephone	1	1	0	1	0	1
2017	elguantelete	1	1	0	1	0	1
2009	EliasAlucard	2	2	0	1	0	5
2012	EliasAlucard	2	2	0	1	0	7
2013	EliasAlucard	2	0	2	0	1	1
2014	EliasAlucard	15	7	8	0.4666666667	0.5333333333	2
2015	EliasAlucard	2	0	2	0	1	3
2018	EliasAlucard	5	0	5	0	1	6
2019	EliasAlucard	1	0	1	0	1	4
2018	Eliassss_	1	0	1	0	1	1
2022	eliizar	1	0	1	0	1	1
2020	Eliko	1	0	1	0	1	1
2014	elinoelin	1	0	1	0	1	1
2012	Elis91	2	2	0	1	0	1
2015	Eliten987	1	1	0	1	0	1
2018	ElIzzard	1	0	1	0	1	1
2022	Ellestrandh	5	0	5	0	1	1
2018	elliha	1	0	1	0	1	1
2016	elliot1990	6	0	6	0	1	1
2016	elljus15	3	0	3	0	1	1
2011	ElMacoGrande	1	1	0	1	0	1
2013	elmanoo	1	0	1	0	1	1
2017	elmheden	3	0	3	0	1	1
2015	ElMosavi	1	0	1	0	1	1
2013	Elofzon	1	1	0	1	0	1
2014	Elofzon	1	0	1	0	1	2
2015	Elofzon	1	0	1	0	1	3
2016	Elofzon	2	0	2	0	1	4
2014	elon.fiske	1	1	0	1	0	1
2022	ElongatedMuskrat	2	0	2	0	1	1
2014	Eloria	2	1	1	0.5	0.5	1
2014	elsydeon	4	0	4	0	1	1
2015	elsydeon	2	0	2	0	1	2
2011	Eltopo	1	1	0	1	0	1
2012	Eltopo	3	1	2	0.3333333333	0.6666666667	2
2017	Elvira96	2	0	2	0	1	1
2018	ElvisFan	1	0	1	0	1	1
2011	Elwiraa	1	1	0	1	0	1
2017	Elwy	7	0	7	0	1	1
2012	ElzyLay	1	1	0	1	0	1
2015	Emanciperad	1	0	1	0	1	1
2021	emelie-r	1	0	1	0	1	1
2022	Emellie	2	0	2	0	1	1
2009	Emerthon	1	1	0	1	0	2
2010	Emerthon	2	2	0	1	0	1
2014	EmileZola	2	0	2	0	1	1
2013	Eminent.Javisst	1	0	1	0	1	1
2019	Emlow	1	0	1	0	1	1
2016	emma80	1	0	1	0	1	1
2017	emma80	1	0	1	0	1	2
2021	EmmanuelGoldstein	2	0	2	0	1	1
2019	Emoist	1	0	1	0	1	2
2021	Emoist	4	0	4	0	1	1
2022	Emoist	5	0	5	0	1	3
2019	Emoll	9	0	9	0	1	3
2020	Emoll	2	0	2	0	1	1
2021	Emoll	1	0	1	0	1	2
2016	empoisonne	1	0	1	0	1	2
2021	empoisonne	1	0	1	0	1	1
2007	Empress	6	6	0	1	0	3
2009	Empress	4	4	0	1	0	2
2010	Empress	4	4	0	1	0	1
2011	Empress	14	11	3	0.7857142857	0.2142857143	4
2012	Empress	2	2	0	1	0	5
2016	Emret	1	0	1	0	1	1
2019	emtor	1	0	1	0	1	1
2010	En debattör	1	1	0	1	0	1
2010	en vit man	2	2	0	1	0	1
2016	En.Sann.Neger	3	0	3	0	1	1
2022	en.svensk.tiger	1	0	1	0	1	1
2019	EnAnnanAnHan	1	0	1	0	1	1
2017	Enannorlundatanke	1	1	0	1	0	1
2022	EnCarte	1	0	1	0	1	1
2015	encefalon	1	0	1	0	1	1
2010	Encia	1	1	0	1	0	1
2011	Encia	2	2	0	1	0	2
2008	endagitaget	1	1	0	1	0	9
2009	endagitaget	1	1	0	1	0	7
2010	endagitaget	5	4	1	0.8	0.2	3
2011	endagitaget	2	2	0	1	0	8
2013	endagitaget	1	1	0	1	0	1
