word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
kommer att stå	1233		0	23	25	35	35	39	60	45	33	80	85	104	123	127	93	100	81	53	72	20
kommer att följa	959		1	11	16	14	20	38	34	45	47	49	73	65	97	91	67	73	76	62	61	19
kommer att lämna	957		2	10	14	27	36	42	30	49	32	43	52	55	97	107	81	79	66	59	54	22
kommer att jobba	945		0	5	6	13	22	30	29	22	35	59	70	84	117	91	81	78	71	59	47	26
kommer att minska	919		0	16	22	29	57	73	41	31	44	52	72	89	74	60	53	57	51	41	40	17
kommer att delta	893		5	12	13	16	14	24	25	43	24	49	65	87	93	113	75	74	51	40	43	27
kommer att börja	860		1	10	12	24	35	43	32	41	43	57	56	53	85	71	56	42	76	67	41	15
kommer att arbeta	771		1	10	13	12	18	28	43	21	24	41	50	71	88	88	66	56	45	41	34	21
kommer att rösta	767		3	7	8	4	11	21	23	21	14	41	97	42	91	52	88	78	40	54	64	8
kommer att dröja	759		3	8	10	17	31	38	29	23	40	50	50	63	75	71	62	49	66	29	31	14
kommer att klara	757		0	8	12	15	21	33	35	29	24	33	51	82	71	58	59	57	82	39	32	16
kommer att ställa	751		1	11	7	11	17	20	39	46	32	56	64	49	65	65	72	51	50	39	40	16
kommer att lägga	734		1	10	9	10	20	29	39	29	26	52	61	80	63	57	61	58	46	24	47	12
kommer att genomföra	676		0	2	6	13	10	11	6	13	18	34	59	63	87	71	65	49	61	49	31	28
kommer att köra	661		6	20	24	21	25	37	26	17	21	29	39	53	47	45	58	51	40	52	34	16
kommer att fungera	660		1	5	7	17	21	20	29	30	25	41	51	46	73	51	40	42	67	39	44	11
kommer att kräva	612		2	15	15	26	25	35	29	16	31	41	44	35	45	47	48	43	27	42	27	19
kommer att försöka	607		3	9	6	7	19	11	17	29	20	38	43	69	76	53	44	49	28	39	34	13
kommer att gälla	604		0	1	8	18	21	25	25	17	21	21	34	31	44	55	48	42	94	51	32	16
kommer att försvinna	598		1	7	8	17	34	45	29	28	35	34	44	47	50	53	31	47	37	17	23	11
kommer att använda	583		1	5	10	17	18	27	25	20	18	25	33	60	62	55	41	37	37	36	33	23
kommer att stanna	577		4	10	6	5	21	12	24	25	18	34	39	47	67	57	49	38	45	29	34	13
kommer att utreda	571		0	3	9	12	9	15	17	9	20	34	26	42	54	57	64	48	49	38	36	29
kommer att slå	569		0	9	12	16	22	31	21	22	18	38	42	50	38	52	37	56	39	25	21	20
kommer att sitta	567		1	7	8	10	16	13	34	10	33	34	50	37	54	68	47	40	24	29	42	10
kommer att sluta	545		4	6	6	13	18	16	20	29	20	30	39	49	51	51	51	42	32	24	32	12
kommer att hjälpa	536		0	5	4	3	15	19	16	15	23	46	24	40	53	48	42	37	43	32	52	19
kommer att åka	534		2	5	7	10	14	17	19	17	20	31	43	36	58	39	53	58	30	29	34	12
kommer att hamna	527		1	9	6	18	21	27	27	17	22	31	35	61	46	52	38	37	24	19	25	11
kommer att visa	517		0	5	8	14	18	23	32	22	22	34	39	39	62	38	35	38	38	23	18	9
kommer att titta	510		1	1	6	5	10	12	16	11	27	32	43	37	50	49	34	49	44	41	24	18
kommer att äga	492		1	11	7	11	9	25	24	22	21	25	37	36	46	30	41	38	34	32	23	19
kommer att handla	490		3	4	6	12	9	28	18	19	16	24	32	42	56	66	42	36	31	24	13	9
kommer att sätta	487		0	10	4	12	20	13	16	22	16	39	44	32	57	45	48	27	35	22	18	7
kommer att starta	484		0	8	12	13	29	18	11	19	17	18	22	39	50	53	40	39	36	30	18	12
kommer att vinna	481		0	4	7	13	6	10	16	17	17	31	33	31	62	51	48	40	30	18	36	11
kommer att bidra	476		0	6	6	7	8	18	23	11	18	34	33	55	49	53	23	29	30	17	37	19
kommer att dra	467		1	10	1	10	13	14	34	21	18	33	34	44	47	37	43	32	26	26	17	6
kommer att begära	449		0	11	14	21	28	28	22	38	18	33	28	39	40	36	23	24	13	16	15	2
kommer att stiga	438		4	10	11	13	25	34	31	31	14	36	22	36	29	29	30	17	16	11	24	15
kommer att öppna	435		0	3	5	4	11	9	17	9	16	21	20	44	41	42	25	39	63	43	16	7
kommer att räcka	428		0	7	3	4	15	16	18	12	18	20	20	38	41	34	31	27	63	28	25	8
kommer att agera	421		0	4	6	4	14	14	12	29	10	16	30	34	41	43	36	28	30	28	29	13
kommer att växa	418		0	7	5	14	12	15	12	27	17	24	43	36	36	41	31	31	19	18	16	14
kommer att bestå	412		0	7	11	15	14	18	24	11	16	15	31	28	44	38	31	24	22	28	25	10
kommer att flytta	409		0	10	9	8	10	14	12	24	18	24	22	44	51	33	33	29	17	24	16	11
kommer att lösa	405		1	2	1	10	8	7	12	12	23	23	31	46	53	30	42	23	28	25	17	11
kommer att skicka	389		0	5	4	5	7	11	18	10	10	14	39	33	35	27	32	21	23	29	38	28
kommer att söka	386		1	7	9	7	10	17	8	20	20	25	31	41	38	39	26	18	24	18	24	3
kommer att sakna	382		0	4	5	5	14	8	7	18	16	20	21	41	24	38	24	30	38	25	30	14
kommer att drabba	368		4	2	8	8	22	26	16	15	18	28	29	28	37	25	17	29	20	14	19	3
kommer att tävla	361		1	6	5	5	18	18	12	11	17	11	19	24	36	22	33	30	23	27	29	14
kommer att dö	355		1	5	7	8	6	8	12	26	18	28	25	34	32	42	22	25	15	17	17	7
kommer att ingå	353		1	6	11	10	20	20	11	20	10	32	24	25	23	27	28	20	16	18	18	13
kommer att driva	352		1	7	8	8	9	15	20	16	9	31	29	35	30	30	29	25	14	10	17	9
kommer att betala	350		0	8	7	11	12	20	12	12	16	26	28	27	35	37	20	13	27	15	12	12
kommer att landa	336		0	3	4	5	10	10	20	8	9	16	30	31	28	36	23	25	21	16	28	13
kommer att skapa	336		0	2	7	4	11	23	20	15	10	15	22	29	54	29	21	23	17	17	14	3
kommer att undersöka	329		0	3	1	10	5	17	9	8	8	22	20	26	38	31	37	26	19	25	13	11
kommer att förlora	328		1	2	4	13	18	24	12	10	20	18	20	29	40	19	19	21	18	20	17	3
kommer att möta	326		1	6	2	7	16	17	10	8	13	19	22	37	30	35	28	18	18	16	12	11
kommer att säga	325		0	7	5	8	14	7	19	17	13	29	21	21	42	31	17	22	14	16	16	6
kommer att betyda	324		1	2	5	7	7	11	12	12	18	27	23	30	26	30	31	20	19	17	16	10
kommer att bygga	314		1	4	5	14	8	11	19	13	11	23	17	33	31	34	28	18	17	9	14	4
kommer att satsa	310		2	5	8	8	19	17	18	15	11	11	35	26	32	24	20	20	13	9	14	3
kommer att hitta	307		0	2	1	4	3	6	13	18	13	20	26	25	24	29	24	29	26	18	16	10
kommer att vidta	293		1	3	9	7	7	9	5	10	11	13	21	15	33	38	36	20	20	16	16	3
kommer att presentera	289		0	3	5	9	12	18	7	9	11	15	28	25	43	24	23	14	22	9	6	6
kommer att skriva	287		0	7	4	6	9	10	15	7	9	19	13	28	20	25	31	32	24	13	9	6
kommer att erbjuda	287		0	1	8	3	10	17	10	9	7	13	21	20	22	26	18	9	40	32	13	8
kommer att nå	287		0	0	4	7	11	10	10	7	14	19	17	25	33	24	17	22	20	25	15	7
kommer att innehålla	279		2	2	5	7	16	5	10	17	9	13	21	20	33	28	18	14	28	9	11	11
kommer att prata	276		0	1	3	0	1	7	15	9	10	11	7	18	35	28	39	26	22	15	16	13
kommer att vilja	275		1	1	4	5	6	7	11	5	7	13	14	19	35	25	30	21	22	24	17	8
kommer att stänga	269		0	2	7	5	8	6	9	7	10	10	16	30	35	19	18	24	27	17	13	6
kommer att samarbeta	269		0	1	11	9	7	11	24	6	11	11	24	17	26	31	16	21	9	12	16	6
kommer att leva	268		1	2	2	12	11	13	6	21	8	9	18	25	27	27	19	19	9	25	12	2
kommer att avgöra	267		0	6	10	6	8	10	11	21	8	16	21	13	21	17	20	18	22	19	16	4
kommer att ersätta	265		0	6	6	7	9	10	18	10	7	12	15	37	21	15	20	14	24	16	14	4
kommer att inleda	262		0	2	4	3	6	6	4	8	7	19	25	21	32	25	30	14	13	25	11	7
kommer att låta	252		0	3	4	5	6	10	14	12	12	14	24	16	27	27	21	16	14	15	7	5
kommer att fatta	251		0	3	3	4	9	10	9	11	7	15	17	20	21	20	11	23	33	18	13	4
kommer att falla	249		0	2	3	5	11	10	14	14	12	15	14	22	16	29	20	12	14	10	16	10
kommer att stödja	238		1	4	9	3	6	6	10	9	6	8	16	20	23	26	19	24	5	17	20	6
kommer att besöka	237		0	0	5	5	7	4	6	9	8	18	24	26	31	34	17	13	11	5	11	3
kommer att märka	235		0	2	2	5	7	10	9	6	9	8	14	34	26	23	20	15	11	12	14	8
kommer att känna	232		0	3	3	4	5	9	12	6	12	15	21	12	28	24	17	18	16	10	5	12
kommer att förändra	230		0	4	2	8	4	6	6	14	11	15	15	15	27	29	18	9	15	12	12	8
kommer att yrka	225		1	2	1	2	17	7	10	4	5	30	19	26	14	32	14	8	14	9	5	5
kommer att träffa	225		0	2	3	6	5	6	8	8	13	18	20	24	19	27	18	12	13	5	13	5
kommer att sända	221		1	4	7	7	5	14	7	20	12	13	19	15	11	5	6	16	16	23	11	9
kommer att ändra	220		1	3	5	2	6	6	9	12	8	15	19	19	15	26	18	11	15	10	10	10
kommer att styra	219		0	0	6	2	6	3	15	4	1	5	38	4	14	9	50	4	7	0	48	3
kommer att avgå	214		2	2	5	5	6	8	8	17	7	9	16	15	23	8	17	22	12	19	10	3
kommer att föreslå	213		0	9	9	6	17	7	12	13	6	15	14	20	18	20	14	9	7	5	7	5
kommer att välja	213		0	5	2	4	4	11	4	10	6	14	14	18	20	15	15	17	22	11	12	9
kommer att bjuda	212		0	1	1	3	7	4	10	5	6	9	12	30	30	22	24	18	12	8	7	3
kommer att bo	209		0	2	4	7	11	8	6	7	7	11	15	25	25	19	11	15	12	8	12	4
kommer att svara	206		1	3	2	3	5	3	9	9	10	8	11	18	19	19	23	18	11	13	15	6
kommer att införa	206		0	5	1	8	8	7	7	5	9	7	19	16	23	20	19	18	9	10	11	4
kommer att vända	204		1	3	1	2	10	19	11	7	15	17	13	18	11	17	16	9	15	5	11	3
kommer att medverka	203		1	0	4	5	5	9	8	12	5	21	17	15	19	15	21	15	9	10	8	4
kommer att diskutera	198		1	4	6	6	9	11	10	9	7	15	12	13	19	17	15	13	8	7	13	3
kommer att reagera	198		0	3	1	2	7	5	11	12	14	10	11	15	8	24	21	19	9	11	12	3
kommer att fokusera	197		0	1	1	1	4	6	5	10	5	12	12	18	30	18	17	17	12	17	6	5
kommer att släppa	196		0	0	1	2	6	6	3	5	10	10	6	9	18	9	25	27	10	33	8	8
kommer att höra	195		2	0	0	5	6	6	5	4	5	12	12	23	20	19	24	16	11	12	12	1
kommer att acceptera	191		0	3	10	4	2	5	6	8	12	15	14	15	33	15	10	8	13	9	8	1
kommer att gynna	190		0	2	2	3	6	12	8	8	2	7	18	14	12	23	15	13	20	13	9	3
kommer att föra	189		1	1	7	1	10	9	7	6	9	10	14	19	25	18	11	9	9	5	17	1
kommer att sjunka	187		1	4	4	4	14	7	18	7	6	12	5	19	17	19	10	10	13	5	8	4
kommer att närvara	182		2	0	1	4	8	6	13	10	7	12	12	8	16	19	16	15	9	10	8	6
kommer att överleva	182		1	1	2	2	7	11	9	13	8	12	19	12	17	9	10	15	12	11	8	3
kommer att höja	179		0	4	6	12	13	11	9	5	5	10	12	13	11	11	12	13	3	3	17	9
kommer att dela	177		0	2	5	4	7	1	10	4	11	12	14	12	16	16	10	11	18	17	7	0
kommer att återkomma	172		0	1	0	1	1	3	4	3	4	8	10	17	17	14	14	13	21	14	15	12
kommer att kontakta	171		0	1	1	6	9	7	4	8	6	11	11	12	17	22	9	17	10	10	7	3
kommer att stärka	169		0	2	2	4	9	4	8	7	2	5	10	16	17	12	16	17	11	8	10	9
kommer att missa	168		1	3	3	12	7	6	6	8	7	1	6	6	3	8	7	15	17	27	16	9
kommer att underlätta	168		0	4	2	0	5	6	6	5	2	14	14	19	18	18	10	6	7	11	13	8
kommer att röra	168		0	1	4	0	3	3	18	11	6	11	15	14	14	16	15	11	6	11	7	2
kommer att passa	167		0	2	1	2	3	4	8	7	3	16	12	18	15	16	15	13	14	7	10	1
kommer att hantera	166		2	0	0	2	3	4	8	5	7	9	5	13	17	18	12	16	18	7	14	6
kommer att granska	165		0	2	6	5	5	9	10	14	13	11	7	24	14	14	6	6	7	7	3	2
kommer att resa	164		0	5	6	1	7	10	10	5	6	9	11	8	9	11	15	9	12	13	13	4
kommer att förbli	163		0	8	2	5	3	6	14	13	7	12	12	8	12	16	7	9	10	9	5	5
kommer att uppträda	163		0	1	1	2	5	9	11	4	13	11	9	10	15	11	16	16	8	5	10	6
kommer att bära	158		0	2	3	2	2	0	7	8	3	8	9	18	8	13	18	12	12	17	12	4
kommer att lyfta	157		0	0	1	5	3	1	11	9	7	7	11	15	15	17	14	10	6	10	10	5
kommer att dyka	155		0	1	4	3	5	3	8	7	4	11	10	9	15	16	13	6	16	11	11	2
kommer att behålla	153		0	5	6	5	2	12	6	6	7	10	12	10	14	4	12	9	13	14	4	2
kommer att heta	151		0	4	3	4	3	5	5	8	15	15	17	8	7	11	11	9	12	4	9	1
kommer att genomgå	151		0	2	7	2	8	5	7	2	4	11	7	10	14	11	9	17	10	14	7	4
kommer att köpa	149		0	4	0	9	8	10	8	4	11	8	9	12	17	16	5	8	10	6	4	0
kommer att kämpa	148		0	3	1	3	6	7	6	5	6	5	10	12	15	16	8	11	13	9	9	3
kommer att bevaka	147		0	3	0	1	2	8	2	10	6	11	13	18	9	14	7	12	6	10	10	5
kommer att sälja	145		1	2	3	8	9	8	8	2	8	5	12	21	9	9	11	7	3	6	8	5
kommer att berätta	145		0	0	1	1	7	4	7	7	4	12	6	13	17	11	20	11	8	6	6	4
kommer att medföra	143		0	3	2	7	10	9	9	4	7	11	10	16	13	11	4	3	8	5	10	1
kommer att återvända	142		1	6	5	2	5	6	0	9	8	8	14	10	12	8	4	9	8	9	14	4
kommer att representera	142		0	1	0	2	5	8	3	7	9	10	12	11	10	8	11	7	5	10	17	6
kommer att kalla	140		1	5	3	4	7	10	3	5	3	8	7	11	10	17	5	14	4	10	12	1
kommer att utveckla	140		0	2	3	5	2	4	4	3	1	5	11	8	13	12	14	6	19	18	6	4
kommer att upphöra	139		0	0	3	1	12	7	3	6	4	13	11	7	16	18	6	6	11	2	9	4
kommer att brinna	139		0	0	0	0	1	2	2	1	2	6	1	10	19	19	15	12	16	13	14	6
kommer att upprätta	138		0	1	0	1	0	2	2	1	2	4	4	12	13	20	14	23	21	5	8	5
kommer att träna	135		1	1	5	4	6	14	4	6	4	7	7	12	10	7	2	14	10	9	9	3
kommer att ansluta	133		0	1	1	2	4	2	2	5	8	5	11	12	12	12	12	9	8	16	8	3
kommer att tappa	131		1	6	3	4	4	4	4	9	12	9	5	7	12	11	8	9	10	5	7	1
kommer att leverera	131		0	1	1	4	2	4	5	5	7	5	13	7	13	13	9	10	7	8	6	11
kommer att tillföra	130		0	6	3	3	2	6	6	7	7	12	11	11	14	8	6	11	6	4	6	1
kommer att resultera	130		0	1	2	5	5	5	8	5	3	7	15	12	7	14	7	9	7	9	6	3
kommer att pröva	129		0	2	4	4	3	8	10	6	3	12	7	14	18	8	7	7	6	4	5	1
kommer att skjuta	128		0	0	5	4	6	12	8	5	7	6	5	15	14	9	6	4	10	2	5	5
kommer att blåsa	127		0	0	0	1	3	0	9	5	3	6	3	17	12	23	17	16	5	0	5	2
kommer att ansöka	125		0	2	2	4	9	5	7	6	4	10	5	8	9	9	12	5	6	5	13	4
kommer att byta	124		1	3	3	3	2	5	3	7	6	4	13	5	13	13	9	12	9	8	3	2
kommer att hinna	124		0	0	4	0	5	5	4	5	5	8	12	8	16	7	10	9	5	8	9	4
kommer att tillåta	123		0	6	5	0	7	6	4	2	2	3	10	5	9	7	11	7	14	9	10	6
kommer att tjäna	123		0	1	2	1	8	3	7	11	8	7	8	20	5	12	9	5	8	2	5	1
kommer att sprida	123		0	1	1	3	3	5	9	7	5	10	5	9	8	15	10	12	4	8	6	2
kommer att flyga	122		0	2	2	7	0	8	3	5	4	4	7	11	12	7	9	7	17	5	9	3
kommer att tycka	122		0	1	1	3	8	2	5	4	5	4	8	8	14	14	6	11	8	7	9	4
kommer att orsaka	121		0	1	2	0	7	6	8	7	2	14	6	8	11	5	17	10	8	5	3	1
kommer att glömma	121		0	1	1	2	0	1	3	0	5	12	10	9	15	8	12	10	11	10	6	5
kommer att uppstå	120		0	2	1	1	2	7	4	2	6	11	10	12	9	5	6	8	14	10	6	4
kommer att sänka	120		0	1	4	1	14	9	4	5	13	8	9	6	12	11	1	2	6	8	3	3
kommer att fortgå	118		1	0	1	2	5	2	4	4	4	5	9	13	16	10	7	11	9	6	6	3
kommer att väcka	117		0	0	3	5	4	8	7	4	7	6	3	12	12	8	6	7	7	11	4	3
kommer att träda	115		0	1	3	1	9	3	6	6	3	10	9	10	10	5	8	4	10	6	8	3
kommer att informera	115		0	1	1	1	1	3	4	6	6	2	9	8	13	14	8	11	18	4	3	2
kommer att prioritera	115		0	0	1	2	3	4	6	7	3	6	5	14	10	7	9	11	8	4	10	5
kommer att stötta	111		0	0	1	1	2	0	1	0	2	3	4	10	9	11	19	11	7	6	17	7
kommer att förbättra	109		1	0	1	2	3	8	5	4	5	6	8	15	10	15	6	6	5	3	4	2
kommer att locka	109		0	1	1	3	5	6	4	3	5	7	7	13	12	9	4	10	8	3	5	3
kommer att tala	109		0	0	1	2	6	3	4	5	2	10	10	8	18	11	6	6	6	6	2	3
kommer att besluta	107		0	0	3	4	6	3	5	7	6	6	8	12	8	7	5	6	9	5	3	4
kommer att kvarstå	107		0	0	2	2	1	4	5	5	0	4	9	7	6	5	10	19	14	6	6	2
kommer att passera	106		0	5	5	1	3	7	2	5	7	8	4	12	12	13	6	5	4	3	3	1
kommer att utöka	104		0	0	1	1	5	2	1	7	3	5	6	11	8	8	8	12	11	4	8	3
kommer att försvara	103		0	2	1	2	2	2	6	5	2	2	9	9	9	7	8	8	4	11	12	2
kommer att utföra	103		0	0	3	2	2	1	3	1	2	4	5	16	18	14	11	4	8	3	4	2
kommer att be	102		0	1	3	3	3	6	6	6	11	3	3	6	9	7	10	14	4	2	5	0
kommer att beröra	101		0	3	2	0	9	8	8	11	6	1	1	9	8	11	7	5	4	4	0	4
kommer att polisanmäla	100		0	1	8	3	1	2	4	2	4	4	12	1	9	12	9	7	8	2	9	2
kommer att avta	100		0	0	0	4	2	3	5	1	3	5	9	12	10	16	9	7	7	2	3	2
kommer att rulla	99		2	1	1	0	4	5	4	5	2	6	9	6	10	8	13	8	5	7	2	1
kommer att anställa	98		0	4	2	4	4	2	6	8	3	2	11	8	7	15	5	6	1	4	3	3
kommer att inträffa	98		0	3	3	3	4	2	5	7	6	5	6	13	11	7	4	5	2	4	6	2
kommer att stoppa	98		0	1	3	1	5	3	7	5	2	7	5	8	7	11	4	4	8	8	4	5
kommer att förstärka	98		0	0	1	2	4	1	4	3	4	7	7	9	8	12	11	9	5	4	5	2
kommer att avsluta	97		0	1	1	1	3	3	4	3	6	3	7	4	9	11	10	12	4	6	7	2
kommer att omfatta	96		0	0	2	5	8	6	9	7	3	6	9	19	1	5	4	2	4	2	4	0
kommer att skada	95		1	2	0	2	3	5	7	2	5	6	6	5	15	2	6	6	7	7	8	0
kommer att meddela	94		0	4	0	0	1	1	3	8	4	7	7	4	11	9	9	7	5	8	3	3
kommer att ordna	93		0	1	0	4	1	2	2	2	6	6	3	10	15	5	10	8	6	3	6	3
kommer att lyssna	92		0	0	0	3	4	6	7	2	6	7	6	3	11	5	3	10	5	7	5	2
kommer att utgå	91		0	1	1	3	2	3	5	4	4	6	4	4	13	11	10	7	5	4	2	2
kommer att trafikera	91		0	0	2	3	7	5	2	1	4	6	4	10	9	6	10	12	2	2	3	3
kommer att tänka	91		0	0	1	2	0	3	9	1	4	3	9	9	7	15	5	4	8	5	5	1
kommer att spara	90		0	0	7	4	7	4	2	2	1	3	11	6	12	9	0	7	7	2	4	2
kommer att kontrollera	89		0	0	1	3	4	3	0	1	6	6	6	10	12	11	7	7	2	7	0	3
kommer att anmäla	88		0	1	6	1	2	0	2	2	6	5	4	6	12	7	9	10	5	2	3	5
kommer att samla	85		0	2	1	0	3	3	4	1	2	3	9	11	10	9	4	6	8	4	2	3
kommer att fylla	85		0	1	1	1	1	3	3	2	3	2	7	11	12	9	6	5	8	1	6	3
kommer att kommentera	84		0	0	2	3	1	1	2	4	2	2	4	3	4	9	6	6	13	6	10	6
kommer att befinna	84		0	0	0	1	3	4	4	1	2	5	5	6	10	6	10	6	7	4	9	1
kommer att dominera	83		0	3	0	1	4	2	1	3	5	8	4	6	6	6	11	10	4	4	4	1
kommer att utgöra	82		0	3	0	1	4	8	5	2	4	9	5	5	6	5	8	6	4	3	3	1
kommer att generera	82		0	1	1	2	3	2	5	0	9	2	7	10	9	7	5	4	7	5	2	1
kommer att råda	82		0	0	3	1	3	0	1	3	1	3	6	10	10	9	3	11	11	3	3	1
kommer att producera	82		0	0	2	6	6	5	5	2	2	5	5	9	6	5	7	5	1	3	5	3
kommer att ansvara	82		0	0	1	1	3	4	3	5	2	6	6	6	9	11	9	4	2	2	6	2
kommer att sköta	82		0	0	0	2	4	5	7	5	4	8	8	7	2	6	5	3	7	5	0	4
kommer att behandla	81		0	4	1	3	1	2	2	6	2	4	8	10	7	11	3	1	7	4	4	1
kommer att täcka	81		0	1	0	1	4	6	4	4	0	1	5	8	7	7	10	6	7	4	5	1
kommer att återgå	80		0	3	1	1	1	1	4	1	1	4	3	5	6	2	2	4	14	10	13	4
kommer att bilda	79		0	1	0	0	10	6	5	2	2	4	8	9	7	6	5	3	1	6	3	1
kommer att lära	79		0	0	0	1	2	1	6	3	1	5	3	8	5	11	7	7	6	3	5	5
kommer att utvärdera	78		1	0	0	1	1	3	2	1	1	5	4	4	6	7	10	6	8	9	5	4
kommer att spärra	78		0	1	0	0	0	0	2	1	1	4	2	3	17	12	9	4	10	2	5	5
kommer att fira	78		0	1	0	1	1	3	5	3	0	2	6	8	7	7	6	5	7	6	7	3
kommer att kandidera	77		1	0	2	0	2	6	4	5	1	3	8	2	6	11	6	2	6	7	5	0
kommer att påbörja	77		0	1	1	0	4	3	3	1	1	2	0	6	12	6	8	9	6	5	5	4
kommer att bistå	77		0	1	0	0	1	2	2	4	1	3	5	8	17	7	4	4	4	6	3	5
kommer att utnyttja	77		0	0	3	2	2	3	4	2	3	7	6	9	8	4	6	4	3	6	5	0
kommer att erkänna	76		0	2	4	0	11	1	2	2	2	5	14	2	9	12	2	0	3	4	1	0
kommer att verka	76		0	1	2	3	3	5	6	1	1	3	10	5	7	7	6	7	1	4	3	1
kommer att förhöra	76		0	1	2	0	4	1	0	0	2	2	10	10	7	10	13	2	4	6	2	0
kommer att rikta	74		0	1	0	1	1	2	1	4	0	5	7	9	3	8	9	5	7	6	4	1
kommer att rädda	74		0	0	2	3	3	5	3	0	2	4	3	8	7	6	5	1	10	4	6	2
kommer att godkänna	73		0	4	3	1	2	4	1	6	2	6	4	4	5	4	4	4	5	3	4	7
kommer att testa	72		0	0	1	1	5	4	1	3	0	4	2	1	3	5	5	6	17	8	5	1
kommer att rapportera	72		0	0	1	2	2	4	3	3	3	5	10	5	11	5	3	4	4	2	5	0
kommer att döda	72		0	0	1	0	2	2	2	1	2	3	2	8	11	13	7	7	2	4	1	4
kommer att ägna	71		1	2	0	5	1	7	1	6	3	1	8	10	2	4	8	4	3	2	2	1
kommer att rymma	71		0	1	0	1	2	2	0	4	1	1	4	8	12	11	6	8	5	4	1	0
kommer att tillträda	71		0	0	0	3	3	3	6	6	4	3	6	4	5	7	4	7	2	2	4	2
kommer att arrangera	70		1	2	1	1	2	2	4	3	2	5	6	1	9	5	1	6	10	3	5	1
kommer att bestämma	70		0	2	4	2	1	3	3	1	1	7	3	5	3	10	6	10	2	5	2	0
