word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
börjar återgå	34		0	0	1	0	1	0	2	1	0	1	0	0	1	1	2	0	10	11	1	2
börjar skjuta	34		0	0	0	1	0	1	0	4	1	3	3	1	4	4	3	2	3	0	4	0
börjar ha	34		0	0	0	0	1	0	0	1	2	1	2	1	3	7	0	3	4	5	4	0
börjar läcka	33		0	1	1	0	0	1	3	3	0	0	2	4	3	3	3	1	0	7	1	0
börjar gräva	33		0	1	0	0	1	0	0	0	0	1	1	7	3	3	4	4	2	3	1	2
börjar säga	32		0	1	0	1	0	0	0	0	1	1	5	3	4	4	0	0	3	4	4	1
börjar producera	32		0	0	0	0	1	3	0	0	4	3	3	1	1	3	4	2	2	2	2	1
börjar återhämta	32		0	0	0	0	0	3	3	2	3	5	0	0	1	1	2	0	4	4	3	1
börjar förhandla	31		1	1	0	5	1	2	1	0	3	0	1	4	3	3	1	1	3	0	1	0
börjar flytta	31		0	0	0	1	1	0	2	1	3	2	5	2	1	4	3	1	1	2	2	0
börjar åka	31		0	0	0	0	4	0	0	1	2	3	2	0	5	5	2	2	0	3	1	1
börjar blöda	31		0	0	0	0	0	1	1	5	1	0	2	4	2	0	4	5	1	1	3	1
börjar klarna	30		0	1	0	0	1	1	2	5	0	4	1	3	2	2	1	2	0	3	0	2
börjar öppna	30		0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	2	16	8	0	0
börjar läsa	29		0	2	1	0	1	1	1	2	1	1	5	3	0	5	4	0	1	0	0	1
börjar lämna	29		0	2	4	1	1	3	1	0	0	1	1	2	1	1	4	3	2	0	1	1
börjar tryta	29		0	0	0	1	0	1	3	2	2	1	4	1	2	1	1	2	4	2	2	0
börjar jaga	28		0	0	1	0	0	2	0	1	0	3	1	7	1	4	1	4	1	0	2	0
börjar höja	28		0	0	1	0	0	8	6	0	0	1	0	2	1	4	3	0	0	0	2	0
börjar skaka	28		0	0	0	1	0	1	3	0	2	1	5	0	2	1	3	0	4	2	1	2
börjar räkna	27		0	1	0	1	0	0	0	1	0	1	6	2	3	3	1	1	0	2	3	2
börjar återvända	26		1	2	1	0	0	2	1	1	1	2	0	4	0	1	1	1	0	6	2	0
börjar tro	26		0	0	0	1	5	0	0	1	2	0	5	2	2	1	2	0	1	0	4	0
börjar tävla	26		0	0	0	0	1	1	1	1	3	3	1	1	2	1	3	3	3	2	0	0
börjar skrika	26		0	0	0	0	0	0	1	0	3	2	4	4	4	3	1	2	1	1	0	0
börjar strömma	25		0	1	0	0	1	0	2	1	0	3	5	3	2	2	2	0	1	0	1	1
börjar dricka	25		0	1	2	0	2	0	0	2	0	2	7	4	2	0	3	0	0	0	0	0
börjar vänja	25		0	0	1	0	1	1	1	1	0	0	1	1	3	5	2	2	1	4	1	0
börjar ifrågasätta	25		0	0	0	0	2	1	1	1	1	1	0	3	2	3	4	2	1	1	1	1
börjar agera	24		1	0	1	0	1	0	0	1	0	0	1	5	3	4	0	3	2	1	1	0
börjar handla	24		0	0	0	0	1	1	0	2	1	1	2	2	3	4	0	1	1	2	2	1
börjar vakna	24		0	0	0	0	0	0	0	1	0	2	3	3	3	2	0	2	3	1	1	3
börjar krypa	23		0	0	1	0	0	2	0	0	1	0	4	2	3	1	1	2	2	2	1	1
börjar tillverka	23		0	0	0	2	0	3	0	0	0	1	4	1	0	1	1	2	6	1	1	0
börjar plugga	22		0	0	0	1	1	1	0	3	3	0	2	1	1	2	2	0	2	1	1	1
börjar följa	22		0	0	0	0	0	0	2	2	2	0	1	0	5	2	2	1	2	1	2	0
börjar skriva	22		0	0	0	0	0	0	0	2	1	1	0	5	1	5	1	2	1	1	1	1
börjar leva	22		0	0	0	0	0	0	0	1	0	3	3	0	1	3	1	3	2	5	0	0
börjar skratta	21		0	1	0	0	1	0	0	1	0	0	1	1	3	5	2	1	2	2	1	0
börjar leverera	21		0	0	1	0	1	0	2	1	1	0	3	1	2	1	3	1	0	1	1	2
börjar kosta	21		0	0	0	0	3	0	0	1	0	1	3	1	3	2	0	0	2	4	1	0
börjar snurra	21		0	0	0	0	1	0	3	2	2	3	0	4	2	1	0	1	1	0	0	1
börjar påverka	21		0	0	0	0	1	0	0	1	4	2	1	2	0	2	0	0	3	2	3	0
börjar lyssna	21		0	0	0	0	0	3	0	0	0	2	6	2	4	0	0	1	0	2	0	1
börjar berätta	20		0	0	1	0	1	0	1	0	2	1	1	0	1	4	3	0	1	2	1	1
börjar ringa	20		0	0	0	1	0	0	0	0	1	0	5	0	2	5	1	3	0	0	2	0
börjar trilla	20		0	0	0	0	1	2	0	0	1	1	0	2	3	2	1	3	2	0	1	1
börjar peka	20		0	0	0	0	0	1	1	0	2	3	1	1	2	1	1	1	2	1	1	2
börjar plocka	20		0	0	0	0	0	0	0	0	0	5	3	2	2	5	1	0	0	0	2	0
börjar utveckla	19		0	1	0	0	2	0	0	0	2	0	4	1	1	1	1	2	2	1	0	1
börjar utreda	19		0	1	0	0	1	0	0	1	2	0	1	2	2	1	0	6	1	0	0	1
börjar tvivla	19		0	1	0	0	0	0	0	1	0	0	3	3	3	2	0	1	2	0	3	0
börjar ana	19		0	1	0	0	0	1	1	0	2	3	2	0	1	1	2	1	1	1	0	2
börjar –	19		0	0	0	1	0	0	0	0	0	1	0	5	2	2	2	1	2	0	2	1
börjar anlända	19		0	0	0	0	2	2	2	1	0	2	1	3	1	3	2	0	0	0	0	0
börjar ljusna	19		0	0	0	0	0	2	4	0	1	0	0	2	0	3	0	2	1	1	2	1
börjar sjunga	19		0	0	0	0	0	0	1	0	0	2	1	0	1	5	1	2	3	2	1	0
börjar märka	19		0	0	0	0	0	0	1	0	0	1	3	0	3	2	1	2	2	2	0	2
börjar dansa	19		0	0	0	0	0	0	1	0	2	2	1	0	4	1	3	1	0	0	3	1
börjar slappna	19		0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	10	4	1	0
börjar skymma	19		0	0	0	0	0	0	0	2	0	2	5	1	3	1	1	2	2	0	0	0
börjar förbereda	19		0	0	0	0	0	0	0	1	0	1	3	0	5	0	4	2	1	0	2	0
börjar verka	18		1	1	1	1	0	0	0	1	0	1	0	2	1	1	1	1	2	0	4	0
börjar lysa	18		0	0	1	0	0	1	0	1	4	4	0	1	3	0	2	0	1	0	0	0
börjar resa	18		0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	1	6	1	3	1
börjar lukta	18		0	0	0	0	0	1	0	1	1	0	2	0	3	1	5	2	0	1	1	0
börjar lätta	18		0	0	0	0	0	0	0	1	1	0	0	0	2	3	0	0	5	5	0	1
börjar vandra	17		0	1	0	0	1	1	0	0	1	1	1	1	1	2	1	0	1	1	2	2
börjar trafikera	17		0	0	0	1	0	0	1	1	1	4	2	1	1	2	0	2	0	0	0	1
börjar lära	17		0	0	0	1	0	0	1	0	0	0	2	6	1	3	0	2	0	0	1	0
börjar frysa	17		0	0	0	1	0	0	1	0	1	0	0	6	3	1	0	1	1	1	1	0
börjar bära	17		0	0	0	0	2	0	0	0	0	0	2	1	2	2	1	1	4	1	0	1
börjar cykla	17		0	0	0	0	0	0	1	2	1	2	3	3	0	2	0	1	2	0	0	0
börjar tycka	17		0	0	0	0	0	0	0	0	1	2	2	1	0	0	2	3	1	2	3	0
börjar köpa	16		1	0	1	2	0	1	0	0	0	0	3	0	3	0	0	1	2	0	2	0
börjar förlora	16		0	2	0	1	1	1	2	1	0	2	2	1	0	0	0	0	0	2	1	0
börjar ändra	16		0	0	2	0	1	0	0	1	0	0	2	4	0	1	0	1	1	1	1	1
börjar bråka	16		0	0	0	0	0	1	1	0	0	0	1	1	7	0	1	2	0	1	1	0
börjar undra	16		0	0	0	0	0	0	0	2	0	1	0	3	3	0	0	2	2	1	2	0
börjar kunna	15		0	1	0	0	1	1	0	0	0	0	0	1	1	5	1	0	1	1	2	0
börjar bryta	15		0	0	1	0	0	0	1	1	1	2	3	0	0	3	1	0	0	1	0	1
börjar bita	15		0	0	1	2	2	1	0	0	4	0	1	3	0	0	1	0	0	0	0	0
börjar elda	15		0	0	0	0	0	1	2	0	0	0	2	0	1	3	0	0	0	0	5	1
börjar skicka	15		0	0	0	0	0	0	0	1	0	1	1	1	1	2	3	3	0	2	0	0
börjar löpa	15		0	0	0	0	0	0	0	1	0	1	1	1	3	0	1	7	0	0	0	0
börjar granska	15		0	0	0	0	0	0	0	1	1	3	0	2	4	0	1	1	2	0	0	0
börjar erbjuda	14		0	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	3	3	1
börjar glida	14		0	0	1	0	0	0	3	0	0	0	1	2	1	0	4	0	0	2	0	0
börjar hetta	14		0	0	0	1	0	0	1	0	1	1	0	0	2	1	3	1	0	2	1	0
börjar sitta	14		0	0	0	0	2	1	0	0	0	0	2	1	0	0	3	1	1	0	3	0
börjar spricka	14		0	0	0	0	1	0	0	1	0	0	2	1	4	1	0	1	2	1	0	0
börjar samla	14		0	0	0	0	1	0	0	0	1	0	2	2	0	1	0	4	0	1	1	1
börjar simma	14		0	0	0	0	0	0	4	1	1	2	0	1	1	1	0	1	1	1	0	0
börjar avveckla	14		0	0	0	0	0	0	0	0	0	1	2	1	2	1	3	0	2	1	1	0
börjar stänga	14		0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	1	3	0	1	1
börjar fråga	13		0	1	1	0	0	0	1	0	1	1	3	1	1	2	0	0	0	0	1	0
börjar lossna	13		0	0	0	1	2	0	1	0	0	0	0	1	2	0	1	2	0	0	2	1
börjar kasta	13		0	0	0	1	0	0	0	0	0	1	2	1	3	0	0	3	0	0	2	0
börjar tjäna	13		0	0	0	0	3	0	1	0	2	0	1	0	0	2	0	1	2	0	1	0
börjar svikta	13		0	0	0	0	2	0	1	1	2	1	0	0	1	3	1	0	0	1	0	0
börjar satsa	13		0	0	0	0	1	0	2	1	0	1	0	1	1	2	0	2	1	0	1	0
börjar oroa	13		0	0	0	0	1	0	0	1	0	0	3	2	1	1	0	0	3	1	0	0
börjar hämta	13		0	0	0	0	1	2	1	0	1	2	1	1	2	0	0	0	1	0	1	0
börjar spara	13		0	0	0	0	0	1	0	0	0	0	1	2	1	2	1	4	0	0	1	0
börjar lugna	13		0	0	0	0	0	0	2	1	1	0	0	0	3	1	0	1	4	0	0	0
börjar smitta	12		2	1	1	1	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	1
börjar föra	12		0	1	0	0	0	1	0	0	0	1	1	3	1	0	3	0	1	0	0	0
börjar dela	12		0	0	1	0	0	0	1	0	1	1	3	0	0	2	2	0	0	0	1	0
börjar kontrollera	12		0	0	0	1	1	0	0	0	0	1	4	0	1	1	1	0	1	1	0	0
börjar rycka	12		0	0	0	0	1	0	1	1	0	3	2	0	1	1	1	1	0	0	0	0
börjar idrotta	12		0	0	0	0	0	0	1	1	0	1	0	0	0	2	2	5	0	0	0	0
börjar hosta	12		0	0	0	0	0	0	0	0	1	2	0	1	2	1	1	1	3	0	0	0
börjar testa	12		0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	1	3	1
börjar hoppa	11		0	0	2	0	0	1	0	0	0	2	0	1	2	2	0	1	0	0	0	0
börjar torka	11		0	0	0	1	0	0	0	0	0	1	0	0	0	1	3	2	0	3	0	0
börjar ropa	11		0	0	0	0	3	0	0	0	0	0	1	0	1	2	0	1	0	1	1	1
börjar riva	11		0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	2	1	1	1	0
börjar backa	11		0	0	0	0	1	1	1	0	0	0	0	1	2	0	0	1	3	1	0	0
börjar rapportera	11		0	0	0	0	0	2	0	1	0	4	0	0	2	1	0	0	0	1	0	0
börjar leka	11		0	0	0	0	0	1	0	0	0	2	1	3	1	2	0	0	1	0	0	0
börjar sticka	11		0	0	0	0	0	0	1	0	2	0	0	1	3	1	0	0	1	0	2	0
börjar rota	11		0	0	0	0	0	0	1	0	1	0	1	2	5	1	0	0	0	0	0	0
