word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
försöker välja	27		2	0	0	0	1	1	0	0	3	2	3	0	2	3	3	3	1	2	1	0
försöker kontakta	27		0	0	0	0	0	1	1	1	0	2	0	1	3	6	4	3	2	2	0	1
försöker rätta	26		0	1	0	0	1	0	5	0	3	1	2	1	4	2	2	1	1	0	2	0
försöker behålla	26		0	0	1	1	0	2	0	1	1	3	0	0	3	1	4	0	2	1	4	2
försöker boka	26		0	0	0	0	0	0	1	0	0	0	0	1	3	6	1	1	1	9	2	1
försöker koppla	25		0	1	0	0	0	0	0	1	0	2	0	3	2	1	2	5	4	3	1	0
försöker smita	25		0	0	2	0	2	2	2	0	0	1	0	1	5	3	3	2	0	1	1	0
försöker förmedla	25		0	0	0	2	1	0	0	1	0	3	3	1	5	0	4	0	3	0	2	0
försöker dämpa	25		0	0	0	0	1	1	0	1	1	1	1	4	3	2	3	1	4	0	1	1
försöker fylla	24		0	1	0	0	1	0	0	1	1	4	0	0	1	3	1	1	3	3	2	2
försöker njuta	24		0	0	0	2	0	0	0	0	0	1	0	2	1	0	0	7	2	3	4	2
försöker hänga	24		0	0	0	0	1	0	1	1	1	0	1	3	1	1	3	3	1	2	2	3
försöker leda	24		0	0	0	0	0	0	0	2	2	3	0	1	6	4	1	0	2	1	1	1
försöker peppa	24		0	0	0	0	0	0	1	0	3	2	2	3	1	3	2	0	0	3	3	1
försöker förstöra	23		0	1	0	2	0	1	1	0	0	0	1	1	5	1	3	3	1	1	1	1
försöker stävja	23		0	0	3	0	1	0	1	1	1	1	1	0	2	3	0	1	4	0	2	2
försöker tränga	23		0	0	0	0	0	2	0	4	1	2	1	0	1	1	1	4	1	3	2	0
försöker skjuta	23		0	0	0	0	0	1	2	1	0	0	2	1	3	3	0	4	1	2	2	1
försöker berätta	23		0	0	0	0	0	0	1	0	0	1	1	2	3	6	5	1	0	0	2	1
försöker sänka	22		0	2	0	0	0	2	0	1	2	4	1	2	3	0	0	3	0	0	0	2
försöker stärka	22		0	1	0	0	1	0	1	3	0	2	0	2	3	3	0	0	2	2	1	1
försöker sluta	22		0	1	0	3	0	0	1	3	2	1	1	1	0	0	2	0	2	1	4	0
försöker fuska	22		0	1	0	0	0	2	0	0	0	1	3	0	0	5	1	1	3	2	2	1
försöker undanröja	22		0	0	0	1	2	2	0	1	1	2	1	1	0	4	1	2	2	0	1	1
försöker hinna	22		0	0	0	1	0	1	7	0	0	2	0	3	2	1	1	1	1	0	2	0
försöker prioritera	22		0	0	0	0	2	0	3	0	1	0	1	1	0	2	3	5	0	2	1	1
försöker äta	22		0	0	0	0	0	1	3	1	0	1	1	1	1	4	2	1	1	3	1	1
försöker medla	21		0	1	4	0	2	3	2	0	2	0	1	1	1	1	0	0	0	2	1	0
försöker resa	21		0	0	1	0	0	1	0	0	0	1	2	3	6	2	0	0	4	1	0	0
försöker försvara	21		0	0	0	1	0	1	0	0	0	3	4	4	1	2	2	0	2	0	1	0
försöker återta	21		0	0	0	0	0	0	1	0	4	1	4	2	3	2	1	1	0	0	0	2
försöker sabotera	20		0	2	0	0	1	1	1	0	0	0	5	1	0	1	1	1	0	1	1	4
försöker söka	20		0	0	1	1	3	0	1	0	0	0	2	1	2	1	2	2	0	4	0	0
försöker kyla	20		0	0	0	1	1	0	1	0	1	0	0	2	1	2	6	1	1	1	1	1
försöker uppmuntra	20		0	0	0	0	1	0	2	0	1	3	1	1	1	3	0	2	2	2	1	0
försöker plocka	20		0	0	0	0	0	0	2	3	1	2	0	0	2	4	2	1	0	0	2	1
försöker träna	20		0	0	0	0	0	0	0	1	1	0	5	0	1	2	0	3	4	1	1	1
försöker springa	20		0	0	0	0	0	0	0	1	0	0	1	4	2	3	2	1	2	4	0	0
försöker undersöka	19		0	1	0	0	1	0	0	1	0	0	0	2	4	1	1	5	1	0	0	2
försöker närma	19		0	1	1	1	2	0	3	0	0	1	2	1	1	1	0	1	2	1	0	1
försöker finna	19		0	0	3	1	1	2	4	0	0	0	0	0	4	2	1	0	1	0	0	0
försöker täcka	19		0	0	1	0	0	0	1	0	1	0	1	2	0	3	1	3	1	2	2	1
försöker tillgodose	19		0	0	0	1	0	0	2	0	0	2	2	2	2	1	0	4	2	1	0	0
försöker besvara	19		0	0	0	0	1	0	2	0	0	0	0	2	1	2	3	0	2	2	3	1
försöker bevisa	19		0	0	0	0	0	2	2	0	1	0	0	2	4	0	1	3	0	2	1	1
försöker uppnå	19		0	0	0	0	0	1	1	2	0	3	3	1	2	0	2	1	1	1	0	1
försöker uppmana	19		0	0	0	0	0	1	0	1	2	0	0	4	4	2	0	3	0	1	1	0
försöker gripa	19		0	0	0	0	0	0	1	0	2	2	0	2	1	5	1	3	2	0	0	0
försöker efterlikna	19		0	0	0	0	0	0	1	0	1	1	0	6	0	2	0	4	0	3	0	1
försöker återskapa	18		0	1	0	1	0	2	0	0	1	1	1	2	0	2	0	1	1	0	2	3
försöker passera	18		0	1	0	0	0	2	0	0	0	0	1	2	6	2	1	0	2	0	0	1
försöker bromsa	18		0	0	1	0	0	0	0	2	1	0	0	3	4	1	4	2	0	0	0	0
försöker knyta	18		0	0	0	0	2	1	0	2	1	1	1	1	1	2	0	0	3	2	0	1
försöker ligga	18		0	0	0	0	1	0	0	0	1	1	2	1	3	2	0	2	2	2	0	1
försöker döda	18		0	0	0	0	0	2	0	4	2	1	1	1	0	1	1	1	1	2	1	0
försöker tala	18		0	0	0	0	0	1	0	3	0	3	0	1	5	3	0	0	1	1	0	0
försöker dela	18		0	0	0	0	0	0	0	1	0	1	2	3	2	2	1	2	2	1	1	0
försöker byta	18		0	0	0	0	0	0	0	1	1	1	1	2	3	0	3	1	1	1	2	1
försöker förhandla	17		1	3	0	0	0	0	0	0	1	1	1	2	1	0	2	0	3	0	2	0
försöker slita	17		0	1	0	0	0	2	1	0	2	0	1	1	3	1	3	2	0	0	0	0
försöker kämpa	17		0	1	0	0	1	0	0	1	1	0	0	0	0	5	3	2	2	0	1	0
försöker fixa	17		0	0	1	0	0	0	1	0	0	1	0	2	3	0	3	3	1	0	1	1
försöker bevara	17		0	0	1	0	0	0	2	0	0	2	0	3	3	1	1	2	0	0	0	2
försöker låta	17		0	0	0	0	2	0	0	0	0	1	4	0	1	3	0	1	1	2	1	1
försöker lyssna	17		0	0	0	0	2	1	0	0	0	0	0	1	0	3	1	2	1	3	1	2
försöker mota	17		0	0	0	0	1	1	1	0	0	1	2	2	3	1	1	3	1	0	0	0
försöker glömma	17		0	0	0	0	1	2	0	3	0	0	0	1	2	2	0	2	2	0	1	1
försöker säkerställa	17		0	0	0	0	0	2	0	0	1	0	1	0	0	0	4	1	5	1	2	0
försöker trösta	17		0	0	0	0	0	1	2	1	1	1	1	0	2	6	0	0	0	0	1	1
försöker logga	17		0	0	0	0	0	1	0	1	0	0	3	1	0	6	0	1	0	3	0	1
försöker återställa	17		0	0	0	0	0	0	1	2	0	0	1	3	2	2	2	1	0	1	0	2
försöker motivera	17		0	0	0	0	0	0	0	2	1	1	1	2	1	2	2	0	0	3	2	0
försöker kompensera	17		0	0	0	0	0	0	1	1	2	0	1	1	1	1	3	2	2	1	1	0
försöker erbjuda	17		0	0	0	0	0	0	0	0	1	1	1	1	6	1	1	1	1	2	0	1
försöker analysera	17		0	0	0	0	0	0	0	0	0	1	1	0	4	2	2	2	3	0	1	1
försöker leta	17		0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	3	1	2	1	1
försöker gräva	16		0	1	0	0	1	0	2	0	0	1	1	0	4	0	2	1	2	0	0	1
försöker skicka	16		0	0	1	0	1	1	0	2	0	0	2	1	3	0	1	2	1	0	0	1
försöker isolera	16		0	0	0	1	0	0	0	0	1	0	0	1	1	2	2	1	3	3	1	0
försöker väcka	16		0	0	0	0	1	1	0	0	0	2	3	0	2	2	0	0	1	3	1	0
försöker upprätthålla	16		0	0	0	0	0	0	0	3	1	2	1	1	0	1	0	2	2	0	3	0
försöker undkomma	16		0	0	0	0	0	0	2	1	0	0	1	1	4	2	1	0	0	0	0	4
försöker planera	16		0	0	0	0	0	0	0	1	0	0	1	3	2	1	1	2	3	1	0	1
försöker handla	16		0	0	0	0	0	0	0	0	0	1	4	1	2	2	2	1	1	0	0	2
försöker splittra	15		0	2	0	0	1	0	0	1	0	0	0	0	0	3	3	0	1	0	4	0
försöker underlätta	15		1	0	0	0	0	0	0	0	1	1	1	2	0	4	1	2	2	0	0	0
försöker framställa	15		0	0	1	0	0	0	0	1	2	1	1	1	3	1	1	0	0	1	0	2
försöker höja	15		0	0	0	1	0	1	0	0	1	1	2	2	3	1	1	0	1	1	0	0
försöker stå	15		0	0	0	0	1	0	1	0	3	1	0	1	0	1	1	0	2	2	2	0
försöker agera	15		0	0	0	0	1	0	0	0	1	0	2	0	4	1	2	0	2	2	0	0
försöker åstadkomma	14		0	2	0	1	0	0	0	1	0	2	2	0	1	1	1	0	1	1	0	1
försöker samarbeta	14		1	0	1	0	0	0	0	0	0	2	0	2	3	0	2	2	0	0	1	0
försöker korsa	14		0	0	0	1	0	0	0	1	0	1	0	3	1	2	2	1	0	2	0	0
försöker hävda	14		0	0	0	0	1	0	0	0	1	0	2	2	1	5	2	0	0	0	0	0
försöker ”	14		0	0	0	0	1	0	1	0	1	1	3	1	1	1	1	0	0	1	1	1
försöker städa	14		0	0	0	0	0	1	2	0	0	1	1	1	1	4	2	0	0	1	0	0
försöker balansera	14		0	0	0	0	0	1	0	0	0	0	2	1	2	1	0	2	0	3	1	1
försöker träffa	14		0	0	0	0	0	0	1	3	0	1	1	2	1	2	1	1	1	0	0	0
försöker utbilda	14		0	0	0	0	0	0	2	1	1	0	1	0	0	3	2	1	1	2	0	0
försöker blockera	14		0	0	0	0	0	0	0	0	0	3	4	0	2	2	1	0	0	0	2	0
försöker begå	13		0	2	0	0	0	3	0	2	0	1	0	1	1	1	0	0	1	0	0	1
försöker fastställa	13		0	1	0	0	0	2	0	0	0	2	1	1	0	1	3	1	0	1	0	0
försöker laga	13		0	0	2	0	0	0	0	2	0	1	1	2	1	2	1	0	1	0	0	0
försöker pumpa	13		0	0	1	0	0	1	0	3	0	0	2	0	3	1	0	1	0	0	0	1
försöker provocera	13		0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	4	3	0	0
försöker organisera	13		0	0	0	0	1	0	0	1	1	0	1	0	2	1	3	0	1	0	2	0
försöker manipulera	13		0	0	0	0	1	0	2	0	0	0	1	0	1	2	3	0	1	2	0	0
försöker knäcka	13		0	0	0	0	0	0	0	4	0	0	0	1	2	3	0	0	0	1	2	0
försöker hämta	13		0	0	0	0	0	0	0	1	1	1	2	1	0	4	0	1	0	0	1	1
försöker sova	13		0	0	0	0	0	0	1	0	0	1	1	1	1	2	3	1	1	0	1	0
försöker angripa	12		1	0	0	0	3	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0
försöker utröna	12		0	0	0	2	0	0	1	0	0	1	1	3	0	0	1	2	0	1	0	0
försöker kolla	12		0	0	0	1	0	2	0	0	0	0	0	0	2	2	1	0	1	0	2	1
försöker smälta	12		0	0	0	0	0	1	2	1	2	0	1	1	0	0	2	1	0	1	0	0
försöker klarlägga	12		0	0	0	0	0	1	2	1	0	2	0	0	1	3	0	0	1	0	1	0
försöker evakuera	12		0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	3	1	1
försöker läsa	12		0	0	0	0	0	0	0	2	0	0	1	1	2	2	2	1	0	0	1	0
försöker stanna	12		0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	2	1	1	2	1
försöker vilseleda	12		0	0	0	0	0	0	2	0	0	0	0	2	4	0	1	1	0	1	1	0
försöker sköta	12		0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	3	2	0
försöker pusha	12		0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	2	2	0
försöker samordna	11		0	1	0	0	1	0	2	0	0	1	0	2	0	1	0	0	2	0	1	0
försöker räkna	11		0	1	0	0	0	0	1	0	0	1	1	1	3	3	0	0	0	0	0	0
försöker bistå	11		0	1	0	0	0	0	0	1	0	1	1	1	2	0	1	2	0	1	0	0
försöker slippa	11		0	0	1	0	0	0	1	1	0	2	1	1	1	0	1	1	0	0	1	0
försöker ragga	11		0	0	0	1	1	0	0	2	0	1	0	0	1	0	0	2	0	0	2	1
försöker införa	11		0	0	0	1	0	1	0	3	1	0	0	1	0	0	0	2	1	1	0	0
försöker stödja	11		0	0	0	0	1	4	0	0	1	2	0	0	0	0	2	0	0	1	0	0
försöker råda	11		0	0	0	0	1	0	0	1	0	0	0	1	0	3	1	0	1	1	0	2
försöker kommunicera	11		0	0	0	0	1	0	0	0	1	0	1	1	0	3	1	0	0	1	1	1
försöker fördela	11		0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	2	2	1	2	0
försöker peka	11		0	0	0	0	0	1	0	0	1	1	0	1	2	2	0	0	3	0	0	0
försöker bredda	11		0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	2	0	2	1	0
försöker tända	11		0	0	0	0	0	0	1	2	1	0	0	0	2	1	1	1	0	1	1	0
försöker svartmåla	11		0	0	0	0	0	0	0	1	0	4	0	0	0	4	0	1	1	0	0	0
försöker lansera	11		0	0	0	0	0	0	2	0	0	0	5	2	2	0	0	0	0	0	0	0
försöker hoppa	11		0	0	0	0	0	0	2	0	0	0	1	1	1	1	1	2	1	0	1	0
försöker jaga	11		0	0	0	0	0	0	1	0	0	2	1	1	3	0	1	0	0	2	0	0
försöker bemöta	11		0	0	0	0	0	0	1	0	2	1	0	1	1	3	0	2	0	0	0	0
försöker reparera	11		0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	4
försöker försörja	11		0	0	0	0	0	0	0	0	1	2	0	2	2	0	1	1	0	2	0	0
försöker omringa	11		0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	1	0	3	0
försöker fortsätta	11		0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	1	1	0	2	1
