author	age	v2rel	year	bin	binlabel
mikroE	24		2005	2	20--29
CamillaJ	22	0.21516519957996655	2005	2	20--29
Annanym	37		2005	3	30--39
LeaveMeAlone	23		2005	2	20--29
cruz	37		2005	3	30--39
Hedi	41		2005	4	40--49
LuMa	28		2005	2	20--29
TantG	37	0.08606607983198662	2005	3	30--39
allakantralla	31		2005	3	30--39
NinaFina	37	0.03872973592439398	2005	3	30--39
Jossan	37	2.8918202823547503	2005	3	30--39
Mirren	29		2005	2	20--29
Diana	41	0.07315616785718863	2005	4	40--49
Solkattan	31		2005	3	30--39
jazzy	20		2005	2	20--29
Kryztina	29	0.0817627758403873	2005	2	20--29
Alle	38	0.04049944003236085	2006	3	30--39
Jeanette	38	0.0660780337370098	2006	3	30--39
Anne69	38	0.019183945278486714	2006	3	30--39
Jossebell	39	0.03410479160619861	2006	3	30--39
Emeli	54		2006	5	50--59
AW76	31	0.027710143180036367	2006	3	30--39
Impertiff	34	0.03410479160619861	2006	3	30--39
Nickis	34	0.012789296852324477	2006	3	30--39
Happy me	32		2006	3	30--39
Tyrell	35	0.06394648426162239	2006	3	30--39
Lindadjo	30		2006	3	30--39
mossan	38	0.06394648426162239	2006	3	30--39
nnnnnnnn	38		2006	3	30--39
Dohgon	20		2006	2	20--29
Ett två tre	22		2006	2	20--29
Snakeheart	27	0.0809988800647217	2006	2	20--29
Gladabarnensmamma	25	0.1172352211463077	2006	2	20--29
copycat	21	0.025578593704648954	2006	2	20--29
modestyclara	29	0.010657747376937064	2006	2	20--29
hotten	33		2006	3	30--39
Anne M	49		2006	4	40--49
bubbelmaja	30	0.021315494753874127	2006	3	30--39
vist	38	0.8355673943518658	2006	3	30--39
Tecum	51		2006	5	50--59
fruganL	18		2006	1	<20
yodi	28	0.049025637933910494	2006	2	20--29
Pochahontas	34	0.5094403246175916	2006	3	30--39
kicki08	30		2006	3	30--39
LHUF	28		2006	2	20--29
MalinI	29	0.040499418709711715	2006	2	20--29
Sommartider	18	0.4028626387439744	2006	1	<20
Solaris	38	0.029841676943998103	2006	3	30--39
Ruggugglan	20	0.019183935178284494	2006	2	20--29
Fjäril kär	30		2006	3	30--39
Gustie	35	0.021315483531427214	2006	3	30--39
hymafr	43		2006	4	40--49
PumpkinQueen	26		2006	2	20--29
Tilcha	23		2006	2	20--29
Lorelei	30	0.008526193412570887	2006	3	30--39
CoolJen	28	0.6415960542959592	2006	2	20--29
car	33	0.004263096706285443	2006	3	30--39
Baronessan	33	0.029841676943998103	2006	3	30--39
hemlis	38	0.8099883741942342	2006	3	30--39
