author	age	v2rel	year	bin	binlabel
Damien och Adrian	37		2008	3	30--39
BasseKatt	35	0.02087540433189273	2008	3	30--39
Daggdroppen	22	0.02248120466511525	2008	2	20--29
Tettan	40	0.07547261566145833	2008	4	40--49
lottizm	25	0.5106445059647606	2008	2	20--29
Stella 78	31		2008	3	30--39
Tina B	40		2008	4	40--49
Lillatroll	36	0.772389960280031	2008	3	30--39
Peztis	40	0.0032116006664450352	2008	4	40--49
skruttis11	28	0.23444684865048757	2008	2	20--29
Fiamedbarn	39		2008	3	30--39
Tuttie	29	0.5106445059647606	2008	2	20--29
castillo	22	0.13167562732424645	2008	2	20--29
Studentpappa	28		2008	2	20--29
mikroE	27		2008	2	20--29
CamillaJ	25	1.0132600102634084	2008	2	20--29
Annanym	40	0.035327607330895384	2008	4	40--49
LeaveMeAlone	26	0.37254567730762406	2008	2	20--29
cruz	40	0.019269603998670212	2008	4	40--49
Hedi	44	0.04817400999667553	2008	4	40--49
LuMa	31	1.3424490785740246	2008	3	30--39
TantG	40	0.0016058003332225176	2008	4	40--49
allakantralla	34	0.06102041266245566	2008	3	30--39
NinaFina	40	0.0	2008	4	40--49
Jossan	40		2008	4	40--49
Mirren	32	0.004817400999667553	2008	3	30--39
Diana	44	0.0	2008	4	40--49
Solkattan	34	0.07868421632790336	2008	3	30--39
jazzy	23	0.5122503062979831	2008	2	20--29
Kryztina	32	0.0064232013328900705	2008	3	30--39
Alle	41	0.021912941615768552	2009	4	40--49
Jeanette	41	0.018541719828727234	2009	4	40--49
Anne69	41	0.015170498041685918	2009	4	40--49
Jossebell	42	0.00674244357408263	2009	4	40--49
Emeli	57	0.04045466144449579	2009	5	50--59
AW76	34	0.04719710501857842	2009	3	30--39
Impertiff	37	0.3657775638939827	2009	3	30--39
Nickis	37	0.00674244357408263	2009	3	30--39
Happy me	35		2009	3	30--39
Tyrell	38	0.10619348629180143	2009	3	30--39
Lindadjo	33	0.011799276254644605	2009	3	30--39
mossan	41		2009	4	40--49
nnnnnnnn	41		2009	4	40--49
Dohgon	23		2009	2	20--29
Ett två tre	25		2009	2	20--29
Snakeheart	30	0.0016856108935206576	2009	3	30--39
Gladabarnensmamma	28	0.7618961238713373	2009	2	20--29
copycat	24		2009	2	20--29
modestyclara	32	0.29666751725963575	2009	3	30--39
hotten	36	0.04045466144449579	2009	3	30--39
Anne M	52		2009	5	50--59
bubbelmaja	33	0.01348488714816526	2009	3	30--39
vist	41	0.3472358440652555	2009	4	40--49
Tecum	54		2009	5	50--59
fruganL	21	0.064053213953785	2009	2	20--29
yodi	31	1.2490376720988072	2009	3	30--39
Pochahontas	37	0.5107401007367592	2009	3	30--39
kicki08	33	1.427712426811997	2009	3	30--39
LHUF	31	1.107446231972602	2009	3	30--39
MalinI	32	0.17867473453439242	2009	3	30--39
Sommartider	21	0.0	2009	2	20--29
Solaris	41	0.05562515320410331	2009	4	40--49
Ruggugglan	23	0.05899637461041259	2009	2	20--29
Fjäril kär	33		2009	3	30--39
Gustie	38	0.018541717734701098	2009	3	30--39
hymafr	46	0.023598549844165036	2009	4	40--49
PumpkinQueen	29		2009	2	20--29
Tilcha	26	0.023598549844165036	2009	2	20--29
Lorelei	33	0.06405320671987653	2009	3	30--39
CoolJen	31	0.2039588950817121	2009	3	30--39
car	36	0.062367596016721885	2009	3	30--39
Baronessan	36	0.003371221406309291	2009	3	30--39
hemlis	41	0.6590737849334664	2009	4	40--49
Mopsan	24	0.4298307293044346	2009	2	20--29
Adora1	31	0.006742442812618582	2009	3	30--39
Saltlakrits	27	0.0016856107031546455	2009	2	20--29
Alisa	30	0.011799274922082518	2009	3	30--39
Ickan	41	0.03034099265678362	2009	4	40--49
underverket 06	40		2009	4	40--49
barnsäng	41	0.1635042382060006	2009	4	40--49
UWO BaraJag	38		2009	3	30--39
högbergarna	32	0.21238694859748536	2009	3	30--39
Skogsstjärnan	43		2009	4	40--49
Tristan	41	0.003371221406309291	2009	4	40--49
lilla mej	33		2009	3	30--39
sportpappa	33		2009	3	30--39
hot fuss	31		2009	3	30--39
Bohman	25	0.11799274922082519	2009	2	20--29
AnnaKlara	40	0.011799274922082518	2009	4	40--49
hannis	32	0.008428053515773228	2009	3	30--39
Moomin	29	0.0	2009	2	20--29
snobben	41	0.003371221406309291	2009	4	40--49
Insatt	29	0.011799274922082518	2009	2	20--29
Konvaljen	26	0.0016856107031546455	2009	2	20--29
luzorsus	33	0.1635042382060006	2009	3	30--39
gosmamman	28	0.5815356925883527	2009	2	20--29
Brooke	22	0.07753809234511369	2009	2	20--29
brokig	27	0.0	2009	2	20--29
MayaS	41	0.003371221406309291	2009	4	40--49
Emeliee	30	0.0	2009	3	30--39
finskaflikkan	27	0.342178972740393	2009	2	20--29
Tigra79	31	0.4382587828202078	2009	3	30--39
snöflingan1	41	0.26801210180158863	2009	4	40--49
Carla82	28	0.0016856107031546455	2009	2	20--29
Kaosmamma	29		2009	2	20--29
Tant Groda	28		2009	2	20--29
Smajla	22		2009	2	20--29
Mamba	26	0.010113664218927874	2009	2	20--29
ModestyB	29	0.318580422896228	2009	2	20--29
AndreaBD	46		2009	4	40--49
Lilla Morran	27		2009	2	20--29
TheLove	41	0.0016856107031546455	2009	4	40--49
Bondfia	39	0.10113664218927873	2009	3	30--39
Mania x2	33		2009	3	30--39
SuzR	29	1.1782418815050972	2009	2	20--29
Trikarn	41	0.040454656875711495	2009	4	40--49
Damien och Adrian	38		2009	3	30--39
BasseKatt	36	0.02696977125047433	2009	3	30--39
Daggdroppen	23	0.02696977125047433	2009	2	20--29
Tettan	41	0.02865538195362897	2009	4	40--49
lottizm	26	0.16181862750284598	2009	2	20--29
Stella 78	32		2009	3	30--39
Tina B	41		2009	4	40--49
Lillatroll	37	0.3522926369593209	2009	3	30--39
Peztis	41	0.006742442812618582	2009	4	40--49
skruttis11	29	0.04551148898517543	2009	2	20--29
Fiamedbarn	40	0.1921596201596296	2009	4	40--49
Tuttie	30	0.2764401553173618	2009	3	30--39
castillo	23	0.07416687093880439	2009	2	20--29
Studentpappa	29		2009	2	20--29
mikroE	28		2009	2	20--29
CamillaJ	26	0.1297920241429077	2009	2	20--29
Annanym	41	0.020227328437855747	2009	4	40--49
LeaveMeAlone	27	0.023598549844165036	2009	2	20--29
cruz	41	0.013484885625237164	2009	4	40--49
Hedi	45	0.05562515320410331	2009	4	40--49
LuMa	32	0.8664039014214878	2009	3	30--39
TantG	41	0.0	2009	4	40--49
allakantralla	35	0.038769046172556845	2009	3	30--39
NinaFina	41	0.0016856107031546455	2009	4	40--49
Jossan	41		2009	4	40--49
Mirren	33	0.005056832109463937	2009	3	30--39
Diana	45	0.003371221406309291	2009	4	40--49
Solkattan	35	0.008428053515773228	2009	3	30--39
jazzy	24	0.15001935258076346	2009	2	20--29
Kryztina	33	0.0016856107031546455	2009	3	30--39
Alle	42	0.004852655273364835	2010	4	40--49
Jeanette	42	0.0	2010	4	40--49
Anne69	42	0.026689604003506597	2010	4	40--49
Jossebell	43	0.00970531054672967	2010	4	40--49
Emeli	58	0.055805535643695614	2010	5	50--59
AW76	35	0.016984293456776926	2010	3	30--39
Impertiff	38	0.0024263276366824175	2010	3	30--39
Nickis	38	0.0024263276366824175	2010	3	30--39
Happy me	36		2010	3	30--39
Tyrell	39	0.03882124218691868	2010	3	30--39
Lindadjo	34	0.0072789829100472535	2010	3	30--39
mossan	42	0.0024263276366824175	2010	4	40--49
nnnnnnnn	42		2010	4	40--49
Dohgon	24	0.2887329887652077	2010	2	20--29
Ett två tre	26		2010	2	20--29
Snakeheart	31	0.0	2010	3	30--39
Gladabarnensmamma	29	0.8734779492056705	2010	2	20--29
copycat	25		2010	2	20--29
modestyclara	33	0.01941062109345934	2010	3	30--39
hotten	37	0.0072789829100472535	2010	3	30--39
Anne M	53		2010	5	50--59
bubbelmaja	34	0.026689604003506597	2010	3	30--39
vist	42	0.4925445102465308	2010	4	40--49
Tecum	55		2010	5	50--59
fruganL	22	0.016984293456776926	2010	2	20--29
yodi	32	0.8637726386589407	2010	3	30--39
Pochahontas	38	0.11646372656075606	2010	3	30--39
kicki08	34	2.249205719204601	2010	3	30--39
LHUF	32	0.7595380058877106	2010	3	30--39
MalinI	33	0.036399584946695394	2010	3	30--39
Sommartider	22		2010	2	20--29
Solaris	42	0.09463892086140802	2010	4	40--49
Ruggugglan	24	0.03154630695380268	2010	2	20--29
Fjäril kär	34		2010	3	30--39
Gustie	39	0.012133194982231798	2010	3	30--39
hymafr	47	0.01698647297512452	2010	4	40--49
PumpkinQueen	30		2010	3	30--39
Tilcha	27	0.029119667957356314	2010	2	20--29
Lorelei	34	0.0024266389964463595	2010	3	30--39
CoolJen	32	0.12861186681165704	2010	3	30--39
car	37	0.004853277992892719	2010	3	30--39
Baronessan	37	0.0072799169893390785	2010	3	30--39
hemlis	42	0.019413111971570876	2010	4	40--49
Mopsan	25	0.021839750968017237	2010	2	20--29
Adora1	32	0.024266389964463595	2010	3	30--39
Saltlakrits	28	0.004853277992892719	2010	2	20--29
Alisa	31	0.014559833978678157	2010	3	30--39
Ickan	42	0.004853277992892719	2010	4	40--49
underverket 06	41		2010	4	40--49
barnsäng	42	0.18199792473347695	2010	4	40--49
UWO BaraJag	39		2010	3	30--39
högbergarna	33	0.7207117819445688	2010	3	30--39
Skogsstjärnan	44		2010	4	40--49
Tristan	42	0.0	2010	4	40--49
lilla mej	34		2010	3	30--39
sportpappa	34		2010	3	30--39
hot fuss	32		2010	3	30--39
Bohman	26	0.4076753514029884	2010	2	20--29
AnnaKlara	41	0.012133194982231798	2010	4	40--49
hannis	33	0.026693028960909953	2010	3	30--39
Moomin	30		2010	3	30--39
snobben	42	0.0	2010	4	40--49
Insatt	30	0.012133194982231798	2010	3	30--39
Konvaljen	27	0.01698647297512452	2010	2	20--29
luzorsus	34	0.04610614093248083	2010	3	30--39
gosmamman	29	0.7328449769268006	2010	2	20--29
Brooke	23	0.10677211584363981	2010	2	20--29
brokig	28	0.0024266389964463595	2010	2	20--29
MayaS	42	0.0	2010	4	40--49
Emeliee	31	0.004853277992892719	2010	3	30--39
finskaflikkan	28	0.7061519479658906	2010	2	20--29
Tigra79	32	1.8151259693418769	2010	3	30--39
snöflingan1	42	0.24266389964463594	2010	4	40--49
Carla82	29	0.0024266389964463595	2010	2	20--29
Kaosmamma	30	0.029119667957356314	2010	3	30--39
Tant Groda	29		2010	2	20--29
Smajla	23		2010	2	20--29
Mamba	27	0.024266389964463595	2010	2	20--29
ModestyB	30	0.6624724460298561	2010	3	30--39
AndreaBD	47		2010	4	40--49
Lilla Morran	28		2010	2	20--29
TheLove	42	0.014559833978678157	2010	4	40--49
Bondfia	40	0.012133194982231798	2010	4	40--49
Mania x2	34		2010	3	30--39
SuzR	30	0.6454859730547317	2010	3	30--39
Trikarn	42	0.029119667957356314	2010	4	40--49
Damien och Adrian	39		2010	3	30--39
BasseKatt	37	0.0	2010	3	30--39
Daggdroppen	24	0.01698647297512452	2010	2	20--29
Tettan	42	0.0072799169893390785	2010	4	40--49
lottizm	27	0.09463892086140802	2010	2	20--29
Stella 78	33		2010	3	30--39
Tina B	42		2010	4	40--49
Lillatroll	38	0.19898439770860146	2010	3	30--39
Peztis	42	0.0	2010	4	40--49
skruttis11	30	0.009706555985785438	2010	3	30--39
Fiamedbarn	41	0.09221228186496166	2010	4	40--49
Tuttie	31	0.05823933591471263	2010	3	30--39
castillo	24	0.14802497878322793	2010	2	20--29
Studentpappa	30		2010	3	30--39
mikroE	29	0.0024266389964463595	2010	2	20--29
CamillaJ	27	2.065069785975852	2010	2	20--29
Annanym	42	0.0072799169893390785	2010	4	40--49
LeaveMeAlone	28	0.029119667957356314	2010	2	20--29
cruz	42	0.021839750968017237	2010	4	40--49
Hedi	46	0.05581269691826627	2010	4	40--49
LuMa	33	0.9682289595820973	2010	3	30--39
TantG	42		2010	4	40--49
allakantralla	36	0.019413111971570876	2010	3	30--39
NinaFina	42	0.0	2010	4	40--49
Jossan	42		2010	4	40--49
Mirren	34	0.004853277992892719	2010	3	30--39
Diana	46	0.0	2010	4	40--49
Solkattan	36	0.014559833978678157	2010	3	30--39
jazzy	25	0.12133194982231797	2010	2	20--29
Kryztina	34	0.0024266389964463595	2010	3	30--39
Alle	43	0.002772365527290325	2011	4	40--49
Jeanette	43	0.002772365527290325	2011	4	40--49
Anne69	43	0.02772365527290325	2011	4	40--49
Jossebell	44	0.0	2011	4	40--49
Emeli	59	0.04990257949122585	2011	5	50--59
AW76	36	0.0221789242183226	2011	3	30--39
Impertiff	39	0.0	2011	3	30--39
Nickis	39	0.0110894621091613	2011	3	30--39
Happy me	37		2011	3	30--39
Tyrell	40	0.00554473105458065	2011	4	40--49
Lindadjo	35	0.03881311738206455	2011	3	30--39
mossan	43	0.0	2011	4	40--49
nnnnnnnn	43		2011	4	40--49
Dohgon	25	0.324366766692968	2011	2	20--29
Ett två tre	27		2011	2	20--29
Snakeheart	32		2011	3	30--39
Gladabarnensmamma	30	0.8344820237143878	2011	3	30--39
copycat	26		2011	2	20--29
modestyclara	34	0.00554473105458065	2011	3	30--39
hotten	38	0.0	2011	3	30--39
Anne M	54		2011	5	50--59
bubbelmaja	35	0.00554473105458065	2011	3	30--39
vist	43	0.19406558691032275	2011	4	40--49
Tecum	56		2011	5	50--59
fruganL	23	0.0	2011	2	20--29
yodi	33	0.8816122376783233	2011	3	30--39
Pochahontas	39	0.052674945018516175	2011	3	30--39
kicki08	35	0.058219676073096825	2011	3	30--39
LHUF	33	0.40199314299503247	2011	3	30--39
MalinI	34	0.005544733006828033	2011	3	30--39
Sommartider	23		2011	2	20--29
Solaris	43	0.04435786405462427	2011	4	40--49
Ruggugglan	25	0.17465908971508307	2011	2	20--29
Fjäril kär	35		2011	3	30--39
Gustie	40	0.0027723665034140167	2011	4	40--49
hymafr	48	0.030496031537554185	2011	4	40--49
PumpkinQueen	31	0.033268398040968206	2011	3	30--39
Tilcha	28	0.005544733006828033	2011	2	20--29
Lorelei	35	0.0	2011	3	30--39
CoolJen	33	0.033268398040968206	2011	3	30--39
car	38	0.0	2011	3	30--39
Baronessan	38	0.0027723665034140167	2011	3	30--39
hemlis	43	0.033268398040968206	2011	4	40--49
Mopsan	26	0.0	2011	2	20--29
Adora1	33	0.033268398040968206	2011	3	30--39
Saltlakrits	29	0.0	2011	2	20--29
Alisa	32	0.030496031537554185	2011	3	30--39
Ickan	43	0.0	2011	4	40--49
underverket 06	42		2011	4	40--49
barnsäng	43	0.0	2011	4	40--49
UWO BaraJag	40		2011	4	40--49
högbergarna	34	0.5295220021520772	2011	3	30--39
Skogsstjärnan	45		2011	4	40--49
Tristan	43		2011	4	40--49
lilla mej	35		2011	3	30--39
sportpappa	35	0.019406565523898116	2011	3	30--39
hot fuss	33		2011	3	30--39
Bohman	27	0.033268398040968206	2011	2	20--29
AnnaKlara	42	0.0	2011	4	40--49
hannis	34	0.04435786405462427	2011	3	30--39
Moomin	31		2011	3	30--39
snobben	43		2011	4	40--49
Insatt	31	0.10257756062631862	2011	3	30--39
Konvaljen	28	0.013861832517070084	2011	2	20--29
luzorsus	35	0.013861832517070084	2011	3	30--39
gosmamman	30	0.18297618922532513	2011	3	30--39
Brooke	24	0.016634199020484103	2011	2	20--29
brokig	29	0.019406565523898116	2011	2	20--29
MayaS	43		2011	4	40--49
Emeliee	32	0.0	2011	3	30--39
finskaflikkan	29	1.4055898172309067	2011	2	20--29
Tigra79	33	1.0424098052836703	2011	3	30--39
snöflingan1	43	0.0	2011	4	40--49
Carla82	30	0.013861832517070084	2011	3	30--39
Kaosmamma	31	0.0831709951024205	2011	3	30--39
Tant Groda	30		2011	3	30--39
Smajla	24		2011	2	20--29
Mamba	28	0.0	2011	2	20--29
ModestyB	31	0.9536940771744218	2011	3	30--39
AndreaBD	48		2011	4	40--49
Lilla Morran	29		2011	2	20--29
TheLove	43	0.022178932027312134	2011	4	40--49
Bondfia	41	0.0027723665034140167	2011	4	40--49
Mania x2	35		2011	3	30--39
SuzR	31	0.30218794887212785	2011	3	30--39
Trikarn	43	0.0	2011	4	40--49
Damien och Adrian	40		2011	4	40--49
BasseKatt	38		2011	3	30--39
Daggdroppen	25	0.008317099510242051	2011	2	20--29
Tettan	43	0.005544733006828033	2011	4	40--49
lottizm	28	0.027723665034140168	2011	2	20--29
Stella 78	34		2011	3	30--39
Tina B	43		2011	4	40--49
Lillatroll	39	0.13584595866728683	2011	3	30--39
Peztis	43		2011	4	40--49
skruttis11	31	0.005544733006828033	2011	3	30--39
Fiamedbarn	42	0.013861832517070084	2011	4	40--49
Tuttie	32	0.0	2011	3	30--39
castillo	25	0.4657575725735548	2011	2	20--29
Studentpappa	31	0.12198412615021674	2011	3	30--39
mikroE	30	0.02495129853072615	2011	3	30--39
CamillaJ	28	0.2467406188038475	2011	2	20--29
Annanym	43	0.019406565523898116	2011	4	40--49
LeaveMeAlone	29	0.0	2011	2	20--29
cruz	43	0.013861832517070084	2011	4	40--49
Hedi	47	0.0	2011	4	40--49
LuMa	34	0.4851641380974529	2011	3	30--39
TantG	43		2011	4	40--49
allakantralla	37	0.008317099510242051	2011	3	30--39
NinaFina	43		2011	4	40--49
Jossan	43		2011	4	40--49
Mirren	35	0.005544733006828033	2011	3	30--39
Diana	47		2011	4	40--49
Solkattan	37	0.030496031537554185	2011	3	30--39
jazzy	26	0.0	2011	2	20--29
Kryztina	35	0.0	2011	3	30--39
Alle	44	0.0	2012	4	40--49
Jeanette	44	0.0	2012	4	40--49
Anne69	44	0.027544425517330707	2012	4	40--49
Jossebell	45		2012	4	40--49
Emeli	60	0.027544425517330707	2012	6	60+
AW76	37	0.024101372327664367	2012	3	30--39
Impertiff	40		2012	4	40--49
Nickis	40	0.01721526594833169	2012	4	40--49
Happy me	38		2012	3	30--39
Tyrell	41	0.0	2012	4	40--49
Lindadjo	36	0.0	2012	3	30--39
mossan	44		2012	4	40--49
nnnnnnnn	44		2012	4	40--49
Dohgon	26	0.14805128715565255	2012	2	20--29
Ett två tre	28		2012	2	20--29
Snakeheart	33		2012	3	30--39
Gladabarnensmamma	31	0.04131663827599606	2012	3	30--39
copycat	27		2012	2	20--29
modestyclara	35	0.0	2012	3	30--39
hotten	39	0.0034430531896663384	2012	3	30--39
Anne M	55		2012	5	50--59
bubbelmaja	36	0.0034430531896663384	2012	3	30--39
vist	44	0.006886106379332677	2012	4	40--49
Tecum	57		2012	5	50--59
fruganL	24		2012	2	20--29
yodi	34	2.441124711473434	2012	3	30--39
Pochahontas	40	0.010329159568999016	2012	4	40--49
kicki08	36	0.0034430531896663384	2012	3	30--39
LHUF	34	0.2823309924329647	2012	3	30--39
MalinI	35	0.0	2012	3	30--39
Sommartider	24		2012	2	20--29
Solaris	44	0.0	2012	4	40--49
Ruggugglan	26	0.21346977476638795	2012	2	20--29
Fjäril kär	36		2012	3	30--39
Gustie	41	0.0	2012	4	40--49
hymafr	49	0.04820285236660374	2012	4	40--49
PumpkinQueen	32	0.1170640700331805	2012	3	30--39
Tilcha	29	0.0	2012	2	20--29
Lorelei	36		2012	3	30--39
CoolJen	34	0.020658365299973027	2012	3	30--39
car	39		2012	3	30--39
Baronessan	39	0.0	2012	3	30--39
hemlis	44	0.030987547949959546	2012	4	40--49
Mopsan	27		2012	2	20--29
Adora1	34	0.017215304416644192	2012	3	30--39
Saltlakrits	30	0.006886121766657677	2012	3	30--39
Alisa	33	0.03787366971661722	2012	3	30--39
Ickan	44		2012	4	40--49
underverket 06	43		2012	4	40--49
barnsäng	44		2012	4	40--49
UWO BaraJag	41		2012	4	40--49
högbergarna	35	0.0034430608833288384	2012	3	30--39
Skogsstjärnan	46		2012	4	40--49
Tristan	44		2012	4	40--49
lilla mej	36		2012	3	30--39
sportpappa	36	0.013772243533315354	2012	3	30--39
hot fuss	34		2012	3	30--39
Bohman	28	0.0034430608833288384	2012	2	20--29
AnnaKlara	43		2012	4	40--49
hannis	35	0.05853203501659025	2012	3	30--39
Moomin	32		2012	3	30--39
snobben	44	0.0034430608833288384	2012	4	40--49
Insatt	32	0.07919040031656328	2012	3	30--39
Konvaljen	29	0.030987547949959546	2012	2	20--29
luzorsus	36	0.006886121766657677	2012	3	30--39
gosmamman	31	0.0	2012	3	30--39
Brooke	25	0.02410142618330187	2012	2	20--29
brokig	30	0.0	2012	3	30--39
MayaS	44		2012	4	40--49
Emeliee	33		2012	3	30--39
finskaflikkan	30	1.4357563883481255	2012	3	30--39
Tigra79	34	0.4234964886494471	2012	3	30--39
snöflingan1	44		2012	4	40--49
Carla82	31	0.041316730599946054	2012	3	30--39
Kaosmamma	32	0.0447597914832749	2012	3	30--39
Tant Groda	31		2012	3	30--39
Smajla	25		2012	2	20--29
Mamba	29		2012	2	20--29
ModestyB	32	0.43382567129943367	2012	3	30--39
AndreaBD	49		2012	4	40--49
Lilla Morran	30		2012	3	30--39
TheLove	44	0.0	2012	4	40--49
Bondfia	42	0.0	2012	4	40--49
Mania x2	36		2012	3	30--39
SuzR	32	0.2926601750829512	2012	3	30--39
Trikarn	44		2012	4	40--49
Damien och Adrian	41		2012	4	40--49
BasseKatt	39		2012	3	30--39
Daggdroppen	26	0.0	2012	2	20--29
Tettan	44	0.006886121766657677	2012	4	40--49
lottizm	29	0.041316730599946054	2012	2	20--29
Stella 78	35		2012	3	30--39
Tina B	44		2012	4	40--49
Lillatroll	40	0.006886121766657677	2012	4	40--49
Peztis	44		2012	4	40--49
skruttis11	32	0.02410142618330187	2012	3	30--39
Fiamedbarn	43	0.06197509589991909	2012	4	40--49
Tuttie	33		2012	3	30--39
castillo	26	0.3511922100995415	2012	2	20--29
Studentpappa	32	0.03787366971661722	2012	3	30--39
mikroE	31	0.0447597914832749	2012	3	30--39
CamillaJ	29	0.0	2012	2	20--29
Annanym	44	0.0	2012	4	40--49
LeaveMeAlone	30	0.4407117930660913	2012	3	30--39
cruz	44	0.020658365299973027	2012	4	40--49
Hedi	48		2012	4	40--49
LuMa	35	0.10329182649986515	2012	3	30--39
TantG	44		2012	4	40--49
allakantralla	38	0.0	2012	3	30--39
NinaFina	44		2012	4	40--49
Jossan	44		2012	4	40--49
Mirren	36	0.0034430608833288384	2012	3	30--39
Diana	48		2012	4	40--49
Solkattan	38	0.0034430608833288384	2012	3	30--39
jazzy	27		2012	2	20--29
Kryztina	36		2012	3	30--39
Alle	45	0.004813311385916963	2013	4	40--49
Jeanette	45		2013	4	40--49
Anne69	45	0.024066556929584815	2013	4	40--49
Jossebell	46		2013	4	40--49
Emeli	61	0.09145291633242231	2013	6	60+
AW76	38	0.0	2013	3	30--39
Impertiff	41		2013	4	40--49
Nickis	41	0.004813311385916963	2013	4	40--49
Happy me	39		2013	3	30--39
Tyrell	42		2013	4	40--49
Lindadjo	37		2013	3	30--39
mossan	45		2013	4	40--49
nnnnnnnn	45		2013	4	40--49
Dohgon	27	0.12514609603384103	2013	2	20--29
Ett två tre	29		2013	2	20--29
Snakeheart	34		2013	3	30--39
Gladabarnensmamma	32	0.024066556929584815	2013	3	30--39
copycat	28	0.004813311385916963	2013	2	20--29
modestyclara	36		2013	3	30--39
hotten	40	0.0	2013	4	40--49
Anne M	56		2013	5	50--59
bubbelmaja	37	0.0	2013	3	30--39
vist	45	0.0	2013	4	40--49
Tecum	58		2013	5	50--59
fruganL	25		2013	2	20--29
yodi	35	4.6400321760239525	2013	3	30--39
Pochahontas	41	0.0	2013	4	40--49
kicki08	37	0.0	2013	3	30--39
LHUF	35	0.057759684364118435	2013	3	30--39
MalinI	36		2013	3	30--39
Sommartider	25		2013	2	20--29
Solaris	45		2013	4	40--49
Ruggugglan	27	0.1829056671530417	2013	2	20--29
Fjäril kär	37		2013	3	30--39
Gustie	42		2013	4	40--49
hymafr	50	0.028879842182059218	2013	5	50--59
PumpkinQueen	33	0.08663952654617765	2013	3	30--39
Tilcha	30		2013	3	30--39
Lorelei	37		2013	3	30--39
CoolJen	35	0.0	2013	3	30--39
car	40		2013	4	40--49
Baronessan	40		2013	4	40--49
hemlis	45	0.0	2013	4	40--49
Mopsan	28		2013	2	20--29
Adora1	35	0.028879842182059218	2013	3	30--39
Saltlakrits	31	0.0	2013	3	30--39
Alisa	34	0.004813307030343204	2013	3	30--39
Ickan	45		2013	4	40--49
underverket 06	44		2013	4	40--49
barnsäng	45		2013	4	40--49
UWO BaraJag	42		2013	4	40--49
högbergarna	36	0.0	2013	3	30--39
Skogsstjärnan	47		2013	4	40--49
Tristan	45		2013	4	40--49
lilla mej	37		2013	3	30--39
sportpappa	37	0.004813307030343204	2013	3	30--39
hot fuss	35		2013	3	30--39
Bohman	29	0.028879842182059218	2013	2	20--29
AnnaKlara	44		2013	4	40--49
hannis	36	0.1299592898192665	2013	3	30--39
Moomin	33		2013	3	30--39
snobben	45	0.0	2013	4	40--49
Insatt	33	0.03369314921240242	2013	3	30--39
Konvaljen	30	0.0	2013	3	30--39
luzorsus	37	0.0	2013	3	30--39
gosmamman	32		2013	3	30--39
Brooke	26	0.0	2013	2	20--29
brokig	31	0.014439921091029609	2013	3	30--39
MayaS	45		2013	4	40--49
Emeliee	34		2013	3	30--39
finskaflikkan	31	0.3658113343060834	2013	3	30--39
Tigra79	35	0.21178550933510093	2013	3	30--39
snöflingan1	45		2013	4	40--49
Carla82	32	0.0	2013	3	30--39
Kaosmamma	33	0.0	2013	3	30--39
Tant Groda	32		2013	3	30--39
Smajla	26		2013	2	20--29
Mamba	30		2013	3	30--39
ModestyB	33	0.36099802727574026	2013	3	30--39
AndreaBD	50		2013	5	50--59
Lilla Morran	31		2013	3	30--39
TheLove	45		2013	4	40--49
Bondfia	43		2013	4	40--49
Mania x2	37		2013	3	30--39
SuzR	33	0.5872234577018708	2013	3	30--39
Trikarn	45		2013	4	40--49
Damien och Adrian	42		2013	4	40--49
BasseKatt	40		2013	4	40--49
Daggdroppen	27		2013	2	20--29
Tettan	45	0.009626614060686408	2013	4	40--49
lottizm	30	0.004813307030343204	2013	3	30--39
Stella 78	36		2013	3	30--39
Tina B	45		2013	4	40--49
Lillatroll	41	0.0	2013	4	40--49
Peztis	45		2013	4	40--49
skruttis11	33	0.0	2013	3	30--39
Fiamedbarn	44	0.5150238522467228	2013	4	40--49
Tuttie	34		2013	3	30--39
castillo	27	0.1973455882440713	2013	2	20--29
Studentpappa	33	0.12514598278892328	2013	3	30--39
mikroE	32	0.004813307030343204	2013	3	30--39
CamillaJ	30		2013	3	30--39
Annanym	45		2013	4	40--49
LeaveMeAlone	31	0.664236370187362	2013	3	30--39
cruz	45	0.0	2013	4	40--49
Hedi	49		2013	4	40--49
LuMa	36	0.0	2013	3	30--39
TantG	45		2013	4	40--49
allakantralla	39		2013	3	30--39
NinaFina	45		2013	4	40--49
Jossan	45		2013	4	40--49
Mirren	37	0.0	2013	3	30--39
Diana	49		2013	4	40--49
Solkattan	39	0.014439921091029609	2013	3	30--39
jazzy	28		2013	2	20--29
Kryztina	37		2013	3	30--39
Alle	46	0.0	2014	4	40--49
Jeanette	46		2014	4	40--49
Anne69	46	0.0	2014	4	40--49
Jossebell	47		2014	4	40--49
Emeli	62	0.0649731694018879	2014	6	60+
AW76	39		2014	3	30--39
Impertiff	42		2014	4	40--49
Nickis	42	0.0	2014	4	40--49
Happy me	40		2014	4	40--49
Tyrell	43		2014	4	40--49
Lindadjo	38		2014	3	30--39
mossan	46		2014	4	40--49
nnnnnnnn	46		2014	4	40--49
Dohgon	28	0.1299463388037758	2014	2	20--29
Ett två tre	30		2014	3	30--39
Snakeheart	35		2014	3	30--39
Gladabarnensmamma	33	0.12272709775912159	2014	3	30--39
copycat	29	0.0	2014	2	20--29
modestyclara	37		2014	3	30--39
hotten	41		2014	4	40--49
Anne M	57		2014	5	50--59
bubbelmaja	38		2014	3	30--39
