verb2	abs	ipm
plocka	12	0.0147916291734819
påtala	12	0.0147916291734819
behålla	12	0.0147916291734819
avstå	11	0.013558993409025076
granska	11	0.013558993409025076
utveckla	11	0.013558993409025076
blåsa	11	0.013558993409025076
ligga	11	0.013558993409025076
experimentera	11	0.013558993409025076
strunta	11	0.013558993409025076
skapa	11	0.013558993409025076
döma	11	0.013558993409025076
sikta	11	0.013558993409025076
ta	11	0.013558993409025076
prioritera	10	0.01232635764456825
debattera	10	0.01232635764456825
sitta	10	0.01232635764456825
spå	10	0.01232635764456825
skratta	10	0.01232635764456825
sluta	10	0.01232635764456825
ropa	10	0.01232635764456825
peta	10	0.01232635764456825
blicka	10	0.01232635764456825
öka	10	0.01232635764456825
planera	9	0.011093721880111424
bilda	9	0.011093721880111424
stänga	9	0.011093721880111424
presentera	9	0.011093721880111424
kämpa	9	0.011093721880111424
klä	9	0.011093721880111424
fullfölja	9	0.011093721880111424
cykla	9	0.011093721880111424
införa	9	0.011093721880111424
satsa	9	0.011093721880111424
bära	9	0.011093721880111424
förutspå	8	0.009861086115654599
förnya	8	0.009861086115654599
larma	8	0.009861086115654599
knysta	8	0.009861086115654599
rikta	8	0.009861086115654599
bry	8	0.009861086115654599
utmana	8	0.009861086115654599
säga	8	0.009861086115654599
visa	8	0.009861086115654599
dyka	8	0.009861086115654599
betala	8	0.009861086115654599
spänna	8	0.009861086115654599
placera	8	0.009861086115654599
passera	8	0.009861086115654599
sända	8	0.009861086115654599
hjälpa	8	0.009861086115654599
boka	8	0.009861086115654599
sjukskriva	7	0.008628450351197773
stödja	7	0.008628450351197773
spendera	7	0.008628450351197773
ompröva	7	0.008628450351197773
föreställa	7	0.008628450351197773
tillåta	7	0.008628450351197773
smaka	7	0.008628450351197773
redovisa	7	0.008628450351197773
måla	7	0.008628450351197773
älska	7	0.008628450351197773
teckna	7	0.008628450351197773
problematisera	7	0.008628450351197773
demonstrera	7	0.008628450351197773
bada	7	0.008628450351197773
opponera	7	0.008628450351197773
inse	7	0.008628450351197773
beröra	7	0.008628450351197773
utöka	7	0.008628450351197773
försvara	7	0.008628450351197773
påpeka	7	0.008628450351197773
behandla	7	0.008628450351197773
förverkliga	7	0.008628450351197773
bege	7	0.008628450351197773
angripa	6	0.00739581458674095
rubba	6	0.00739581458674095
lufta	6	0.00739581458674095
avvika	6	0.00739581458674095
rekommendera	6	0.00739581458674095
offra	6	0.00739581458674095
